Identity  : 	id10273
Reference : 	jyOctu82nhs
Offset    : 	-1
FV Conf   : 	16.818
ASD Conf  : 	7.137

FRAME 	X 	Y 	W 	H 
001481 	209 	78 	109 	109 
001482 	214 	95 	91 	91 
001483 	214 	95 	91 	91 
001484 	214 	95 	91 	91 
001485 	209 	90 	109 	109 
001486 	209 	90 	109 	109 
001487 	209 	90 	109 	109 
001488 	209 	90 	109 	109 
001489 	209 	90 	109 	109 
001490 	197 	90 	109 	109 
001491 	214 	95 	91 	91 
001492 	209 	78 	109 	109 
001493 	209 	78 	109 	109 
001494 	209 	78 	109 	109 
001495 	209 	78 	109 	109 
001496 	209 	78 	109 	109 
001497 	209 	78 	109 	109 
001498 	209 	78 	109 	109 
001499 	221 	78 	109 	109 
001500 	221 	66 	109 	109 
001501 	221 	66 	109 	109 
001502 	221 	66 	109 	109 
001503 	221 	66 	109 	109 
001504 	234 	75 	90 	91 
001505 	234 	75 	90 	91 
001506 	233 	66 	109 	109 
001507 	233 	66 	109 	109 
001508 	233 	66 	109 	109 
001509 	233 	66 	109 	109 
001510 	233 	66 	109 	109 
001511 	233 	66 	109 	109 
001512 	233 	66 	109 	109 
001513 	233 	66 	109 	109 
001514 	233 	66 	109 	109 
001515 	233 	66 	109 	109 
001516 	233 	66 	109 	109 
001517 	233 	66 	109 	109 
001518 	233 	66 	109 	109 
001519 	233 	78 	109 	109 
001520 	233 	78 	109 	109 
001521 	233 	78 	109 	109 
001522 	233 	78 	109 	109 
001523 	233 	78 	109 	109 
001524 	254 	105 	90 	91 
001525 	245 	102 	109 	109 
001526 	254 	105 	90 	91 
001527 	245 	102 	109 	109 
001528 	254 	105 	90 	91 
001529 	245 	90 	109 	109 
001530 	245 	102 	109 	109 
001531 	245 	90 	109 	109 
001532 	245 	102 	109 	109 
001533 	245 	90 	109 	109 
001534 	245 	90 	109 	109 
001535 	257 	102 	109 	109 
001536 	264 	105 	90 	91 
001537 	257 	102 	109 	109 
001538 	254 	105 	90 	91 
001539 	254 	105 	90 	91 
001540 	245 	90 	109 	109 
001541 	245 	90 	109 	109 
001542 	245 	90 	109 	109 
001543 	245 	90 	109 	109 
001544 	245 	90 	109 	109 
001545 	245 	90 	109 	109 
001546 	245 	90 	109 	109 
001547 	245 	90 	109 	109 
001548 	245 	90 	109 	109 
001549 	254 	95 	90 	91 
001550 	254 	95 	90 	91 
001551 	254 	95 	90 	91 
001552 	244 	92 	100 	100 
001553 	233 	90 	109 	109 
001554 	233 	90 	109 	109 
001555 	233 	90 	109 	109 
001556 	233 	90 	109 	109 
001557 	233 	90 	109 	109 
001558 	233 	90 	109 	109 
001559 	233 	90 	109 	109 
001560 	233 	90 	109 	109 
001561 	244 	95 	90 	91 
001562 	233 	90 	109 	109 
001563 	233 	90 	109 	109 
001564 	233 	90 	109 	109 
001565 	233 	90 	109 	109 
001566 	233 	90 	109 	109 
001567 	233 	90 	109 	109 
001568 	233 	90 	109 	109 
001569 	233 	90 	109 	109 
001570 	233 	90 	109 	109 
001571 	233 	90 	109 	109 
001572 	233 	90 	109 	109 
001573 	244 	95 	90 	91 
001574 	244 	95 	90 	91 
001575 	233 	90 	109 	109 
001576 	233 	90 	109 	109 
001577 	233 	90 	109 	109 
001578 	233 	90 	109 	109 
001579 	233 	90 	109 	109 
001580 	233 	90 	109 	109 
001581 	233 	90 	109 	109 
001582 	233 	90 	109 	109 
001583 	233 	90 	109 	109 
001584 	233 	90 	109 	109 
001585 	221 	90 	109 	109 
001586 	221 	90 	109 	109 
001587 	234 	95 	90 	91 
