Identity  : 	id10273
Reference : 	prqT1CcDqMc
Offset    : 	-1
FV Conf   : 	12.170
ASD Conf  : 	6.211

FRAME 	X 	Y 	W 	H 
002506 	181 	113 	156 	156 
002507 	181 	113 	156 	156 
002508 	181 	113 	156 	156 
002509 	181 	113 	156 	156 
002510 	181 	113 	156 	156 
002511 	181 	113 	156 	156 
002512 	181 	113 	156 	156 
002513 	181 	113 	156 	156 
002514 	181 	113 	156 	156 
002515 	181 	113 	156 	156 
002516 	181 	113 	156 	156 
002517 	181 	130 	156 	156 
002518 	181 	113 	156 	156 
002519 	181 	113 	156 	156 
002520 	194 	123 	130 	130 
002521 	181 	113 	156 	156 
002522 	181 	113 	156 	156 
002523 	181 	130 	156 	156 
002524 	181 	130 	156 	156 
002525 	181 	130 	156 	156 
002526 	194 	152 	130 	130 
002527 	194 	152 	130 	130 
002528 	194 	166 	130 	130 
002529 	194 	166 	130 	130 
002530 	208 	166 	130 	130 
002531 	208 	166 	130 	130 
002532 	208 	166 	130 	130 
002533 	208 	166 	130 	130 
002534 	208 	166 	130 	130 
002535 	208 	166 	130 	130 
002536 	208 	166 	130 	130 
002537 	208 	166 	130 	130 
002538 	208 	166 	130 	130 
002539 	208 	166 	130 	130 
002540 	208 	166 	130 	130 
002541 	208 	166 	130 	130 
002542 	208 	166 	130 	130 
002543 	208 	152 	130 	130 
002544 	208 	152 	130 	130 
002545 	208 	152 	130 	130 
002546 	208 	152 	130 	130 
002547 	208 	152 	130 	130 
002548 	208 	152 	130 	130 
002549 	199 	130 	155 	156 
002550 	199 	130 	155 	156 
002551 	199 	130 	155 	156 
002552 	208 	137 	130 	130 
002553 	208 	137 	130 	130 
002554 	208 	137 	130 	130 
002555 	208 	137 	130 	130 
002556 	208 	137 	130 	130 
002557 	208 	137 	130 	130 
002558 	208 	137 	130 	130 
002559 	208 	137 	130 	130 
002560 	208 	137 	130 	130 
002561 	208 	137 	130 	130 
002562 	223 	137 	130 	130 
002563 	208 	137 	130 	130 
002564 	223 	137 	130 	130 
002565 	223 	137 	130 	130 
002566 	223 	137 	130 	130 
002567 	223 	137 	130 	130 
002568 	208 	137 	130 	130 
002569 	208 	137 	130 	130 
002570 	208 	137 	130 	130 
002571 	208 	137 	130 	130 
002572 	208 	137 	130 	130 
002573 	208 	137 	130 	130 
002574 	199 	130 	155 	156 
002575 	199 	130 	155 	156 
002576 	199 	130 	155 	156 
002577 	199 	130 	155 	156 
002578 	208 	137 	130 	130 
002579 	208 	137 	130 	130 
002580 	208 	137 	130 	130 
002581 	208 	137 	130 	130 
002582 	208 	137 	130 	130 
002583 	208 	137 	130 	130 
002584 	208 	137 	130 	130 
002585 	208 	137 	130 	130 
002586 	199 	130 	155 	156 
002587 	199 	130 	155 	156 
002588 	199 	130 	155 	156 
002589 	199 	130 	155 	156 
002590 	199 	130 	155 	156 
002591 	199 	130 	155 	156 
002592 	199 	130 	155 	156 
002593 	199 	130 	155 	156 
002594 	208 	152 	130 	130 
