Identity  : 	id10273
Reference : 	xN2fSTQHHkw
Offset    : 	-2
FV Conf   : 	18.655
ASD Conf  : 	7.528

FRAME 	X 	Y 	W 	H 
004290 	267 	62 	156 	155 
004291 	267 	62 	156 	155 
004292 	267 	62 	156 	155 
004293 	267 	62 	156 	155 
004294 	267 	62 	156 	155 
004295 	267 	62 	156 	155 
004296 	267 	62 	156 	155 
004297 	294 	80 	130 	130 
004298 	267 	62 	156 	155 
004299 	294 	80 	130 	130 
004300 	294 	80 	130 	130 
004301 	294 	80 	130 	130 
004302 	285 	62 	155 	155 
004303 	285 	62 	155 	155 
004304 	294 	80 	130 	130 
004305 	285 	62 	155 	155 
004306 	285 	62 	155 	155 
004307 	294 	80 	130 	130 
004308 	285 	62 	155 	155 
004309 	285 	62 	155 	155 
004310 	285 	62 	155 	155 
004311 	285 	62 	155 	155 
004312 	285 	62 	155 	155 
004313 	294 	80 	130 	130 
004314 	285 	62 	155 	155 
004315 	285 	62 	155 	155 
004316 	285 	62 	155 	155 
004317 	294 	94 	130 	130 
004318 	294 	94 	130 	130 
004319 	294 	94 	130 	130 
004320 	267 	79 	156 	156 
004321 	267 	79 	156 	156 
004322 	267 	96 	156 	156 
004323 	280 	109 	130 	130 
004324 	280 	109 	130 	130 
004325 	280 	109 	130 	130 
004326 	280 	109 	130 	130 
004327 	280 	109 	130 	130 
004328 	280 	109 	130 	130 
004329 	267 	79 	156 	156 
004330 	267 	79 	156 	156 
004331 	267 	79 	156 	156 
004332 	267 	79 	156 	156 
004333 	267 	96 	156 	156 
004334 	280 	109 	130 	130 
004335 	280 	109 	130 	130 
004336 	280 	109 	130 	130 
004337 	267 	96 	156 	156 
004338 	267 	96 	156 	156 
004339 	267 	96 	156 	156 
004340 	267 	96 	156 	156 
004341 	285 	79 	155 	156 
004342 	285 	79 	155 	156 
004343 	267 	79 	156 	156 
004344 	267 	79 	156 	156 
004345 	267 	79 	156 	156 
004346 	267 	79 	156 	156 
004347 	267 	79 	156 	156 
004348 	267 	79 	156 	156 
004349 	267 	79 	156 	156 
004350 	294 	94 	130 	130 
004351 	267 	96 	156 	156 
004352 	285 	96 	155 	156 
004353 	285 	96 	155 	156 
004354 	285 	96 	155 	156 
004355 	285 	96 	155 	156 
004356 	294 	123 	130 	130 
004357 	294 	123 	130 	130 
004358 	294 	123 	130 	130 
004359 	309 	123 	130 	130 
004360 	309 	123 	130 	130 
004361 	302 	96 	156 	156 
004362 	319 	79 	156 	156 
004363 	319 	79 	156 	156 
004364 	319 	79 	156 	156 
004365 	319 	62 	156 	155 
004366 	319 	62 	156 	155 
004367 	319 	62 	156 	155 
004368 	319 	62 	156 	155 
004369 	337 	80 	130 	130 
004370 	337 	80 	130 	130 
004371 	336 	62 	156 	155 
004372 	352 	80 	130 	130 
004373 	353 	79 	156 	156 
004374 	353 	79 	156 	156 
004375 	371 	79 	155 	156 
004376 	371 	79 	155 	156 
004377 	371 	79 	155 	156 
004378 	371 	79 	155 	156 
004379 	371 	79 	155 	156 
004380 	353 	79 	156 	156 
004381 	352 	94 	130 	130 
004382 	337 	94 	130 	130 
004383 	323 	94 	130 	130 
004384 	309 	80 	130 	130 
004385 	309 	80 	130 	130 
004386 	294 	80 	130 	130 
004387 	280 	94 	130 	130 
004388 	280 	94 	130 	130 
004389 	250 	79 	156 	156 
004390 	250 	79 	156 	156 
004391 	250 	79 	156 	156 
004392 	250 	79 	156 	156 
004393 	233 	79 	156 	156 
004394 	233 	96 	156 	156 
004395 	233 	96 	156 	156 
004396 	233 	96 	156 	156 
004397 	233 	96 	156 	156 
004398 	233 	96 	156 	156 
004399 	233 	96 	156 	156 
004400 	233 	96 	156 	156 
004401 	233 	79 	156 	156 
