Identity  : 	id10275
Reference : 	Mdk1SXywHck
Offset    : 	-2
FV Conf   : 	16.838
ASD Conf  : 	9.430

FRAME 	X 	Y 	W 	H 
007180 	156 	136 	187 	187 
007181 	156 	136 	187 	187 
007182 	156 	136 	187 	187 
007183 	156 	136 	187 	187 
007184 	156 	136 	187 	187 
007185 	138 	114 	224 	224 
007186 	156 	136 	187 	187 
007187 	138 	114 	224 	224 
007188 	177 	157 	187 	186 
007189 	177 	157 	187 	186 
007190 	177 	157 	187 	186 
007191 	177 	157 	187 	186 
007192 	177 	136 	187 	187 
007193 	138 	114 	224 	224 
007194 	177 	136 	187 	187 
007195 	177 	136 	187 	187 
007196 	177 	136 	187 	187 
007197 	177 	136 	187 	187 
007198 	177 	136 	187 	187 
007199 	197 	136 	187 	187 
007200 	197 	136 	187 	187 
007201 	197 	136 	187 	187 
007202 	197 	136 	187 	187 
007203 	197 	136 	187 	187 
007204 	197 	136 	187 	187 
007205 	197 	136 	187 	187 
007206 	197 	136 	187 	187 
007207 	197 	136 	187 	187 
007208 	197 	136 	187 	187 
007209 	197 	136 	187 	187 
007210 	197 	136 	187 	187 
007211 	197 	136 	187 	187 
007212 	197 	136 	187 	187 
007213 	197 	136 	187 	187 
007214 	197 	136 	187 	187 
007215 	197 	136 	187 	187 
007216 	197 	136 	187 	187 
007217 	197 	136 	187 	187 
007218 	197 	136 	187 	187 
007219 	197 	136 	187 	187 
007220 	197 	136 	187 	187 
007221 	197 	136 	187 	187 
007222 	197 	136 	187 	187 
007223 	197 	136 	187 	187 
007224 	197 	136 	187 	187 
007225 	197 	136 	187 	187 
007226 	197 	136 	187 	187 
007227 	197 	136 	187 	187 
007228 	197 	136 	187 	187 
007229 	197 	136 	187 	187 
007230 	197 	136 	187 	187 
007231 	197 	136 	187 	187 
007232 	197 	136 	187 	187 
007233 	197 	136 	187 	187 
007234 	197 	136 	187 	187 
007235 	197 	136 	187 	187 
007236 	197 	136 	187 	187 
007237 	197 	136 	187 	187 
007238 	197 	136 	187 	187 
007239 	197 	136 	187 	187 
007240 	197 	136 	187 	187 
007241 	197 	136 	187 	187 
007242 	197 	136 	187 	187 
007243 	197 	136 	187 	187 
007244 	197 	136 	187 	187 
007245 	197 	136 	187 	187 
007246 	197 	136 	187 	187 
007247 	197 	136 	187 	187 
007248 	197 	136 	187 	187 
007249 	197 	136 	187 	187 
007250 	197 	136 	187 	187 
007251 	197 	136 	187 	187 
007252 	197 	136 	187 	187 
007253 	197 	136 	187 	187 
007254 	197 	136 	187 	187 
007255 	197 	136 	187 	187 
007256 	197 	136 	187 	187 
007257 	197 	136 	187 	187 
007258 	197 	136 	187 	187 
007259 	197 	136 	187 	187 
007260 	197 	136 	187 	187 
007261 	197 	136 	187 	187 
007262 	197 	136 	187 	187 
007263 	197 	136 	187 	187 
007264 	197 	136 	187 	187 
007265 	197 	136 	187 	187 
007266 	197 	136 	187 	187 
007267 	197 	136 	187 	187 
007268 	197 	136 	187 	187 
007269 	197 	136 	187 	187 
007270 	197 	136 	187 	187 
007271 	197 	136 	187 	187 
007272 	197 	136 	187 	187 
007273 	197 	136 	187 	187 
007274 	177 	136 	187 	187 
007275 	177 	136 	187 	187 
007276 	177 	136 	187 	187 
007277 	177 	136 	187 	187 
007278 	177 	136 	187 	187 
007279 	177 	136 	187 	187 
007280 	177 	136 	187 	187 
007281 	177 	136 	187 	187 
007282 	197 	136 	187 	187 
007283 	197 	136 	187 	187 
007284 	197 	136 	187 	187 
007285 	163 	114 	224 	224 
007286 	177 	136 	187 	187 
007287 	177 	136 	187 	187 
007288 	177 	136 	187 	187 
007289 	177 	136 	187 	187 
007290 	177 	136 	187 	187 
007291 	177 	136 	187 	187 
007292 	177 	136 	187 	187 
007293 	177 	136 	187 	187 
007294 	177 	136 	187 	187 
007295 	177 	115 	187 	187 
007296 	177 	115 	187 	187 
007297 	177 	115 	187 	187 
007298 	177 	115 	187 	187 
007299 	138 	89 	224 	224 
007300 	177 	115 	187 	187 
007301 	177 	115 	187 	187 
007302 	177 	115 	187 	187 
