Identity  : 	id10276
Reference : 	5YncBThNd5E
Offset    : 	0
FV Conf   : 	21.049
ASD Conf  : 	6.963

FRAME 	X 	Y 	W 	H 
009516 	223 	80 	130 	130 
009517 	223 	80 	130 	130 
009518 	223 	80 	130 	130 
009519 	223 	80 	130 	130 
009520 	223 	80 	130 	130 
009521 	223 	80 	130 	130 
009522 	223 	80 	130 	130 
009523 	223 	80 	130 	130 
009524 	223 	80 	130 	130 
009525 	223 	80 	130 	130 
009526 	223 	80 	130 	130 
009527 	223 	80 	130 	130 
009528 	223 	80 	130 	130 
009529 	223 	80 	130 	130 
009530 	223 	80 	130 	130 
009531 	237 	94 	130 	130 
009532 	237 	94 	130 	130 
009533 	237 	94 	130 	130 
009534 	237 	94 	130 	130 
009535 	237 	94 	130 	130 
009536 	237 	80 	130 	130 
009537 	237 	94 	130 	130 
009538 	237 	94 	130 	130 
009539 	237 	94 	130 	130 
009540 	237 	94 	130 	130 
009541 	237 	94 	130 	130 
009542 	237 	94 	130 	130 
009543 	237 	94 	130 	130 
009544 	237 	94 	130 	130 
009545 	237 	94 	130 	130 
009546 	237 	94 	130 	130 
009547 	237 	80 	130 	130 
009548 	237 	80 	130 	130 
009549 	237 	80 	130 	130 
009550 	237 	80 	130 	130 
009551 	237 	80 	130 	130 
009552 	237 	80 	130 	130 
009553 	237 	80 	130 	130 
009554 	237 	80 	130 	130 
009555 	237 	66 	130 	130 
009556 	257 	90 	109 	109 
009557 	251 	80 	130 	130 
009558 	251 	80 	130 	130 
009559 	251 	80 	130 	130 
009560 	257 	90 	109 	109 
009561 	251 	80 	130 	130 
009562 	251 	80 	130 	130 
009563 	251 	80 	130 	130 
009564 	251 	80 	130 	130 
009565 	251 	80 	130 	130 
009566 	257 	90 	109 	109 
009567 	251 	80 	130 	130 
009568 	251 	80 	130 	130 
009569 	257 	90 	109 	109 
009570 	257 	90 	109 	109 
009571 	257 	90 	109 	109 
009572 	257 	90 	109 	109 
009573 	257 	90 	109 	109 
009574 	257 	90 	109 	109 
009575 	257 	90 	109 	109 
009576 	257 	90 	109 	109 
009577 	237 	80 	130 	130 
009578 	237 	80 	130 	130 
009579 	237 	80 	130 	130 
009580 	237 	80 	130 	130 
009581 	237 	80 	130 	130 
009582 	237 	80 	130 	130 
009583 	237 	80 	130 	130 
009584 	237 	80 	130 	130 
009585 	237 	80 	130 	130 
009586 	237 	80 	130 	130 
009587 	237 	80 	130 	130 
009588 	237 	80 	130 	130 
009589 	237 	80 	130 	130 
009590 	237 	80 	130 	130 
009591 	237 	80 	130 	130 
009592 	237 	94 	130 	130 
009593 	237 	94 	130 	130 
009594 	237 	80 	130 	130 
009595 	237 	80 	130 	130 
009596 	237 	80 	130 	130 
009597 	237 	80 	130 	130 
009598 	237 	80 	130 	130 
009599 	237 	80 	130 	130 
009600 	237 	80 	130 	130 
009601 	237 	94 	130 	130 
009602 	237 	94 	130 	130 
009603 	237 	94 	130 	130 
009604 	237 	80 	130 	130 
009605 	237 	94 	130 	130 
009606 	237 	94 	130 	130 
009607 	237 	94 	130 	130 
009608 	237 	94 	130 	130 
009609 	237 	94 	130 	130 
009610 	237 	80 	130 	130 
009611 	237 	94 	130 	130 
009612 	237 	94 	130 	130 
009613 	237 	94 	130 	130 
009614 	237 	94 	130 	130 
009615 	237 	94 	130 	130 
009616 	237 	94 	130 	130 
009617 	237 	94 	130 	130 
009618 	237 	94 	130 	130 
009619 	237 	94 	130 	130 
009620 	237 	94 	130 	130 
009621 	237 	94 	130 	130 
009622 	237 	94 	130 	130 
009623 	237 	94 	130 	130 
009624 	237 	94 	130 	130 
009625 	237 	94 	130 	130 
009626 	237 	94 	130 	130 
009627 	237 	94 	130 	130 
009628 	237 	94 	130 	130 
009629 	237 	94 	130 	130 
009630 	237 	94 	130 	130 
009631 	237 	94 	130 	130 
009632 	237 	94 	130 	130 
009633 	237 	94 	130 	130 
009634 	237 	94 	130 	130 
009635 	237 	94 	130 	130 
009636 	237 	94 	130 	130 
009637 	237 	94 	130 	130 
009638 	237 	94 	130 	130 
009639 	237 	94 	130 	130 
009640 	237 	94 	130 	130 
009641 	237 	94 	130 	130 
009642 	237 	94 	130 	130 
009643 	237 	94 	130 	130 
009644 	237 	94 	130 	130 
009645 	237 	94 	130 	130 
009646 	237 	94 	130 	130 
009647 	237 	94 	130 	130 
009648 	237 	94 	130 	130 
009649 	237 	94 	130 	130 
009650 	245 	102 	109 	109 
009651 	245 	102 	109 	109 
009652 	245 	102 	109 	109 
009653 	237 	94 	130 	130 
009654 	245 	102 	109 	109 
009655 	237 	94 	130 	130 
009656 	245 	102 	109 	109 
009657 	245 	102 	109 	109 
009658 	245 	102 	109 	109 
009659 	237 	94 	130 	130 
009660 	233 	102 	109 	109 
009661 	233 	102 	109 	109 
009662 	233 	102 	109 	109 
009663 	223 	94 	130 	130 
009664 	223 	94 	130 	130 
009665 	233 	102 	109 	109 
009666 	233 	102 	109 	109 
009667 	223 	94 	130 	130 
009668 	233 	102 	109 	109 
009669 	233 	102 	109 	109 
009670 	233 	102 	109 	109 
009671 	223 	94 	130 	130 
009672 	223 	94 	130 	130 
009673 	223 	94 	130 	130 
009674 	223 	94 	130 	130 
009675 	223 	94 	130 	130 
009676 	223 	80 	130 	130 
009677 	223 	80 	130 	130 
009678 	223 	94 	130 	130 
009679 	233 	102 	109 	109 
009680 	223 	94 	130 	130 
009681 	223 	94 	130 	130 
009682 	223 	94 	130 	130 
009683 	223 	94 	130 	130 
009684 	223 	94 	130 	130 
009685 	223 	94 	130 	130 
009686 	233 	102 	109 	109 
009687 	233 	102 	109 	109 
009688 	233 	102 	109 	109 
009689 	223 	94 	130 	130 
009690 	233 	102 	109 	109 
009691 	223 	94 	130 	130 
009692 	233 	102 	109 	109 
009693 	233 	102 	109 	109 
009694 	223 	80 	130 	130 
009695 	223 	80 	130 	130 
009696 	233 	102 	109 	109 
009697 	245 	102 	109 	109 
009698 	245 	102 	109 	109 
009699 	245 	102 	109 	109 
009700 	245 	102 	109 	109 
009701 	245 	102 	109 	109 
009702 	245 	102 	109 	109 
009703 	245 	102 	109 	109 
009704 	245 	102 	109 	109 
009705 	245 	102 	109 	109 
009706 	245 	102 	109 	109 
009707 	245 	102 	109 	109 
009708 	245 	102 	109 	109 
009709 	245 	102 	109 	109 
009710 	245 	102 	109 	109 
009711 	245 	102 	109 	109 
009712 	245 	102 	109 	109 
009713 	245 	102 	109 	109 
009714 	245 	102 	109 	109 
009715 	245 	102 	109 	109 
009716 	245 	102 	109 	109 
009717 	237 	94 	130 	130 
009718 	245 	102 	109 	109 
009719 	245 	102 	109 	109 
009720 	245 	102 	109 	109 
009721 	245 	102 	109 	109 
009722 	245 	102 	109 	109 
