Identity  : 	id10276
Reference : 	CooJzMgoxzw
Offset    : 	-1
FV Conf   : 	14.468
ASD Conf  : 	6.928

FRAME 	X 	Y 	W 	H 
003106 	95 	112 	76 	76 
003107 	95 	112 	76 	76 
003108 	95 	112 	76 	76 
003109 	95 	112 	76 	76 
003110 	95 	112 	76 	76 
003111 	95 	112 	76 	76 
003112 	95 	112 	76 	76 
003113 	95 	112 	76 	76 
003114 	95 	112 	76 	76 
003115 	95 	112 	76 	76 
003116 	95 	112 	76 	76 
003117 	95 	112 	76 	76 
003118 	95 	112 	76 	76 
003119 	95 	112 	76 	76 
003120 	95 	112 	76 	76 
003121 	95 	112 	76 	76 
003122 	95 	112 	76 	76 
003123 	95 	112 	76 	76 
003124 	95 	112 	76 	76 
003125 	95 	112 	76 	76 
003126 	95 	112 	76 	76 
003127 	95 	112 	76 	76 
003128 	95 	112 	76 	76 
003129 	95 	112 	76 	76 
003130 	95 	112 	76 	76 
003131 	95 	112 	76 	76 
003132 	95 	112 	76 	76 
003133 	95 	112 	76 	76 
003134 	95 	112 	76 	76 
003135 	95 	112 	76 	76 
003136 	95 	112 	76 	76 
003137 	95 	112 	76 	76 
003138 	95 	112 	76 	76 
003139 	95 	112 	76 	76 
003140 	95 	112 	76 	76 
003141 	95 	112 	76 	76 
003142 	95 	112 	76 	76 
003143 	95 	112 	76 	76 
003144 	95 	112 	76 	76 
003145 	100 	121 	63 	63 
003146 	95 	112 	76 	76 
003147 	100 	121 	63 	63 
003148 	100 	121 	63 	63 
003149 	100 	121 	63 	63 
003150 	100 	121 	63 	63 
003151 	100 	121 	63 	63 
003152 	100 	121 	63 	63 
003153 	98 	116 	70 	70 
003154 	95 	112 	76 	76 
003155 	95 	112 	76 	76 
003156 	95 	112 	76 	76 
003157 	95 	112 	76 	76 
003158 	95 	112 	76 	76 
003159 	95 	112 	76 	76 
003160 	95 	112 	76 	76 
003161 	95 	112 	76 	76 
003162 	95 	112 	76 	76 
003163 	93 	121 	63 	63 
003164 	93 	121 	63 	63 
003165 	93 	128 	63 	63 
003166 	87 	121 	76 	75 
003167 	87 	121 	76 	75 
003168 	87 	121 	76 	75 
003169 	95 	121 	76 	75 
003170 	95 	121 	76 	75 
003171 	95 	121 	76 	75 
003172 	95 	121 	76 	75 
003173 	95 	121 	76 	75 
003174 	95 	121 	76 	75 
003175 	95 	121 	76 	75 
003176 	95 	121 	76 	75 
003177 	100 	121 	63 	63 
003178 	100 	121 	63 	63 
003179 	100 	121 	63 	63 
003180 	100 	121 	63 	63 
003181 	100 	121 	63 	63 
003182 	100 	121 	63 	63 
003183 	100 	121 	63 	63 
003184 	100 	121 	63 	63 
003185 	100 	121 	63 	63 
003186 	100 	121 	63 	63 
003187 	100 	121 	63 	63 
003188 	95 	121 	76 	75 
003189 	95 	121 	76 	75 
003190 	95 	121 	76 	75 
003191 	95 	121 	76 	75 
003192 	95 	121 	76 	75 
003193 	95 	121 	76 	75 
003194 	95 	121 	76 	75 
003195 	87 	121 	76 	75 
003196 	87 	121 	76 	75 
003197 	87 	121 	76 	75 
003198 	87 	121 	76 	75 
003199 	87 	121 	76 	75 
003200 	87 	121 	76 	75 
003201 	87 	121 	76 	75 
003202 	87 	121 	76 	75 
003203 	87 	121 	76 	75 
003204 	93 	121 	63 	63 
003205 	87 	121 	76 	75 
003206 	87 	121 	76 	75 
003207 	87 	121 	76 	75 
003208 	87 	121 	76 	75 
003209 	93 	121 	63 	63 
003210 	93 	121 	63 	63 
003211 	93 	121 	63 	63 
003212 	93 	121 	63 	63 
003213 	93 	121 	63 	63 
003214 	93 	121 	63 	63 
003215 	93 	121 	63 	63 
003216 	93 	121 	63 	63 
003217 	87 	112 	76 	76 
003218 	87 	121 	76 	75 
003219 	87 	112 	76 	76 
003220 	93 	121 	63 	63 
003221 	93 	121 	63 	63 
003222 	87 	112 	76 	76 
003223 	93 	121 	63 	63 
003224 	93 	121 	63 	63 
003225 	93 	121 	63 	63 
003226 	93 	121 	63 	63 
003227 	93 	121 	63 	63 
003228 	93 	121 	63 	63 
003229 	93 	121 	63 	63 
003230 	93 	121 	63 	63 
003231 	93 	121 	63 	63 
003232 	93 	121 	63 	63 
003233 	93 	121 	63 	63 
003234 	93 	128 	63 	63 
003235 	93 	128 	63 	63 
003236 	93 	128 	63 	63 
003237 	87 	121 	76 	75 
003238 	93 	128 	63 	63 
003239 	93 	128 	63 	63 
003240 	93 	121 	63 	63 
003241 	87 	121 	76 	75 
003242 	87 	121 	76 	75 
003243 	87 	121 	76 	75 
003244 	87 	121 	76 	75 
003245 	93 	121 	63 	63 
003246 	87 	121 	76 	75 
003247 	87 	121 	76 	75 
003248 	93 	121 	63 	63 
003249 	93 	121 	63 	63 
