Identity  : 	id10276
Reference : 	HrA2BLcLApA
Offset    : 	-2
FV Conf   : 	16.954
ASD Conf  : 	5.549

FRAME 	X 	Y 	W 	H 
015683 	329 	90 	108 	109 
015684 	329 	90 	108 	109 
015685 	317 	90 	108 	109 
015686 	329 	90 	108 	109 
015687 	329 	90 	108 	109 
015688 	329 	90 	108 	109 
015689 	329 	90 	108 	109 
015690 	329 	90 	108 	109 
015691 	317 	90 	108 	109 
015692 	329 	90 	108 	109 
015693 	317 	90 	108 	109 
015694 	317 	90 	108 	109 
015695 	317 	90 	108 	109 
015696 	317 	90 	108 	109 
015697 	317 	90 	108 	109 
015698 	317 	90 	108 	109 
015699 	317 	90 	108 	109 
015700 	317 	90 	108 	109 
015701 	317 	90 	108 	109 
015702 	317 	90 	108 	109 
015703 	317 	90 	108 	109 
015704 	317 	90 	108 	109 
015705 	317 	90 	108 	109 
015706 	317 	90 	108 	109 
015707 	317 	90 	108 	109 
015708 	317 	90 	108 	109 
015709 	317 	90 	108 	109 
015710 	317 	90 	108 	109 
015711 	317 	90 	108 	109 
015712 	317 	90 	108 	109 
015713 	317 	90 	108 	109 
015714 	317 	90 	108 	109 
015715 	317 	90 	108 	109 
015716 	317 	90 	108 	109 
015717 	317 	90 	108 	109 
015718 	317 	90 	108 	109 
015719 	317 	90 	108 	109 
015720 	317 	90 	108 	109 
015721 	317 	90 	108 	109 
015722 	317 	90 	108 	109 
015723 	317 	90 	108 	109 
015724 	317 	90 	108 	109 
015725 	317 	90 	108 	109 
015726 	317 	90 	108 	109 
015727 	317 	90 	108 	109 
015728 	317 	90 	108 	109 
015729 	317 	90 	108 	109 
015730 	317 	90 	108 	109 
015731 	317 	90 	108 	109 
015732 	317 	90 	108 	109 
015733 	317 	90 	108 	109 
015734 	317 	90 	108 	109 
015735 	317 	90 	108 	109 
015736 	317 	90 	108 	109 
015737 	317 	90 	108 	109 
015738 	317 	90 	108 	109 
015739 	317 	90 	108 	109 
015740 	317 	90 	108 	109 
015741 	317 	90 	108 	109 
015742 	317 	90 	108 	109 
015743 	317 	90 	108 	109 
015744 	317 	90 	108 	109 
015745 	317 	90 	108 	109 
015746 	317 	90 	108 	109 
015747 	317 	90 	108 	109 
015748 	317 	90 	108 	109 
015749 	317 	90 	108 	109 
015750 	317 	90 	108 	109 
015751 	317 	90 	108 	109 
015752 	317 	90 	108 	109 
015753 	317 	90 	108 	109 
015754 	317 	90 	108 	109 
015755 	317 	102 	108 	109 
015756 	317 	102 	108 	109 
015757 	317 	90 	108 	109 
015758 	317 	90 	108 	109 
015759 	317 	90 	108 	109 
015760 	317 	102 	108 	109 
015761 	317 	102 	108 	109 
015762 	317 	102 	108 	109 
015763 	317 	102 	108 	109 
015764 	317 	102 	108 	109 
015765 	317 	90 	108 	109 
015766 	317 	90 	108 	109 
015767 	317 	90 	108 	109 
015768 	317 	90 	108 	109 
015769 	317 	90 	108 	109 
015770 	309 	94 	130 	130 
015771 	317 	102 	108 	109 
015772 	317 	102 	108 	109 
015773 	317 	102 	108 	109 
015774 	317 	102 	108 	109 
015775 	317 	102 	108 	109 
015776 	317 	102 	108 	109 
015777 	317 	102 	108 	109 
015778 	317 	102 	108 	109 
015779 	317 	102 	108 	109 
015780 	317 	102 	108 	109 
015781 	317 	102 	108 	109 
015782 	317 	102 	108 	109 
015783 	317 	102 	108 	109 
015784 	317 	102 	108 	109 
015785 	317 	102 	108 	109 
015786 	317 	102 	108 	109 
015787 	317 	102 	108 	109 
015788 	317 	102 	108 	109 
015789 	317 	102 	108 	109 
015790 	317 	102 	108 	109 
015791 	317 	102 	108 	109 
015792 	317 	102 	108 	109 
015793 	317 	102 	108 	109 
015794 	317 	102 	108 	109 
015795 	317 	102 	108 	109 
015796 	317 	102 	108 	109 
015797 	317 	102 	108 	109 
015798 	317 	102 	108 	109 
015799 	317 	102 	108 	109 
015800 	317 	102 	108 	109 
015801 	317 	102 	108 	109 
015802 	317 	102 	108 	109 
015803 	317 	90 	108 	109 
