Identity  : 	id10276
Reference : 	S0j29b3KVWQ
Offset    : 	-2
FV Conf   : 	18.900
ASD Conf  : 	6.778

FRAME 	X 	Y 	W 	H 
003586 	365 	90 	108 	109 
003587 	365 	90 	108 	109 
003588 	365 	90 	108 	109 
003589 	365 	90 	108 	109 
003590 	365 	90 	108 	109 
003591 	365 	90 	108 	109 
003592 	365 	90 	108 	109 
003593 	365 	90 	108 	109 
003594 	365 	90 	108 	109 
003595 	365 	90 	108 	109 
003596 	365 	90 	108 	109 
003597 	365 	90 	108 	109 
003598 	365 	90 	108 	109 
003599 	365 	90 	108 	109 
003600 	365 	90 	108 	109 
003601 	365 	90 	108 	109 
003602 	365 	90 	108 	109 
003603 	365 	90 	108 	109 
003604 	365 	90 	108 	109 
003605 	365 	90 	108 	109 
003606 	365 	90 	108 	109 
003607 	365 	90 	108 	109 
003608 	365 	90 	108 	109 
003609 	365 	90 	108 	109 
003610 	365 	90 	108 	109 
003611 	365 	90 	108 	109 
003612 	365 	90 	108 	109 
003613 	365 	90 	108 	109 
003614 	365 	90 	108 	109 
003615 	365 	90 	108 	109 
003616 	373 	105 	91 	91 
003617 	373 	105 	91 	91 
003618 	365 	90 	108 	109 
003619 	365 	90 	108 	109 
003620 	373 	105 	91 	91 
003621 	373 	105 	91 	91 
003622 	373 	105 	91 	91 
003623 	373 	105 	91 	91 
003624 	373 	105 	91 	91 
003625 	373 	105 	91 	91 
003626 	373 	105 	91 	91 
003627 	373 	105 	91 	91 
003628 	373 	105 	91 	91 
003629 	373 	105 	91 	91 
003630 	373 	105 	91 	91 
003631 	373 	105 	91 	91 
003632 	373 	105 	91 	91 
003633 	373 	105 	91 	91 
003634 	373 	105 	91 	91 
003635 	373 	105 	91 	91 
003636 	373 	105 	91 	91 
003637 	373 	105 	91 	91 
003638 	373 	105 	91 	91 
003639 	373 	105 	91 	91 
003640 	373 	105 	91 	91 
003641 	373 	105 	91 	91 
003642 	373 	105 	91 	91 
003643 	373 	105 	91 	91 
003644 	373 	105 	91 	91 
003645 	373 	105 	91 	91 
003646 	373 	105 	91 	91 
003647 	373 	105 	91 	91 
003648 	373 	105 	91 	91 
003649 	373 	105 	91 	91 
003650 	373 	105 	91 	91 
003651 	373 	105 	91 	91 
003652 	373 	105 	91 	91 
003653 	373 	105 	91 	91 
003654 	373 	105 	91 	91 
003655 	373 	105 	91 	91 
003656 	373 	105 	91 	91 
003657 	373 	105 	91 	91 
003658 	373 	105 	91 	91 
003659 	373 	105 	91 	91 
003660 	373 	105 	91 	91 
003661 	373 	105 	91 	91 
003662 	373 	105 	91 	91 
003663 	373 	105 	91 	91 
003664 	373 	105 	91 	91 
003665 	373 	105 	91 	91 
003666 	373 	105 	91 	91 
003667 	373 	105 	91 	91 
003668 	373 	105 	91 	91 
003669 	373 	105 	91 	91 
003670 	373 	105 	91 	91 
003671 	373 	105 	91 	91 
003672 	373 	105 	91 	91 
003673 	373 	105 	91 	91 
003674 	373 	105 	91 	91 
003675 	373 	105 	91 	91 
003676 	373 	105 	91 	91 
003677 	373 	105 	91 	91 
003678 	373 	105 	91 	91 
003679 	373 	105 	91 	91 
003680 	373 	105 	91 	91 
003681 	373 	105 	91 	91 
003682 	373 	105 	91 	91 
003683 	373 	105 	91 	91 
003684 	373 	105 	91 	91 
003685 	373 	105 	91 	91 
003686 	373 	105 	91 	91 
003687 	373 	105 	91 	91 
003688 	373 	105 	91 	91 
