Identity  : 	id10276
Reference : 	YloBWJxXzMI
Offset    : 	-3
FV Conf   : 	14.217
ASD Conf  : 	7.728

FRAME 	X 	Y 	W 	H 
004990 	174 	75 	91 	91 
004991 	174 	75 	91 	91 
004992 	174 	75 	91 	91 
004993 	174 	75 	91 	91 
004994 	174 	75 	91 	91 
004995 	186 	87 	76 	76 
004996 	174 	75 	91 	91 
004997 	184 	75 	91 	91 
004998 	186 	79 	76 	76 
004999 	186 	79 	76 	76 
005000 	186 	79 	76 	76 
005001 	186 	79 	76 	76 
005002 	184 	65 	91 	91 
005003 	186 	79 	76 	76 
005004 	184 	65 	91 	91 
005005 	184 	65 	91 	91 
005006 	184 	65 	91 	91 
005007 	184 	65 	91 	91 
005008 	184 	65 	91 	91 
005009 	184 	65 	91 	91 
005010 	184 	65 	91 	91 
005011 	184 	65 	91 	91 
005012 	184 	65 	91 	91 
005013 	184 	65 	91 	91 
005014 	184 	65 	91 	91 
005015 	184 	65 	91 	91 
005016 	184 	65 	91 	91 
005017 	184 	65 	91 	91 
005018 	184 	65 	91 	91 
005019 	184 	65 	91 	91 
005020 	184 	65 	91 	91 
005021 	184 	65 	91 	91 
005022 	184 	65 	91 	91 
005023 	184 	65 	91 	91 
005024 	184 	65 	91 	91 
005025 	184 	65 	91 	91 
005026 	184 	65 	91 	91 
005027 	184 	65 	91 	91 
005028 	184 	65 	91 	91 
005029 	184 	65 	91 	91 
005030 	184 	65 	91 	91 
005031 	184 	65 	91 	91 
005032 	184 	65 	91 	91 
005033 	184 	65 	91 	91 
005034 	184 	65 	91 	91 
005035 	184 	75 	91 	91 
005036 	194 	75 	91 	91 
005037 	185 	66 	109 	109 
005038 	194 	75 	91 	91 
005039 	194 	75 	91 	91 
005040 	194 	75 	91 	91 
005041 	194 	75 	91 	91 
005042 	194 	75 	91 	91 
005043 	194 	75 	91 	91 
005044 	194 	75 	91 	91 
005045 	194 	75 	91 	91 
005046 	194 	75 	91 	91 
005047 	194 	75 	91 	91 
005048 	195 	79 	75 	76 
005049 	195 	79 	75 	76 
005050 	184 	75 	91 	91 
005051 	184 	75 	91 	91 
005052 	184 	75 	91 	91 
005053 	184 	75 	91 	91 
005054 	184 	75 	91 	91 
005055 	184 	75 	91 	91 
005056 	184 	75 	91 	91 
005057 	184 	75 	91 	91 
005058 	184 	75 	91 	91 
005059 	184 	75 	91 	91 
005060 	184 	75 	91 	91 
005061 	184 	75 	91 	91 
005062 	184 	75 	91 	91 
005063 	184 	75 	91 	91 
005064 	184 	75 	91 	91 
005065 	186 	79 	76 	76 
005066 	186 	79 	76 	76 
005067 	186 	79 	76 	76 
005068 	186 	79 	76 	76 
005069 	186 	79 	76 	76 
005070 	186 	79 	76 	76 
005071 	186 	79 	76 	76 
005072 	186 	79 	76 	76 
005073 	186 	79 	76 	76 
005074 	186 	79 	76 	76 
005075 	186 	79 	76 	76 
005076 	184 	65 	91 	91 
005077 	186 	79 	76 	76 
005078 	184 	65 	91 	91 
005079 	184 	65 	91 	91 
005080 	184 	65 	91 	91 
005081 	184 	65 	91 	91 
005082 	184 	65 	91 	91 
005083 	184 	75 	91 	91 
005084 	184 	75 	91 	91 
005085 	184 	75 	91 	91 
005086 	184 	75 	91 	91 
005087 	184 	75 	91 	91 
005088 	184 	75 	91 	91 
005089 	184 	75 	91 	91 
005090 	184 	75 	91 	91 
005091 	184 	75 	91 	91 
005092 	184 	75 	91 	91 
005093 	184 	75 	91 	91 
005094 	184 	75 	91 	91 
005095 	184 	75 	91 	91 
005096 	184 	75 	91 	91 
005097 	184 	75 	91 	91 
005098 	184 	75 	91 	91 
005099 	184 	65 	91 	91 
005100 	184 	75 	91 	91 
005101 	184 	65 	91 	91 
005102 	184 	65 	91 	91 
005103 	184 	65 	91 	91 
005104 	184 	65 	91 	91 
005105 	184 	65 	91 	91 
005106 	184 	65 	91 	91 
005107 	184 	65 	91 	91 
005108 	184 	65 	91 	91 
005109 	184 	65 	91 	91 
005110 	184 	65 	91 	91 
005111 	184 	65 	91 	91 
005112 	184 	65 	91 	91 
005113 	184 	65 	91 	91 
005114 	184 	65 	91 	91 
005115 	184 	65 	91 	91 
005116 	184 	65 	91 	91 
005117 	184 	65 	91 	91 
005118 	184 	65 	91 	91 
