Identity  : 	id10276
Reference : 	aaJo0S1lnhY
Offset    : 	0
FV Conf   : 	13.216
ASD Conf  : 	6.765

FRAME 	X 	Y 	W 	H 
000405 	403 	85 	91 	91 
000406 	403 	85 	91 	91 
000407 	403 	85 	91 	91 
000408 	403 	85 	91 	91 
000409 	403 	85 	91 	91 
000410 	403 	85 	91 	91 
000411 	403 	85 	91 	91 
000412 	403 	85 	91 	91 
000413 	403 	85 	91 	91 
000414 	403 	85 	91 	91 
000415 	403 	85 	91 	91 
000416 	403 	85 	91 	91 
000417 	403 	85 	91 	91 
000418 	403 	85 	91 	91 
000419 	403 	85 	91 	91 
000420 	403 	85 	91 	91 
000421 	403 	85 	91 	91 
000422 	403 	85 	91 	91 
000423 	403 	85 	91 	91 
000424 	403 	85 	91 	91 
000425 	403 	85 	91 	91 
000426 	403 	85 	91 	91 
000427 	403 	85 	91 	91 
000428 	403 	85 	91 	91 
000429 	403 	85 	91 	91 
000430 	403 	85 	91 	91 
000431 	403 	85 	91 	91 
000432 	403 	85 	91 	91 
000433 	403 	85 	91 	91 
000434 	403 	85 	91 	91 
000435 	403 	85 	91 	91 
000436 	403 	85 	91 	91 
000437 	403 	85 	91 	91 
000438 	403 	85 	91 	91 
000439 	403 	85 	91 	91 
000440 	403 	85 	91 	91 
000441 	403 	85 	91 	91 
000442 	403 	85 	91 	91 
000443 	403 	85 	91 	91 
000444 	403 	85 	91 	91 
000445 	403 	85 	91 	91 
000446 	403 	85 	91 	91 
000447 	403 	85 	91 	91 
000448 	403 	95 	91 	91 
000449 	403 	95 	91 	91 
000450 	403 	95 	91 	91 
000451 	393 	95 	91 	91 
000452 	393 	95 	91 	91 
000453 	393 	85 	91 	91 
000454 	410 	96 	76 	75 
000455 	403 	85 	91 	91 
000456 	403 	85 	91 	91 
000457 	403 	95 	91 	91 
000458 	413 	95 	91 	91 
000459 	423 	95 	91 	91 
000460 	423 	85 	91 	91 
000461 	423 	85 	91 	91 
000462 	423 	85 	91 	91 
000463 	433 	85 	91 	91 
000464 	433 	85 	91 	91 
000465 	433 	85 	91 	91 
000466 	433 	85 	91 	91 
000467 	433 	85 	91 	91 
000468 	433 	85 	91 	91 
000469 	433 	85 	91 	91 
000470 	433 	85 	91 	91 
000471 	423 	85 	91 	91 
000472 	423 	85 	91 	91 
000473 	423 	85 	91 	91 
000474 	423 	85 	91 	91 
000475 	423 	85 	91 	91 
000476 	423 	85 	91 	91 
000477 	423 	85 	91 	91 
000478 	423 	85 	91 	91 
000479 	423 	85 	91 	91 
000480 	423 	85 	91 	91 
