Identity  : 	id10277
Reference : 	tbh20gz_KRA
Offset    : 	3
FV Conf   : 	18.088
ASD Conf  : 	6.399

FRAME 	X 	Y 	W 	H 
017986 	164 	130 	156 	156 
017987 	164 	130 	156 	156 
017988 	164 	130 	156 	156 
017989 	164 	130 	156 	156 
017990 	164 	130 	156 	156 
017991 	164 	130 	156 	156 
017992 	164 	113 	156 	156 
017993 	164 	113 	156 	156 
017994 	164 	113 	156 	156 
017995 	156 	115 	187 	187 
017996 	156 	115 	187 	187 
017997 	156 	115 	187 	187 
017998 	156 	115 	187 	187 
017999 	156 	115 	187 	187 
018000 	156 	115 	187 	187 
018001 	156 	115 	187 	187 
018002 	181 	130 	156 	156 
018003 	156 	115 	187 	187 
018004 	156 	115 	187 	187 
018005 	181 	130 	156 	156 
018006 	156 	115 	187 	187 
018007 	156 	115 	187 	187 
018008 	156 	95 	187 	186 
018009 	156 	95 	187 	186 
018010 	156 	95 	187 	186 
018011 	156 	95 	187 	186 
018012 	156 	95 	187 	186 
018013 	156 	95 	187 	186 
018014 	156 	95 	187 	186 
018015 	156 	95 	187 	186 
018016 	156 	95 	187 	186 
018017 	156 	95 	187 	186 
018018 	156 	95 	187 	186 
018019 	156 	95 	187 	186 
018020 	156 	95 	187 	186 
018021 	156 	95 	187 	186 
018022 	156 	95 	187 	186 
018023 	156 	95 	187 	186 
018024 	156 	95 	187 	186 
018025 	156 	95 	187 	186 
018026 	156 	95 	187 	186 
018027 	156 	95 	187 	186 
018028 	164 	113 	156 	156 
018029 	164 	113 	156 	156 
018030 	135 	95 	187 	186 
018031 	164 	130 	156 	156 
018032 	164 	130 	156 	156 
018033 	180 	109 	130 	130 
018034 	156 	95 	187 	186 
018035 	164 	130 	156 	156 
018036 	164 	113 	156 	156 
018037 	164 	130 	156 	156 
018038 	164 	130 	156 	156 
018039 	164 	130 	156 	156 
018040 	164 	130 	156 	156 
018041 	164 	130 	156 	156 
018042 	164 	130 	156 	156 
018043 	164 	130 	156 	156 
018044 	164 	130 	156 	156 
018045 	164 	130 	156 	156 
018046 	164 	130 	156 	156 
018047 	135 	115 	187 	187 
018048 	135 	115 	187 	187 
018049 	135 	115 	187 	187 
018050 	135 	115 	187 	187 
018051 	135 	115 	187 	187 
018052 	135 	115 	187 	187 
018053 	135 	115 	187 	187 
018054 	135 	115 	187 	187 
018055 	135 	115 	187 	187 
018056 	135 	115 	187 	187 
018057 	135 	115 	187 	187 
018058 	135 	115 	187 	187 
018059 	135 	115 	187 	187 
018060 	135 	115 	187 	187 
018061 	135 	115 	187 	187 
018062 	135 	115 	187 	187 
018063 	135 	115 	187 	187 
018064 	147 	130 	156 	156 
018065 	135 	115 	187 	187 
018066 	135 	115 	187 	187 
018067 	135 	115 	187 	187 
018068 	147 	130 	156 	156 
018069 	135 	115 	187 	187 
018070 	147 	130 	156 	156 
018071 	147 	130 	156 	156 
018072 	147 	130 	156 	156 
018073 	147 	130 	156 	156 
018074 	147 	130 	156 	156 
018075 	147 	130 	156 	156 
018076 	115 	95 	187 	186 
018077 	115 	95 	187 	186 
018078 	115 	95 	187 	186 
018079 	115 	95 	187 	186 
018080 	115 	95 	187 	186 
018081 	115 	95 	187 	186 
018082 	115 	95 	187 	186 
018083 	115 	95 	187 	186 
018084 	115 	95 	187 	186 
018085 	130 	130 	156 	156 
018086 	115 	95 	187 	186 
018087 	115 	95 	187 	186 
018088 	135 	95 	187 	186 
018089 	115 	95 	187 	186 
018090 	135 	95 	187 	186 
018091 	135 	95 	187 	186 
018092 	135 	95 	187 	186 
018093 	135 	95 	187 	186 
018094 	135 	95 	187 	186 
018095 	135 	95 	187 	186 
018096 	135 	95 	187 	186 
018097 	135 	95 	187 	186 
018098 	135 	95 	187 	186 
018099 	135 	95 	187 	186 
018100 	135 	95 	187 	186 
018101 	135 	95 	187 	186 
018102 	135 	95 	187 	186 
018103 	135 	115 	187 	187 
018104 	135 	115 	187 	187 
018105 	135 	115 	187 	187 
018106 	135 	115 	187 	187 
018107 	135 	115 	187 	187 
018108 	135 	115 	187 	187 
018109 	135 	115 	187 	187 
018110 	135 	115 	187 	187 
018111 	135 	115 	187 	187 
018112 	135 	115 	187 	187 
018113 	135 	115 	187 	187 
018114 	135 	115 	187 	187 
018115 	135 	95 	187 	186 
018116 	135 	95 	187 	186 
018117 	135 	95 	187 	186 
018118 	135 	95 	187 	186 
018119 	135 	95 	187 	186 
018120 	135 	95 	187 	186 
018121 	135 	95 	187 	186 
018122 	135 	95 	187 	186 
