Identity  : 	id10277
Reference : 	znxUWA2QAGs
Offset    : 	-3
FV Conf   : 	13.310
ASD Conf  : 	6.955

FRAME 	X 	Y 	W 	H 
006697 	443 	115 	90 	91 
006698 	443 	115 	90 	91 
006699 	443 	115 	90 	91 
006700 	443 	115 	90 	91 
006701 	443 	115 	90 	91 
006702 	443 	115 	90 	91 
006703 	443 	115 	90 	91 
006704 	443 	115 	90 	91 
006705 	444 	112 	75 	76 
006706 	444 	112 	75 	76 
006707 	433 	105 	91 	91 
006708 	433 	105 	91 	91 
006709 	433 	105 	91 	91 
006710 	433 	105 	91 	91 
006711 	443 	115 	90 	91 
006712 	444 	112 	75 	76 
006713 	443 	105 	90 	91 
006714 	444 	112 	75 	76 
006715 	444 	112 	75 	76 
006716 	444 	112 	75 	76 
006717 	433 	105 	91 	91 
006718 	433 	105 	91 	91 
006719 	433 	105 	91 	91 
006720 	433 	105 	91 	91 
006721 	443 	115 	90 	91 
006722 	433 	105 	91 	91 
006723 	443 	115 	90 	91 
006724 	443 	115 	90 	91 
006725 	443 	115 	90 	91 
006726 	443 	115 	90 	91 
006727 	443 	115 	90 	91 
006728 	443 	115 	90 	91 
006729 	443 	115 	90 	91 
006730 	443 	115 	90 	91 
006731 	443 	105 	90 	91 
006732 	443 	105 	90 	91 
006733 	443 	105 	90 	91 
006734 	443 	105 	90 	91 
006735 	443 	105 	90 	91 
006736 	452 	112 	75 	76 
006737 	452 	112 	75 	76 
006738 	443 	105 	90 	91 
006739 	452 	112 	75 	76 
006740 	452 	112 	75 	76 
006741 	453 	105 	90 	91 
006742 	452 	112 	75 	76 
006743 	443 	105 	90 	91 
006744 	443 	105 	90 	91 
006745 	443 	105 	90 	91 
006746 	443 	105 	90 	91 
006747 	443 	105 	90 	91 
006748 	443 	105 	90 	91 
006749 	443 	105 	90 	91 
006750 	443 	105 	90 	91 
006751 	443 	105 	90 	91 
006752 	443 	115 	90 	91 
006753 	443 	115 	90 	91 
006754 	443 	115 	90 	91 
006755 	443 	115 	90 	91 
006756 	443 	115 	90 	91 
006757 	443 	115 	90 	91 
006758 	443 	115 	90 	91 
006759 	443 	115 	90 	91 
006760 	443 	115 	90 	91 
006761 	443 	115 	90 	91 
006762 	443 	115 	90 	91 
006763 	443 	115 	90 	91 
006764 	443 	115 	90 	91 
006765 	433 	115 	91 	91 
006766 	433 	115 	91 	91 
006767 	433 	115 	91 	91 
006768 	433 	115 	91 	91 
006769 	433 	115 	91 	91 
006770 	433 	115 	91 	91 
006771 	433 	115 	91 	91 
006772 	433 	115 	91 	91 
006773 	433 	115 	91 	91 
006774 	433 	115 	91 	91 
006775 	433 	115 	91 	91 
006776 	433 	115 	91 	91 
006777 	433 	115 	91 	91 
006778 	433 	115 	91 	91 
006779 	433 	115 	91 	91 
006780 	433 	115 	91 	91 
006781 	433 	115 	91 	91 
006782 	433 	115 	91 	91 
006783 	433 	115 	91 	91 
006784 	433 	115 	91 	91 
006785 	433 	115 	91 	91 
006786 	433 	125 	91 	90 
006787 	433 	125 	91 	90 
006788 	433 	115 	91 	91 
006789 	433 	115 	91 	91 
006790 	433 	115 	91 	91 
006791 	433 	115 	91 	91 
006792 	433 	115 	91 	91 
006793 	433 	115 	91 	91 
006794 	433 	115 	91 	91 
006795 	433 	115 	91 	91 
006796 	433 	115 	91 	91 
006797 	443 	125 	90 	90 
006798 	443 	125 	90 	90 
006799 	443 	125 	90 	90 
006800 	443 	125 	90 	90 
006801 	443 	125 	90 	90 
006802 	443 	125 	90 	90 
006803 	443 	125 	90 	90 
006804 	443 	125 	90 	90 
006805 	443 	125 	90 	90 
006806 	443 	125 	90 	90 
006807 	443 	115 	90 	91 
006808 	443 	115 	90 	91 
006809 	443 	115 	90 	91 
006810 	443 	115 	90 	91 
006811 	443 	115 	90 	91 
006812 	443 	115 	90 	91 
006813 	443 	115 	90 	91 
006814 	443 	115 	90 	91 
006815 	443 	115 	90 	91 
006816 	443 	115 	90 	91 
006817 	443 	115 	90 	91 
006818 	443 	115 	90 	91 
006819 	443 	115 	90 	91 
006820 	443 	115 	90 	91 
006821 	443 	115 	90 	91 
006822 	443 	115 	90 	91 
006823 	443 	115 	90 	91 
006824 	443 	115 	90 	91 
006825 	443 	115 	90 	91 
006826 	443 	125 	90 	90 
006827 	443 	115 	90 	91 
006828 	443 	115 	90 	91 
006829 	443 	125 	90 	90 
006830 	443 	125 	90 	90 
006831 	443 	125 	90 	90 
006832 	443 	125 	90 	90 
006833 	443 	125 	90 	90 
006834 	443 	125 	90 	90 
006835 	443 	125 	90 	90 
006836 	443 	125 	90 	90 
006837 	443 	125 	90 	90 
006838 	433 	125 	91 	90 
006839 	433 	115 	91 	91 
006840 	443 	125 	90 	90 
006841 	443 	125 	90 	90 
006842 	443 	125 	90 	90 
006843 	433 	115 	91 	91 
006844 	443 	125 	90 	90 
006845 	443 	125 	90 	90 
006846 	443 	125 	90 	90 
006847 	443 	125 	90 	90 
006848 	443 	125 	90 	90 
006849 	443 	125 	90 	90 
006850 	443 	115 	90 	91 
006851 	443 	115 	90 	91 
006852 	443 	115 	90 	91 
006853 	443 	115 	90 	91 
006854 	443 	115 	90 	91 
006855 	443 	115 	90 	91 
006856 	443 	115 	90 	91 
006857 	443 	115 	90 	91 
006858 	443 	115 	90 	91 
006859 	443 	115 	90 	91 
006860 	443 	115 	90 	91 
006861 	443 	115 	90 	91 
006862 	443 	115 	90 	91 
006863 	443 	115 	90 	91 
006864 	443 	115 	90 	91 
006865 	443 	115 	90 	91 
