Identity  : 	id10278
Reference : 	DSGE2F5sTcg
Offset    : 	1
FV Conf   : 	15.173
ASD Conf  : 	6.971

FRAME 	X 	Y 	W 	H 
010790 	223 	80 	130 	130 
010791 	223 	80 	130 	130 
010792 	223 	80 	130 	130 
010793 	223 	80 	130 	130 
010794 	223 	80 	130 	130 
010795 	223 	80 	130 	130 
010796 	223 	80 	130 	130 
010797 	223 	80 	130 	130 
010798 	223 	80 	130 	130 
010799 	223 	80 	130 	130 
010800 	223 	80 	130 	130 
010801 	223 	80 	130 	130 
010802 	223 	80 	130 	130 
010803 	223 	80 	130 	130 
010804 	223 	80 	130 	130 
010805 	199 	44 	155 	156 
010806 	199 	44 	155 	156 
010807 	221 	78 	109 	109 
010808 	199 	44 	155 	156 
010809 	221 	78 	109 	109 
010810 	208 	51 	130 	130 
010811 	223 	66 	130 	130 
010812 	233 	66 	109 	109 
010813 	233 	66 	109 	109 
010814 	233 	66 	109 	109 
010815 	233 	66 	109 	109 
010816 	233 	66 	109 	109 
010817 	223 	66 	130 	130 
010818 	199 	44 	155 	156 
010819 	199 	44 	155 	156 
010820 	221 	78 	109 	109 
010821 	208 	66 	130 	130 
010822 	208 	66 	130 	130 
010823 	209 	78 	109 	109 
010824 	194 	51 	130 	130 
010825 	181 	44 	156 	156 
010826 	181 	44 	156 	156 
010827 	194 	66 	130 	130 
010828 	194 	66 	130 	130 
010829 	194 	66 	130 	130 
010830 	194 	66 	130 	130 
010831 	197 	78 	109 	109 
010832 	197 	78 	109 	109 
010833 	197 	78 	109 	109 
010834 	164 	44 	156 	156 
010835 	197 	78 	109 	109 
010836 	197 	78 	109 	109 
010837 	197 	78 	109 	109 
010838 	197 	78 	109 	109 
010839 	194 	66 	130 	130 
010840 	194 	66 	130 	130 
010841 	194 	51 	130 	130 
010842 	194 	51 	130 	130 
010843 	194 	51 	130 	130 
010844 	194 	51 	130 	130 
010845 	208 	66 	130 	130 
010846 	208 	66 	130 	130 
