Identity  : 	id10278
Reference : 	Pp-rAswo4Xg
Offset    : 	-3
FV Conf   : 	16.488
ASD Conf  : 	5.361

FRAME 	X 	Y 	W 	H 
013138 	199 	113 	155 	156 
013139 	199 	113 	155 	156 
013140 	199 	113 	155 	156 
013141 	199 	113 	155 	156 
013142 	199 	113 	155 	156 
013143 	208 	123 	130 	130 
013144 	181 	96 	156 	156 
013145 	181 	96 	156 	156 
013146 	181 	96 	156 	156 
013147 	181 	96 	156 	156 
013148 	181 	96 	156 	156 
013149 	181 	96 	156 	156 
013150 	181 	96 	156 	156 
013151 	181 	96 	156 	156 
013152 	181 	96 	156 	156 
013153 	181 	96 	156 	156 
013154 	181 	96 	156 	156 
013155 	181 	96 	156 	156 
013156 	181 	96 	156 	156 
013157 	181 	96 	156 	156 
013158 	181 	96 	156 	156 
013159 	164 	96 	156 	156 
013160 	164 	96 	156 	156 
013161 	164 	96 	156 	156 
013162 	164 	96 	156 	156 
013163 	164 	96 	156 	156 
013164 	164 	96 	156 	156 
013165 	164 	96 	156 	156 
013166 	181 	96 	156 	156 
013167 	181 	96 	156 	156 
013168 	181 	96 	156 	156 
013169 	181 	96 	156 	156 
013170 	181 	96 	156 	156 
013171 	181 	96 	156 	156 
013172 	181 	96 	156 	156 
013173 	182 	96 	155 	155 
013174 	182 	96 	155 	155 
013175 	182 	96 	155 	155 
013176 	182 	97 	155 	155 
013177 	182 	97 	155 	155 
013178 	183 	97 	154 	154 
013179 	183 	97 	154 	154 
013180 	183 	97 	154 	154 
013181 	183 	97 	154 	154 
013182 	183 	97 	154 	154 
013183 	184 	97 	154 	154 
013184 	184 	97 	153 	153 
013185 	184 	97 	153 	153 
013186 	184 	98 	153 	153 
013187 	184 	98 	153 	153 
013188 	185 	98 	153 	153 
013189 	185 	98 	152 	152 
013190 	185 	98 	152 	152 
013191 	185 	98 	152 	152 
013192 	185 	98 	152 	152 
013193 	186 	98 	152 	152 
013194 	186 	98 	151 	151 
013195 	186 	98 	151 	151 
013196 	186 	98 	151 	151 
013197 	186 	99 	151 	151 
013198 	187 	99 	151 	151 
013199 	187 	99 	150 	150 
013200 	187 	99 	150 	150 
013201 	187 	99 	150 	150 
013202 	187 	99 	150 	150 
013203 	188 	99 	150 	150 
013204 	188 	99 	150 	150 
013205 	188 	99 	149 	149 
013206 	188 	99 	149 	149 
013207 	188 	100 	149 	149 
013208 	189 	100 	149 	149 
013209 	189 	100 	149 	149 
013210 	189 	100 	148 	148 
013211 	189 	100 	148 	148 
013212 	189 	100 	148 	148 
013213 	190 	100 	148 	148 
013214 	190 	100 	148 	148 
013215 	190 	100 	147 	147 
013216 	190 	100 	147 	147 
013217 	190 	100 	147 	147 
013218 	191 	101 	147 	147 
013219 	191 	101 	147 	147 
013220 	191 	101 	146 	146 
013221 	191 	101 	146 	146 
013222 	191 	101 	146 	146 
013223 	192 	101 	146 	146 
013224 	192 	101 	146 	146 
013225 	192 	101 	145 	145 
013226 	192 	101 	145 	145 
013227 	192 	101 	145 	145 
013228 	193 	102 	145 	145 
013229 	193 	102 	145 	145 
013230 	193 	102 	145 	145 
013231 	193 	102 	144 	144 
013232 	193 	102 	144 	144 
013233 	194 	102 	144 	144 
013234 	194 	102 	144 	144 
013235 	194 	102 	144 	144 
013236 	194 	102 	143 	143 
013237 	194 	102 	143 	143 
013238 	194 	102 	143 	143 
013239 	195 	103 	143 	143 
