Identity  : 	id10278
Reference : 	d6WJf6TOoIQ
Offset    : 	2
FV Conf   : 	18.978
ASD Conf  : 	5.813

FRAME 	X 	Y 	W 	H 
006197 	150 	54 	108 	109 
006198 	150 	54 	108 	109 
006199 	150 	54 	108 	109 
006200 	150 	54 	108 	109 
006201 	164 	65 	91 	91 
006202 	164 	65 	91 	91 
006203 	164 	65 	91 	91 
006204 	164 	65 	91 	91 
006205 	164 	65 	91 	91 
006206 	164 	65 	91 	91 
006207 	164 	65 	91 	91 
006208 	164 	65 	91 	91 
006209 	164 	65 	91 	91 
006210 	164 	65 	91 	91 
006211 	164 	65 	91 	91 
006212 	164 	65 	91 	91 
006213 	161 	43 	109 	108 
006214 	161 	43 	109 	108 
006215 	161 	54 	109 	109 
006216 	161 	54 	109 	109 
006217 	161 	54 	109 	109 
006218 	161 	54 	109 	109 
006219 	161 	54 	109 	109 
006220 	161 	54 	109 	109 
006221 	161 	54 	109 	109 
006222 	161 	54 	109 	109 
006223 	161 	54 	109 	109 
006224 	161 	54 	109 	109 
006225 	161 	54 	109 	109 
006226 	161 	43 	109 	108 
006227 	161 	43 	109 	108 
006228 	161 	43 	109 	108 
006229 	161 	43 	109 	108 
006230 	161 	43 	109 	108 
006231 	161 	43 	109 	108 
006232 	161 	43 	109 	108 
006233 	161 	43 	109 	108 
006234 	161 	43 	109 	108 
006235 	161 	43 	109 	108 
006236 	161 	43 	109 	108 
006237 	161 	43 	109 	108 
006238 	161 	43 	109 	108 
006239 	161 	43 	109 	108 
006240 	161 	43 	109 	108 
006241 	161 	43 	109 	108 
006242 	161 	43 	109 	108 
006243 	161 	43 	109 	108 
006244 	161 	43 	109 	108 
006245 	161 	43 	109 	108 
006246 	161 	43 	109 	108 
006247 	161 	43 	109 	108 
006248 	161 	43 	109 	108 
006249 	161 	43 	109 	108 
006250 	161 	43 	109 	108 
006251 	161 	43 	109 	108 
006252 	161 	43 	109 	108 
006253 	161 	43 	109 	108 
006254 	161 	43 	109 	108 
006255 	161 	43 	109 	108 
006256 	161 	43 	109 	108 
006257 	151 	23 	130 	130 
006258 	161 	43 	109 	108 
006259 	161 	43 	109 	108 
006260 	174 	55 	91 	91 
006261 	161 	43 	109 	108 
006262 	161 	43 	109 	108 
006263 	161 	43 	109 	108 
006264 	161 	43 	109 	108 
006265 	165 	23 	130 	130 
006266 	165 	23 	130 	130 
006267 	173 	43 	109 	108 
006268 	173 	43 	109 	108 
006269 	173 	43 	109 	108 
006270 	173 	43 	109 	108 
006271 	173 	43 	109 	108 
006272 	173 	43 	109 	108 
006273 	173 	43 	109 	108 
006274 	173 	43 	109 	108 
006275 	173 	43 	109 	108 
006276 	173 	43 	109 	108 
006277 	173 	43 	109 	108 
006278 	173 	43 	109 	108 
006279 	173 	43 	109 	108 
006280 	173 	43 	109 	108 
006281 	173 	54 	109 	109 
006282 	173 	54 	109 	109 
006283 	173 	54 	109 	109 
006284 	173 	54 	109 	109 
006285 	173 	54 	109 	109 
006286 	173 	54 	109 	109 
006287 	173 	54 	109 	109 
006288 	173 	54 	109 	109 
006289 	173 	54 	109 	109 
006290 	173 	54 	109 	109 
006291 	173 	54 	109 	109 
006292 	173 	54 	109 	109 
006293 	173 	54 	109 	109 
006294 	173 	54 	109 	109 
006295 	173 	54 	109 	109 
