Identity  : 	id10278
Reference : 	iEAqbqZ7dDg
Offset    : 	1
FV Conf   : 	19.420
ASD Conf  : 	7.586

FRAME 	X 	Y 	W 	H 
002556 	223 	51 	130 	130 
002557 	223 	51 	130 	130 
002558 	223 	51 	130 	130 
002559 	223 	51 	130 	130 
002560 	223 	51 	130 	130 
002561 	223 	51 	130 	130 
002562 	223 	51 	130 	130 
002563 	223 	51 	130 	130 
002564 	223 	51 	130 	130 
002565 	223 	51 	130 	130 
002566 	223 	66 	130 	130 
002567 	233 	66 	109 	109 
002568 	223 	66 	130 	130 
002569 	233 	66 	109 	109 
002570 	223 	66 	130 	130 
002571 	223 	66 	130 	130 
002572 	223 	66 	130 	130 
002573 	208 	51 	130 	130 
002574 	208 	51 	130 	130 
002575 	208 	51 	130 	130 
002576 	209 	78 	109 	109 
002577 	194 	51 	130 	130 
002578 	194 	51 	130 	130 
002579 	194 	51 	130 	130 
002580 	197 	78 	109 	109 
002581 	197 	66 	109 	109 
002582 	197 	78 	109 	109 
002583 	197 	78 	109 	109 
002584 	197 	78 	109 	109 
002585 	197 	78 	109 	109 
002586 	197 	78 	109 	109 
002587 	197 	78 	109 	109 
002588 	197 	78 	109 	109 
002589 	197 	78 	109 	109 
002590 	194 	51 	130 	130 
002591 	197 	66 	109 	109 
002592 	197 	66 	109 	109 
002593 	197 	66 	109 	109 
002594 	180 	51 	130 	130 
002595 	180 	51 	130 	130 
002596 	180 	66 	130 	130 
002597 	180 	66 	130 	130 
002598 	180 	66 	130 	130 
002599 	180 	66 	130 	130 
002600 	180 	66 	130 	130 
002601 	180 	66 	130 	130 
002602 	180 	51 	130 	130 
002603 	194 	51 	130 	130 
002604 	194 	51 	130 	130 
002605 	194 	51 	130 	130 
002606 	194 	51 	130 	130 
002607 	194 	51 	130 	130 
002608 	194 	51 	130 	130 
002609 	194 	51 	130 	130 
002610 	194 	51 	130 	130 
002611 	194 	51 	130 	130 
002612 	194 	51 	130 	130 
002613 	197 	78 	109 	109 
002614 	197 	78 	109 	109 
002615 	197 	78 	109 	109 
002616 	197 	78 	109 	109 
002617 	197 	78 	109 	109 
002618 	197 	78 	109 	109 
002619 	194 	51 	130 	130 
002620 	194 	51 	130 	130 
002621 	194 	51 	130 	130 
002622 	194 	51 	130 	130 
002623 	194 	51 	130 	130 
002624 	194 	51 	130 	130 
002625 	194 	51 	130 	130 
002626 	194 	51 	130 	130 
002627 	194 	51 	130 	130 
002628 	194 	51 	130 	130 
002629 	194 	51 	130 	130 
002630 	194 	51 	130 	130 
002631 	194 	51 	130 	130 
002632 	194 	51 	130 	130 
002633 	194 	51 	130 	130 
002634 	194 	51 	130 	130 
002635 	194 	51 	130 	130 
002636 	194 	51 	130 	130 
002637 	194 	51 	130 	130 
002638 	194 	51 	130 	130 
002639 	194 	66 	130 	130 
002640 	194 	66 	130 	130 
002641 	194 	66 	130 	130 
002642 	194 	66 	130 	130 
002643 	194 	66 	130 	130 
002644 	194 	66 	130 	130 
002645 	194 	66 	130 	130 
002646 	194 	66 	130 	130 
002647 	194 	66 	130 	130 
002648 	194 	66 	130 	130 
002649 	194 	66 	130 	130 
002650 	194 	66 	130 	130 
002651 	194 	66 	130 	130 
002652 	209 	78 	109 	109 
002653 	209 	78 	109 	109 
002654 	209 	78 	109 	109 
002655 	209 	78 	109 	109 
002656 	194 	51 	130 	130 
002657 	209 	78 	109 	109 
002658 	194 	51 	130 	130 
002659 	194 	51 	130 	130 
002660 	181 	44 	156 	156 
002661 	181 	44 	156 	156 
002662 	181 	44 	156 	156 
002663 	181 	44 	156 	156 
002664 	181 	44 	156 	156 
002665 	194 	51 	130 	130 
002666 	194 	51 	130 	130 
002667 	194 	51 	130 	130 
002668 	194 	51 	130 	130 
002669 	194 	51 	130 	130 
002670 	194 	51 	130 	130 
002671 	194 	51 	130 	130 
002672 	194 	51 	130 	130 
002673 	194 	51 	130 	130 
002674 	194 	51 	130 	130 
002675 	194 	51 	130 	130 
002676 	194 	37 	130 	130 
002677 	194 	37 	130 	130 
002678 	194 	37 	130 	130 
002679 	194 	37 	130 	130 
002680 	209 	66 	109 	109 
002681 	209 	66 	109 	109 
002682 	194 	37 	130 	130 
002683 	194 	37 	130 	130 
002684 	194 	37 	130 	130 
002685 	194 	37 	130 	130 
002686 	194 	37 	130 	130 
002687 	209 	66 	109 	109 
002688 	209 	66 	109 	109 
002689 	209 	66 	109 	109 
002690 	194 	37 	130 	130 
002691 	194 	37 	130 	130 
002692 	194 	37 	130 	130 
002693 	194 	37 	130 	130 
002694 	209 	66 	109 	109 
002695 	194 	51 	130 	130 
002696 	194 	51 	130 	130 
002697 	194 	51 	130 	130 
002698 	194 	37 	130 	130 
002699 	194 	37 	130 	130 
002700 	194 	37 	130 	130 
002701 	194 	51 	130 	130 
