Identity  : 	id10278
Reference : 	rgcxEM5jOc4
Offset    : 	1
FV Conf   : 	16.137
ASD Conf  : 	6.021

FRAME 	X 	Y 	W 	H 
000612 	208 	66 	130 	130 
000613 	208 	66 	130 	130 
000614 	208 	66 	130 	130 
000615 	208 	51 	130 	130 
000616 	208 	51 	130 	130 
000617 	208 	51 	130 	130 
000618 	208 	51 	130 	130 
000619 	208 	51 	130 	130 
000620 	208 	51 	130 	130 
000621 	208 	51 	130 	130 
000622 	208 	51 	130 	130 
000623 	208 	51 	130 	130 
000624 	208 	51 	130 	130 
000625 	208 	51 	130 	130 
000626 	208 	51 	130 	130 
000627 	208 	51 	130 	130 
000628 	208 	51 	130 	130 
000629 	181 	27 	156 	156 
000630 	181 	27 	156 	156 
000631 	181 	27 	156 	156 
000632 	194 	37 	130 	130 
000633 	194 	37 	130 	130 
000634 	194 	37 	130 	130 
000635 	194 	37 	130 	130 
000636 	194 	37 	130 	130 
000637 	194 	37 	130 	130 
000638 	194 	37 	130 	130 
000639 	180 	37 	130 	130 
000640 	180 	37 	130 	130 
000641 	180 	37 	130 	130 
000642 	180 	37 	130 	130 
000643 	180 	51 	130 	130 
000644 	180 	51 	130 	130 
000645 	180 	51 	130 	130 
000646 	180 	51 	130 	130 
000647 	180 	51 	130 	130 
000648 	180 	51 	130 	130 
000649 	180 	51 	130 	130 
000650 	194 	51 	130 	130 
000651 	194 	51 	130 	130 
000652 	194 	51 	130 	130 
000653 	194 	51 	130 	130 
000654 	194 	51 	130 	130 
000655 	194 	37 	130 	130 
000656 	194 	37 	130 	130 
000657 	180 	37 	130 	130 
000658 	197 	54 	109 	109 
000659 	197 	54 	109 	109 
000660 	197 	54 	109 	109 
000661 	180 	37 	130 	130 
000662 	197 	54 	109 	109 
000663 	197 	54 	109 	109 
000664 	180 	51 	130 	130 
000665 	180 	51 	130 	130 
000666 	194 	51 	130 	130 
000667 	194 	51 	130 	130 
000668 	194 	51 	130 	130 
000669 	194 	51 	130 	130 
000670 	194 	51 	130 	130 
000671 	194 	51 	130 	130 
000672 	194 	51 	130 	130 
000673 	194 	51 	130 	130 
000674 	194 	51 	130 	130 
000675 	194 	51 	130 	130 
000676 	194 	51 	130 	130 
000677 	194 	51 	130 	130 
000678 	194 	51 	130 	130 
000679 	180 	51 	130 	130 
000680 	194 	51 	130 	130 
000681 	180 	51 	130 	130 
000682 	194 	51 	130 	130 
000683 	180 	51 	130 	130 
000684 	194 	51 	130 	130 
000685 	180 	51 	130 	130 
000686 	194 	51 	130 	130 
000687 	194 	51 	130 	130 
000688 	194 	51 	130 	130 
000689 	197 	66 	109 	109 
000690 	194 	51 	130 	130 
000691 	194 	51 	130 	130 
000692 	194 	51 	130 	130 
000693 	194 	51 	130 	130 
000694 	194 	51 	130 	130 
000695 	194 	51 	130 	130 
000696 	194 	51 	130 	130 
000697 	194 	51 	130 	130 
000698 	194 	51 	130 	130 
000699 	194 	51 	130 	130 
000700 	194 	51 	130 	130 
000701 	194 	51 	130 	130 
000702 	194 	51 	130 	130 
000703 	194 	51 	130 	130 
000704 	194 	51 	130 	130 
000705 	194 	51 	130 	130 
000706 	194 	51 	130 	130 
000707 	194 	51 	130 	130 
000708 	194 	51 	130 	130 
000709 	194 	51 	130 	130 
000710 	194 	51 	130 	130 
000711 	194 	51 	130 	130 
000712 	194 	51 	130 	130 
000713 	194 	51 	130 	130 
000714 	194 	51 	130 	130 
000715 	194 	51 	130 	130 
000716 	194 	51 	130 	130 
000717 	194 	51 	130 	130 
000718 	194 	51 	130 	130 
000719 	194 	51 	130 	130 
000720 	194 	51 	130 	130 
000721 	194 	51 	130 	130 
000722 	194 	51 	130 	130 
000723 	194 	51 	130 	130 
000724 	194 	51 	130 	130 
000725 	194 	51 	130 	130 
000726 	194 	51 	130 	130 
000727 	194 	51 	130 	130 
000728 	194 	51 	130 	130 
000729 	194 	51 	130 	130 
000730 	194 	51 	130 	130 
000731 	194 	51 	130 	130 
000732 	194 	51 	130 	130 
000733 	194 	51 	130 	130 
000734 	194 	51 	130 	130 
000735 	180 	51 	130 	130 
000736 	180 	51 	130 	130 
000737 	180 	51 	130 	130 
000738 	180 	51 	130 	130 
000739 	180 	37 	130 	130 
000740 	180 	37 	130 	130 
000741 	180 	37 	130 	130 
000742 	180 	37 	130 	130 
000743 	180 	37 	130 	130 
000744 	180 	51 	130 	130 
000745 	180 	51 	130 	130 
000746 	180 	37 	130 	130 
000747 	180 	37 	130 	130 
000748 	180 	37 	130 	130 
000749 	180 	37 	130 	130 
000750 	180 	37 	130 	130 
000751 	180 	37 	130 	130 
000752 	180 	37 	130 	130 
000753 	180 	37 	130 	130 
000754 	180 	37 	130 	130 
000755 	180 	37 	130 	130 
000756 	180 	37 	130 	130 
000757 	180 	37 	130 	130 
000758 	180 	51 	130 	130 
000759 	180 	51 	130 	130 
000760 	180 	51 	130 	130 
000761 	180 	37 	130 	130 
000762 	180 	37 	130 	130 
000763 	180 	37 	130 	130 
000764 	180 	51 	130 	130 
000765 	180 	51 	130 	130 
000766 	180 	51 	130 	130 
000767 	180 	51 	130 	130 
000768 	180 	51 	130 	130 
000769 	180 	51 	130 	130 
000770 	180 	51 	130 	130 
000771 	180 	51 	130 	130 
000772 	180 	51 	130 	130 
000773 	180 	51 	130 	130 
000774 	180 	51 	130 	130 
000775 	180 	51 	130 	130 
000776 	180 	51 	130 	130 
000777 	180 	51 	130 	130 
000778 	180 	51 	130 	130 
000779 	180 	51 	130 	130 
000780 	180 	51 	130 	130 
000781 	180 	51 	130 	130 
000782 	180 	51 	130 	130 
000783 	180 	51 	130 	130 
000784 	180 	51 	130 	130 
000785 	180 	51 	130 	130 
000786 	180 	51 	130 	130 
000787 	180 	51 	130 	130 
000788 	180 	51 	130 	130 
000789 	180 	51 	130 	130 
000790 	180 	51 	130 	130 
000791 	180 	51 	130 	130 
000792 	180 	51 	130 	130 
000793 	197 	66 	109 	109 
