Identity  : 	id10279
Reference : 	4Q1IvdayPR8
Offset    : 	0
FV Conf   : 	17.438
ASD Conf  : 	6.961

FRAME 	X 	Y 	W 	H 
001686 	366 	94 	130 	130 
001687 	366 	94 	130 	130 
001688 	366 	94 	130 	130 
001689 	366 	94 	130 	130 
001690 	366 	94 	130 	130 
001691 	366 	94 	130 	130 
001692 	366 	94 	130 	130 
001693 	366 	94 	130 	130 
001694 	366 	94 	130 	130 
001695 	366 	94 	130 	130 
001696 	366 	94 	130 	130 
001697 	366 	94 	130 	130 
001698 	366 	94 	130 	130 
001699 	366 	94 	130 	130 
001700 	366 	94 	130 	130 
001701 	366 	94 	130 	130 
001702 	366 	94 	130 	130 
001703 	366 	94 	130 	130 
001704 	366 	94 	130 	130 
001705 	366 	94 	130 	130 
001706 	366 	94 	130 	130 
001707 	366 	94 	130 	130 
001708 	366 	94 	130 	130 
001709 	366 	94 	130 	130 
001710 	366 	94 	130 	130 
001711 	366 	94 	130 	130 
001712 	366 	94 	130 	130 
001713 	366 	94 	130 	130 
001714 	366 	94 	130 	130 
001715 	352 	109 	130 	130 
001716 	352 	94 	130 	130 
001717 	352 	94 	130 	130 
001718 	352 	94 	130 	130 
001719 	352 	94 	130 	130 
001720 	352 	94 	130 	130 
001721 	366 	94 	130 	130 
001722 	366 	94 	130 	130 
001723 	366 	94 	130 	130 
001724 	366 	94 	130 	130 
001725 	352 	94 	130 	130 
001726 	352 	94 	130 	130 
001727 	352 	94 	130 	130 
001728 	352 	94 	130 	130 
001729 	352 	94 	130 	130 
001730 	352 	94 	130 	130 
001731 	352 	94 	130 	130 
001732 	352 	94 	130 	130 
001733 	352 	94 	130 	130 
001734 	352 	94 	130 	130 
001735 	352 	94 	130 	130 
001736 	352 	94 	130 	130 
001737 	352 	94 	130 	130 
001738 	352 	94 	130 	130 
001739 	352 	94 	130 	130 
001740 	352 	94 	130 	130 
001741 	352 	94 	130 	130 
001742 	352 	94 	130 	130 
001743 	352 	94 	130 	130 
001744 	352 	94 	130 	130 
001745 	352 	94 	130 	130 
001746 	352 	80 	130 	130 
001747 	352 	94 	130 	130 
001748 	352 	94 	130 	130 
001749 	352 	94 	130 	130 
001750 	352 	94 	130 	130 
001751 	352 	94 	130 	130 
001752 	352 	94 	130 	130 
001753 	352 	94 	130 	130 
001754 	352 	94 	130 	130 
001755 	352 	94 	130 	130 
001756 	352 	94 	130 	130 
001757 	352 	94 	130 	130 
001758 	352 	94 	130 	130 
001759 	352 	94 	130 	130 
001760 	352 	94 	130 	130 
001761 	337 	109 	130 	130 
001762 	337 	109 	130 	130 
001763 	337 	109 	130 	130 
001764 	337 	109 	130 	130 
001765 	337 	109 	130 	130 
001766 	337 	109 	130 	130 
001767 	337 	109 	130 	130 
001768 	337 	109 	130 	130 
001769 	337 	109 	130 	130 
001770 	337 	109 	130 	130 
001771 	337 	109 	130 	130 
001772 	337 	109 	130 	130 
001773 	337 	109 	130 	130 
001774 	323 	94 	130 	130 
001775 	323 	94 	130 	130 
001776 	323 	94 	130 	130 
001777 	337 	94 	130 	130 
001778 	337 	94 	130 	130 
001779 	337 	94 	130 	130 
001780 	337 	94 	130 	130 
001781 	337 	94 	130 	130 
001782 	337 	94 	130 	130 
001783 	337 	94 	130 	130 
001784 	337 	94 	130 	130 
001785 	337 	94 	130 	130 
001786 	337 	94 	130 	130 
001787 	337 	94 	130 	130 
001788 	337 	94 	130 	130 
001789 	337 	94 	130 	130 
001790 	337 	94 	130 	130 
001791 	337 	94 	130 	130 
001792 	337 	94 	130 	130 
001793 	337 	94 	130 	130 
001794 	337 	94 	130 	130 
001795 	352 	94 	130 	130 
001796 	352 	94 	130 	130 
001797 	352 	94 	130 	130 
001798 	352 	94 	130 	130 
001799 	352 	94 	130 	130 
001800 	337 	94 	130 	130 
001801 	337 	94 	130 	130 
001802 	337 	94 	130 	130 
001803 	337 	94 	130 	130 
001804 	337 	94 	130 	130 
001805 	337 	94 	130 	130 
001806 	337 	94 	130 	130 
001807 	337 	94 	130 	130 
001808 	337 	94 	130 	130 
001809 	337 	94 	130 	130 
001810 	337 	94 	130 	130 
001811 	337 	94 	130 	130 
001812 	337 	94 	130 	130 
001813 	337 	94 	130 	130 
001814 	337 	94 	130 	130 
001815 	337 	94 	130 	130 
001816 	337 	94 	130 	130 
001817 	337 	94 	130 	130 
