Identity  : 	id10279
Reference : 	DTbpchx4xes
Offset    : 	0
FV Conf   : 	21.605
ASD Conf  : 	6.971

FRAME 	X 	Y 	W 	H 
000661 	280 	80 	130 	130 
000662 	280 	80 	130 	130 
000663 	280 	80 	130 	130 
000664 	280 	80 	130 	130 
000665 	280 	80 	130 	130 
000666 	280 	80 	130 	130 
000667 	280 	80 	130 	130 
000668 	280 	80 	130 	130 
000669 	280 	80 	130 	130 
000670 	280 	80 	130 	130 
000671 	280 	80 	130 	130 
000672 	280 	80 	130 	130 
000673 	280 	80 	130 	130 
000674 	280 	80 	130 	130 
000675 	280 	80 	130 	130 
000676 	280 	80 	130 	130 
000677 	280 	80 	130 	130 
000678 	294 	80 	130 	130 
000679 	294 	80 	130 	130 
000680 	294 	80 	130 	130 
000681 	294 	80 	130 	130 
000682 	294 	80 	130 	130 
000683 	294 	80 	130 	130 
000684 	294 	80 	130 	130 
000685 	294 	80 	130 	130 
000686 	294 	94 	130 	130 
000687 	294 	94 	130 	130 
000688 	294 	94 	130 	130 
000689 	294 	94 	130 	130 
000690 	294 	94 	130 	130 
000691 	294 	80 	130 	130 
000692 	294 	80 	130 	130 
000693 	294 	80 	130 	130 
000694 	309 	80 	130 	130 
000695 	309 	80 	130 	130 
000696 	309 	80 	130 	130 
000697 	309 	80 	130 	130 
000698 	309 	80 	130 	130 
000699 	309 	80 	130 	130 
000700 	309 	80 	130 	130 
000701 	309 	80 	130 	130 
000702 	309 	80 	130 	130 
000703 	309 	80 	130 	130 
000704 	309 	80 	130 	130 
000705 	309 	80 	130 	130 
000706 	309 	80 	130 	130 
000707 	309 	80 	130 	130 
000708 	309 	80 	130 	130 
000709 	309 	80 	130 	130 
000710 	309 	80 	130 	130 
000711 	294 	80 	130 	130 
000712 	294 	80 	130 	130 
000713 	294 	80 	130 	130 
000714 	294 	80 	130 	130 
000715 	294 	80 	130 	130 
000716 	294 	80 	130 	130 
000717 	294 	80 	130 	130 
000718 	294 	80 	130 	130 
000719 	294 	80 	130 	130 
000720 	294 	80 	130 	130 
000721 	294 	80 	130 	130 
000722 	294 	80 	130 	130 
000723 	294 	80 	130 	130 
000724 	294 	80 	130 	130 
000725 	280 	80 	130 	130 
000726 	280 	80 	130 	130 
000727 	280 	80 	130 	130 
000728 	280 	80 	130 	130 
000729 	280 	80 	130 	130 
000730 	280 	80 	130 	130 
000731 	280 	80 	130 	130 
000732 	280 	80 	130 	130 
000733 	280 	80 	130 	130 
000734 	280 	80 	130 	130 
000735 	280 	80 	130 	130 
000736 	280 	80 	130 	130 
000737 	280 	80 	130 	130 
000738 	280 	80 	130 	130 
000739 	280 	80 	130 	130 
000740 	280 	80 	130 	130 
000741 	280 	80 	130 	130 
000742 	280 	80 	130 	130 
000743 	280 	80 	130 	130 
000744 	280 	80 	130 	130 
000745 	280 	80 	130 	130 
000746 	280 	80 	130 	130 
000747 	280 	80 	130 	130 
000748 	280 	80 	130 	130 
000749 	280 	80 	130 	130 
000750 	294 	80 	130 	130 
000751 	294 	80 	130 	130 
000752 	294 	80 	130 	130 
000753 	294 	80 	130 	130 
000754 	294 	80 	130 	130 
000755 	294 	66 	130 	130 
000756 	294 	66 	130 	130 
000757 	294 	66 	130 	130 
000758 	317 	78 	108 	109 
000759 	317 	78 	108 	109 
000760 	309 	66 	130 	130 
000761 	309 	66 	130 	130 
000762 	309 	66 	130 	130 
000763 	309 	66 	130 	130 
000764 	309 	66 	130 	130 
000765 	309 	66 	130 	130 
000766 	309 	66 	130 	130 
000767 	309 	66 	130 	130 
000768 	309 	66 	130 	130 
000769 	309 	66 	130 	130 
000770 	309 	66 	130 	130 
000771 	309 	66 	130 	130 
000772 	309 	66 	130 	130 
000773 	309 	66 	130 	130 
000774 	309 	66 	130 	130 
000775 	309 	66 	130 	130 
000776 	309 	66 	130 	130 
000777 	309 	66 	130 	130 
000778 	309 	66 	130 	130 
000779 	309 	66 	130 	130 
000780 	309 	66 	130 	130 
000781 	309 	66 	130 	130 
000782 	309 	66 	130 	130 
000783 	309 	66 	130 	130 
000784 	309 	66 	130 	130 
000785 	309 	66 	130 	130 
000786 	309 	66 	130 	130 
000787 	309 	66 	130 	130 
000788 	309 	66 	130 	130 
000789 	329 	78 	108 	109 
000790 	329 	78 	108 	109 
000791 	329 	78 	108 	109 
000792 	329 	78 	108 	109 
000793 	329 	78 	108 	109 
000794 	329 	78 	108 	109 
000795 	329 	78 	108 	109 
000796 	329 	78 	108 	109 
000797 	329 	78 	108 	109 
000798 	329 	78 	108 	109 
000799 	329 	78 	108 	109 
000800 	309 	66 	130 	130 
000801 	309 	66 	130 	130 
000802 	309 	66 	130 	130 
000803 	309 	66 	130 	130 
000804 	309 	66 	130 	130 
000805 	309 	66 	130 	130 
000806 	309 	66 	130 	130 
000807 	309 	80 	130 	130 
000808 	309 	80 	130 	130 
000809 	309 	80 	130 	130 
000810 	309 	80 	130 	130 
000811 	309 	80 	130 	130 
000812 	309 	80 	130 	130 
000813 	309 	80 	130 	130 
000814 	309 	80 	130 	130 
000815 	309 	80 	130 	130 
000816 	309 	80 	130 	130 
000817 	309 	80 	130 	130 
000818 	309 	80 	130 	130 
000819 	309 	80 	130 	130 
000820 	309 	80 	130 	130 
000821 	309 	80 	130 	130 
000822 	309 	80 	130 	130 
000823 	309 	80 	130 	130 
000824 	309 	80 	130 	130 
000825 	309 	80 	130 	130 
000826 	309 	80 	130 	130 
000827 	309 	80 	130 	130 
000828 	309 	80 	130 	130 
000829 	309 	80 	130 	130 
000830 	309 	80 	130 	130 
000831 	309 	80 	130 	130 
000832 	309 	80 	130 	130 
000833 	309 	80 	130 	130 
000834 	309 	80 	130 	130 
000835 	309 	80 	130 	130 
000836 	309 	80 	130 	130 
000837 	309 	80 	130 	130 
000838 	309 	80 	130 	130 
000839 	294 	80 	130 	130 
000840 	294 	80 	130 	130 
000841 	294 	80 	130 	130 
000842 	294 	80 	130 	130 
000843 	294 	80 	130 	130 
000844 	294 	80 	130 	130 
000845 	294 	80 	130 	130 
000846 	294 	80 	130 	130 
000847 	294 	80 	130 	130 
000848 	294 	80 	130 	130 
000849 	294 	80 	130 	130 
000850 	294 	80 	130 	130 
000851 	294 	66 	130 	130 
000852 	294 	66 	130 	130 
000853 	294 	66 	130 	130 
000854 	294 	66 	130 	130 
000855 	294 	66 	130 	130 
000856 	294 	66 	130 	130 
000857 	309 	66 	130 	130 
000858 	309 	66 	130 	130 
000859 	309 	66 	130 	130 
000860 	309 	66 	130 	130 
000861 	309 	66 	130 	130 
000862 	309 	66 	130 	130 
000863 	309 	66 	130 	130 
000864 	309 	66 	130 	130 
000865 	309 	66 	130 	130 
000866 	309 	66 	130 	130 
000867 	309 	66 	130 	130 
000868 	309 	66 	130 	130 
