Identity  : 	id10279
Reference : 	PQHz4fGHPK8
Offset    : 	-4
FV Conf   : 	17.725
ASD Conf  : 	6.460

FRAME 	X 	Y 	W 	H 
002984 	180 	66 	130 	130 
002985 	180 	66 	130 	130 
002986 	180 	66 	130 	130 
002987 	180 	66 	130 	130 
002988 	180 	66 	130 	130 
002989 	180 	66 	130 	130 
002990 	180 	66 	130 	130 
002991 	180 	66 	130 	130 
002992 	180 	66 	130 	130 
002993 	180 	66 	130 	130 
002994 	180 	66 	130 	130 
002995 	180 	66 	130 	130 
002996 	180 	66 	130 	130 
002997 	180 	66 	130 	130 
002998 	180 	66 	130 	130 
002999 	180 	66 	130 	130 
003000 	180 	66 	130 	130 
003001 	180 	66 	130 	130 
003002 	180 	66 	130 	130 
003003 	180 	66 	130 	130 
003004 	180 	66 	130 	130 
003005 	180 	66 	130 	130 
003006 	180 	66 	130 	130 
003007 	165 	66 	130 	130 
003008 	165 	66 	130 	130 
003009 	165 	66 	130 	130 
003010 	165 	66 	130 	130 
003011 	165 	66 	130 	130 
003012 	165 	66 	130 	130 
003013 	165 	66 	130 	130 
003014 	165 	66 	130 	130 
003015 	165 	66 	130 	130 
003016 	165 	66 	130 	130 
003017 	165 	66 	130 	130 
003018 	165 	66 	130 	130 
003019 	165 	66 	130 	130 
003020 	165 	66 	130 	130 
003021 	165 	66 	130 	130 
003022 	164 	62 	156 	155 
003023 	164 	62 	156 	155 
003024 	164 	62 	156 	155 
003025 	164 	62 	156 	155 
003026 	164 	62 	156 	155 
003027 	164 	62 	156 	155 
003028 	164 	62 	156 	155 
003029 	164 	62 	156 	155 
003030 	164 	62 	156 	155 
003031 	164 	62 	156 	155 
003032 	164 	62 	156 	155 
003033 	164 	62 	156 	155 
003034 	165 	66 	130 	130 
003035 	165 	66 	130 	130 
003036 	165 	66 	130 	130 
003037 	165 	66 	130 	130 
003038 	165 	66 	130 	130 
003039 	165 	66 	130 	130 
003040 	165 	66 	130 	130 
003041 	165 	66 	130 	130 
003042 	165 	66 	130 	130 
003043 	147 	62 	156 	155 
003044 	147 	62 	156 	155 
003045 	147 	62 	156 	155 
003046 	147 	62 	156 	155 
003047 	147 	62 	156 	155 
003048 	147 	62 	156 	155 
003049 	165 	66 	130 	130 
003050 	165 	66 	130 	130 
003051 	165 	66 	130 	130 
003052 	165 	66 	130 	130 
003053 	165 	66 	130 	130 
003054 	165 	66 	130 	130 
003055 	165 	66 	130 	130 
003056 	165 	66 	130 	130 
003057 	165 	66 	130 	130 
003058 	165 	66 	130 	130 
003059 	165 	66 	130 	130 
003060 	165 	66 	130 	130 
003061 	165 	66 	130 	130 
003062 	165 	66 	130 	130 
003063 	165 	66 	130 	130 
003064 	165 	66 	130 	130 
003065 	165 	66 	130 	130 
003066 	165 	66 	130 	130 
003067 	165 	66 	130 	130 
003068 	165 	66 	130 	130 
003069 	165 	66 	130 	130 
003070 	165 	66 	130 	130 
003071 	165 	66 	130 	130 
003072 	165 	66 	130 	130 
003073 	164 	44 	156 	156 
003074 	164 	44 	156 	156 
003075 	164 	44 	156 	156 
003076 	164 	44 	156 	156 
003077 	164 	44 	156 	156 
003078 	164 	44 	156 	156 
003079 	164 	44 	156 	156 
003080 	164 	44 	156 	156 
003081 	180 	66 	130 	130 
003082 	164 	44 	156 	156 
003083 	164 	44 	156 	156 
003084 	164 	44 	156 	156 
003085 	164 	44 	156 	156 
003086 	164 	44 	156 	156 
003087 	180 	66 	130 	130 
003088 	180 	66 	130 	130 
003089 	180 	66 	130 	130 
003090 	180 	66 	130 	130 
003091 	164 	44 	156 	156 
003092 	164 	44 	156 	156 
003093 	164 	44 	156 	156 
003094 	164 	44 	156 	156 
003095 	164 	44 	156 	156 
003096 	164 	44 	156 	156 
003097 	180 	66 	130 	130 
003098 	180 	66 	130 	130 
003099 	180 	66 	130 	130 
003100 	180 	66 	130 	130 
003101 	180 	66 	130 	130 
003102 	180 	66 	130 	130 
003103 	180 	66 	130 	130 
003104 	180 	66 	130 	130 
003105 	180 	66 	130 	130 
003106 	180 	66 	130 	130 
003107 	180 	66 	130 	130 
003108 	180 	66 	130 	130 
003109 	180 	66 	130 	130 
003110 	180 	66 	130 	130 
003111 	180 	66 	130 	130 
003112 	180 	51 	130 	130 
003113 	180 	66 	130 	130 
003114 	180 	66 	130 	130 
003115 	180 	66 	130 	130 
003116 	180 	66 	130 	130 
003117 	180 	66 	130 	130 
003118 	180 	66 	130 	130 
003119 	180 	66 	130 	130 
003120 	180 	66 	130 	130 
003121 	180 	66 	130 	130 
003122 	180 	66 	130 	130 
003123 	180 	66 	130 	130 
003124 	180 	66 	130 	130 
003125 	180 	66 	130 	130 
003126 	180 	66 	130 	130 
003127 	180 	66 	130 	130 
003128 	180 	66 	130 	130 
003129 	180 	66 	130 	130 
003130 	180 	66 	130 	130 
003131 	180 	66 	130 	130 
003132 	180 	66 	130 	130 
003133 	180 	66 	130 	130 
003134 	180 	66 	130 	130 
003135 	180 	66 	130 	130 
003136 	180 	66 	130 	130 
003137 	180 	66 	130 	130 
003138 	180 	66 	130 	130 
003139 	180 	66 	130 	130 
003140 	180 	66 	130 	130 
003141 	180 	66 	130 	130 
003142 	180 	66 	130 	130 
003143 	164 	62 	156 	155 
003144 	164 	62 	156 	155 
003145 	164 	62 	156 	155 
003146 	164 	62 	156 	155 
003147 	164 	62 	156 	155 
003148 	164 	62 	156 	155 
003149 	164 	62 	156 	155 
003150 	164 	62 	156 	155 
003151 	164 	62 	156 	155 
003152 	164 	62 	156 	155 
003153 	164 	62 	156 	155 
003154 	164 	62 	156 	155 
003155 	164 	62 	156 	155 
003156 	164 	62 	156 	155 
003157 	180 	80 	130 	130 
003158 	180 	80 	130 	130 
003159 	180 	80 	130 	130 
003160 	180 	80 	130 	130 
003161 	180 	80 	130 	130 
003162 	180 	80 	130 	130 
003163 	180 	80 	130 	130 
003164 	180 	80 	130 	130 
003165 	180 	80 	130 	130 
003166 	180 	80 	130 	130 
003167 	180 	80 	130 	130 
003168 	180 	80 	130 	130 
003169 	180 	80 	130 	130 
003170 	180 	80 	130 	130 
003171 	164 	62 	156 	155 
003172 	164 	62 	156 	155 
003173 	164 	62 	156 	155 
003174 	164 	62 	156 	155 
003175 	164 	62 	156 	155 
003176 	164 	62 	156 	155 
003177 	180 	80 	130 	130 
003178 	164 	62 	156 	155 
003179 	164 	62 	156 	155 
003180 	164 	62 	156 	155 
003181 	164 	62 	156 	155 
003182 	164 	62 	156 	155 
003183 	164 	62 	156 	155 
003184 	164 	62 	156 	155 
003185 	164 	62 	156 	155 
003186 	164 	62 	156 	155 
003187 	164 	62 	156 	155 
003188 	164 	62 	156 	155 
003189 	164 	62 	156 	155 
003190 	180 	66 	130 	130 
003191 	180 	66 	130 	130 
003192 	180 	66 	130 	130 
003193 	180 	66 	130 	130 
003194 	180 	66 	130 	130 
003195 	180 	66 	130 	130 
003196 	180 	66 	130 	130 
003197 	180 	66 	130 	130 
003198 	180 	66 	130 	130 
003199 	180 	66 	130 	130 
003200 	180 	66 	130 	130 
003201 	180 	66 	130 	130 
003202 	180 	66 	130 	130 
003203 	180 	66 	130 	130 
003204 	180 	66 	130 	130 
003205 	180 	66 	130 	130 
003206 	180 	66 	130 	130 
003207 	180 	66 	130 	130 
003208 	180 	66 	130 	130 
003209 	180 	66 	130 	130 
003210 	180 	66 	130 	130 
003211 	180 	66 	130 	130 
003212 	180 	66 	130 	130 
003213 	180 	66 	130 	130 
003214 	164 	62 	156 	155 
003215 	164 	62 	156 	155 
003216 	164 	62 	156 	155 
003217 	164 	62 	156 	155 
003218 	164 	62 	156 	155 
003219 	164 	62 	156 	155 
003220 	164 	62 	156 	155 
003221 	164 	62 	156 	155 
003222 	164 	62 	156 	155 
003223 	164 	62 	156 	155 
003224 	164 	62 	156 	155 
003225 	164 	62 	156 	155 
003226 	164 	62 	156 	155 
003227 	180 	66 	130 	130 
003228 	180 	66 	130 	130 
003229 	180 	66 	130 	130 
003230 	180 	66 	130 	130 
003231 	180 	66 	130 	130 
003232 	180 	66 	130 	130 
003233 	180 	66 	130 	130 
003234 	180 	66 	130 	130 
003235 	165 	66 	130 	130 
003236 	165 	66 	130 	130 
003237 	165 	66 	130 	130 
003238 	165 	66 	130 	130 
003239 	165 	66 	130 	130 
003240 	165 	66 	130 	130 
003241 	165 	66 	130 	130 
003242 	165 	66 	130 	130 
003243 	165 	66 	130 	130 
003244 	165 	66 	130 	130 
003245 	147 	62 	156 	155 
003246 	147 	62 	156 	155 
003247 	147 	62 	156 	155 
003248 	147 	62 	156 	155 
003249 	165 	80 	130 	130 
003250 	165 	80 	130 	130 
003251 	165 	80 	130 	130 
003252 	165 	80 	130 	130 
003253 	165 	80 	130 	130 
003254 	165 	80 	130 	130 
003255 	165 	80 	130 	130 
003256 	165 	80 	130 	130 
003257 	165 	80 	130 	130 
003258 	165 	80 	130 	130 
003259 	165 	80 	130 	130 
003260 	165 	80 	130 	130 
003261 	165 	80 	130 	130 
003262 	165 	80 	130 	130 
003263 	165 	80 	130 	130 
003264 	165 	80 	130 	130 
003265 	165 	80 	130 	130 
003266 	165 	80 	130 	130 
003267 	165 	80 	130 	130 
003268 	165 	80 	130 	130 
003269 	165 	66 	130 	130 
003270 	165 	66 	130 	130 
003271 	165 	66 	130 	130 
003272 	165 	66 	130 	130 
003273 	165 	66 	130 	130 
003274 	165 	66 	130 	130 
003275 	165 	66 	130 	130 
003276 	165 	66 	130 	130 
003277 	165 	66 	130 	130 
003278 	165 	66 	130 	130 
003279 	165 	66 	130 	130 
003280 	165 	66 	130 	130 
003281 	165 	66 	130 	130 
003282 	165 	66 	130 	130 
003283 	165 	66 	130 	130 
003284 	165 	66 	130 	130 
003285 	165 	66 	130 	130 
003286 	165 	66 	130 	130 
003287 	165 	66 	130 	130 
003288 	180 	66 	130 	130 
003289 	180 	66 	130 	130 
003290 	180 	66 	130 	130 
003291 	180 	66 	130 	130 
003292 	180 	66 	130 	130 
003293 	180 	66 	130 	130 
003294 	180 	66 	130 	130 
003295 	180 	66 	130 	130 
003296 	164 	62 	156 	155 
003297 	164 	62 	156 	155 
003298 	164 	62 	156 	155 
003299 	164 	62 	156 	155 
003300 	164 	62 	156 	155 
003301 	180 	80 	130 	130 
003302 	180 	80 	130 	130 
003303 	180 	80 	130 	130 
003304 	164 	62 	156 	155 
