Identity  : 	id10282
Reference : 	IDA_ElNHLn4
Offset    : 	-3
FV Conf   : 	15.079
ASD Conf  : 	7.703

FRAME 	X 	Y 	W 	H 
002905 	166 	48 	268 	268 
002906 	166 	48 	268 	268 
002907 	166 	48 	268 	268 
002908 	166 	48 	268 	268 
002909 	166 	48 	268 	268 
002910 	166 	48 	268 	268 
002911 	166 	48 	268 	268 
002912 	166 	48 	268 	268 
002913 	166 	48 	268 	268 
002914 	166 	48 	268 	268 
002915 	188 	89 	224 	224 
002916 	188 	89 	224 	224 
002917 	188 	89 	224 	224 
002918 	188 	89 	224 	224 
002919 	166 	48 	268 	268 
002920 	188 	89 	224 	224 
002921 	188 	89 	224 	224 
002922 	166 	48 	268 	268 
002923 	188 	89 	224 	224 
002924 	188 	89 	224 	224 
002925 	188 	89 	224 	224 
002926 	163 	64 	224 	224 
002927 	163 	64 	224 	224 
002928 	163 	64 	224 	224 
002929 	163 	64 	224 	224 
002930 	163 	64 	224 	224 
002931 	163 	64 	224 	224 
002932 	163 	64 	224 	224 
002933 	163 	64 	224 	224 
002934 	163 	64 	224 	224 
002935 	163 	64 	224 	224 
002936 	163 	64 	224 	224 
002937 	166 	48 	268 	268 
002938 	166 	48 	268 	268 
002939 	166 	48 	268 	268 
002940 	166 	48 	268 	268 
002941 	166 	48 	268 	268 
002942 	166 	48 	268 	268 
002943 	166 	48 	268 	268 
002944 	166 	48 	268 	268 
002945 	188 	89 	224 	224 
002946 	188 	89 	224 	224 
002947 	188 	89 	224 	224 
002948 	188 	89 	224 	224 
002949 	188 	89 	224 	224 
002950 	188 	89 	224 	224 
002951 	188 	89 	224 	224 
002952 	163 	89 	224 	224 
002953 	163 	89 	224 	224 
002954 	163 	89 	224 	224 
002955 	163 	89 	224 	224 
002956 	163 	89 	224 	224 
002957 	163 	89 	224 	224 
002958 	163 	89 	224 	224 
002959 	163 	89 	224 	224 
002960 	163 	89 	224 	224 
002961 	163 	89 	224 	224 
002962 	163 	89 	224 	224 
002963 	163 	89 	224 	224 
002964 	163 	89 	224 	224 
002965 	163 	89 	224 	224 
002966 	163 	89 	224 	224 
002967 	163 	89 	224 	224 
002968 	138 	89 	224 	224 
002969 	138 	89 	224 	224 
002970 	138 	89 	224 	224 
002971 	138 	89 	224 	224 
002972 	163 	89 	224 	224 
002973 	136 	77 	269 	269 
002974 	163 	89 	224 	224 
002975 	163 	89 	224 	224 
002976 	163 	89 	224 	224 
002977 	163 	89 	224 	224 
002978 	136 	77 	269 	269 
002979 	136 	77 	269 	269 
002980 	136 	77 	269 	269 
002981 	188 	114 	224 	224 
002982 	188 	114 	224 	224 
002983 	188 	114 	224 	224 
002984 	166 	77 	268 	269 
002985 	166 	77 	268 	269 
002986 	166 	77 	268 	269 
002987 	188 	89 	224 	224 
002988 	188 	89 	224 	224 
002989 	188 	89 	224 	224 
002990 	188 	89 	224 	224 
002991 	188 	89 	224 	224 
002992 	188 	89 	224 	224 
002993 	188 	89 	224 	224 
002994 	188 	89 	224 	224 
002995 	188 	89 	224 	224 
002996 	163 	89 	224 	224 
002997 	163 	89 	224 	224 
002998 	163 	89 	224 	224 
002999 	163 	89 	224 	224 
003000 	163 	89 	224 	224 
003001 	163 	89 	224 	224 
003002 	163 	89 	224 	224 
003003 	163 	89 	224 	224 
003004 	163 	89 	224 	224 
003005 	163 	89 	224 	224 
003006 	163 	89 	224 	224 
003007 	163 	89 	224 	224 
003008 	163 	89 	224 	224 
003009 	163 	89 	224 	224 
003010 	163 	89 	224 	224 
