Identity  : 	id10282
Reference : 	U3xR3MZjEVg
Offset    : 	-3
FV Conf   : 	22.097
ASD Conf  : 	6.229

FRAME 	X 	Y 	W 	H 
003190 	280 	80 	130 	130 
003191 	280 	80 	130 	130 
003192 	280 	80 	130 	130 
003193 	280 	80 	130 	130 
003194 	280 	80 	130 	130 
003195 	280 	80 	130 	130 
003196 	280 	80 	130 	130 
003197 	280 	80 	130 	130 
003198 	280 	80 	130 	130 
003199 	280 	80 	130 	130 
003200 	280 	80 	130 	130 
003201 	280 	80 	130 	130 
003202 	280 	80 	130 	130 
003203 	280 	80 	130 	130 
003204 	280 	80 	130 	130 
003205 	280 	80 	130 	130 
003206 	280 	80 	130 	130 
003207 	280 	80 	130 	130 
003208 	280 	80 	130 	130 
003209 	294 	80 	130 	130 
003210 	294 	80 	130 	130 
003211 	294 	80 	130 	130 
003212 	294 	80 	130 	130 
003213 	294 	80 	130 	130 
003214 	294 	80 	130 	130 
003215 	294 	80 	130 	130 
003216 	294 	80 	130 	130 
003217 	294 	80 	130 	130 
003218 	294 	80 	130 	130 
003219 	294 	80 	130 	130 
003220 	294 	80 	130 	130 
003221 	294 	80 	130 	130 
003222 	294 	80 	130 	130 
003223 	294 	80 	130 	130 
003224 	294 	80 	130 	130 
003225 	294 	80 	130 	130 
003226 	294 	80 	130 	130 
003227 	294 	80 	130 	130 
003228 	294 	80 	130 	130 
003229 	294 	80 	130 	130 
003230 	294 	80 	130 	130 
003231 	294 	80 	130 	130 
003232 	294 	80 	130 	130 
003233 	294 	80 	130 	130 
003234 	305 	102 	108 	109 
003235 	294 	94 	130 	130 
003236 	294 	94 	130 	130 
003237 	294 	94 	130 	130 
003238 	305 	102 	108 	109 
003239 	294 	80 	130 	130 
003240 	294 	80 	130 	130 
003241 	294 	80 	130 	130 
003242 	294 	80 	130 	130 
003243 	294 	80 	130 	130 
003244 	280 	80 	130 	130 
003245 	280 	80 	130 	130 
003246 	280 	80 	130 	130 
003247 	280 	80 	130 	130 
003248 	280 	80 	130 	130 
003249 	280 	80 	130 	130 
003250 	280 	80 	130 	130 
003251 	280 	80 	130 	130 
003252 	280 	80 	130 	130 
003253 	280 	80 	130 	130 
003254 	280 	80 	130 	130 
003255 	280 	80 	130 	130 
003256 	280 	80 	130 	130 
003257 	280 	80 	130 	130 
003258 	280 	80 	130 	130 
003259 	280 	80 	130 	130 
003260 	305 	90 	108 	109 
003261 	305 	90 	108 	109 
003262 	305 	90 	108 	109 
003263 	305 	90 	108 	109 
003264 	305 	90 	108 	109 
003265 	305 	90 	108 	109 
003266 	305 	90 	108 	109 
003267 	305 	90 	108 	109 
003268 	305 	90 	108 	109 
003269 	305 	90 	108 	109 
003270 	294 	80 	130 	130 
003271 	294 	80 	130 	130 
003272 	294 	80 	130 	130 
003273 	294 	80 	130 	130 
003274 	294 	80 	130 	130 
003275 	294 	80 	130 	130 
003276 	294 	80 	130 	130 
003277 	294 	94 	130 	130 
003278 	317 	102 	108 	109 
003279 	317 	102 	108 	109 
003280 	317 	102 	108 	109 
003281 	309 	94 	130 	130 
003282 	329 	102 	108 	109 
003283 	329 	102 	108 	109 
003284 	329 	102 	108 	109 
003285 	323 	109 	130 	130 
003286 	323 	109 	130 	130 
003287 	323 	109 	130 	130 
003288 	323 	94 	130 	130 
003289 	323 	94 	130 	130 
