Identity  : 	id10283
Reference : 	N69Hp2DGMLk
Offset    : 	-1
FV Conf   : 	14.495
ASD Conf  : 	7.161

FRAME 	X 	Y 	W 	H 
006600 	150 	78 	108 	109 
006601 	150 	78 	108 	109 
006602 	138 	78 	108 	109 
006603 	138 	78 	108 	109 
006604 	138 	78 	108 	109 
006605 	138 	78 	108 	109 
006606 	138 	78 	108 	109 
006607 	138 	78 	108 	109 
006608 	138 	66 	108 	109 
006609 	138 	66 	108 	109 
006610 	144 	75 	91 	91 
006611 	126 	66 	108 	109 
006612 	134 	75 	91 	91 
006613 	124 	75 	91 	91 
006614 	114 	78 	108 	109 
006615 	114 	75 	91 	91 
006616 	114 	75 	91 	91 
006617 	114 	66 	108 	109 
006618 	114 	66 	108 	109 
006619 	124 	75 	91 	91 
006620 	126 	78 	108 	109 
006621 	126 	78 	108 	109 
006622 	126 	78 	108 	109 
006623 	144 	75 	91 	91 
006624 	144 	75 	91 	91 
006625 	144 	75 	91 	91 
006626 	144 	75 	91 	91 
006627 	144 	75 	91 	91 
006628 	138 	66 	108 	109 
006629 	138 	66 	108 	109 
006630 	138 	66 	108 	109 
006631 	138 	66 	108 	109 
006632 	138 	54 	108 	109 
006633 	138 	54 	108 	109 
006634 	150 	66 	108 	109 
006635 	150 	54 	108 	109 
006636 	150 	54 	108 	109 
006637 	150 	54 	108 	109 
006638 	150 	54 	108 	109 
006639 	150 	54 	108 	109 
006640 	150 	66 	108 	109 
006641 	150 	66 	108 	109 
006642 	150 	66 	108 	109 
006643 	150 	66 	108 	109 
006644 	150 	66 	108 	109 
006645 	150 	66 	108 	109 
006646 	150 	66 	108 	109 
006647 	150 	66 	108 	109 
006648 	154 	75 	91 	91 
006649 	154 	75 	91 	91 
006650 	154 	75 	91 	91 
006651 	154 	75 	91 	91 
006652 	170 	79 	75 	76 
006653 	137 	51 	130 	130 
006654 	164 	75 	91 	91 
006655 	164 	75 	91 	91 
006656 	164 	75 	91 	91 
006657 	164 	75 	91 	91 
006658 	164 	65 	91 	91 
006659 	164 	75 	91 	91 
006660 	150 	66 	108 	109 
006661 	164 	85 	91 	91 
006662 	164 	85 	91 	91 
006663 	150 	78 	108 	109 
006664 	150 	78 	108 	109 
006665 	150 	78 	108 	109 
006666 	150 	78 	108 	109 
006667 	164 	85 	91 	91 
006668 	164 	85 	91 	91 
006669 	161 	78 	109 	109 
006670 	161 	66 	109 	109 
006671 	161 	66 	109 	109 
006672 	161 	66 	109 	109 
006673 	161 	66 	109 	109 
006674 	161 	66 	109 	109 
006675 	161 	66 	109 	109 
006676 	161 	66 	109 	109 
006677 	161 	66 	109 	109 
006678 	161 	66 	109 	109 
006679 	150 	66 	108 	109 
006680 	161 	66 	109 	109 
006681 	161 	66 	109 	109 
006682 	161 	66 	109 	109 
006683 	161 	66 	109 	109 
006684 	161 	66 	109 	109 
006685 	161 	54 	109 	109 
006686 	161 	54 	109 	109 
006687 	161 	54 	109 	109 
006688 	161 	54 	109 	109 
006689 	161 	54 	109 	109 
006690 	150 	54 	108 	109 
006691 	150 	54 	108 	109 
006692 	150 	54 	108 	109 
006693 	150 	66 	108 	109 
006694 	150 	66 	108 	109 
006695 	150 	66 	108 	109 
006696 	150 	66 	108 	109 
006697 	164 	65 	91 	91 
006698 	164 	75 	91 	91 
006699 	164 	75 	91 	91 
006700 	164 	75 	91 	91 
006701 	150 	66 	108 	109 
006702 	150 	66 	108 	109 
006703 	150 	66 	108 	109 
006704 	150 	66 	108 	109 
006705 	150 	66 	108 	109 
006706 	150 	66 	108 	109 
006707 	150 	78 	108 	109 
006708 	150 	78 	108 	109 
006709 	150 	78 	108 	109 
006710 	150 	78 	108 	109 
006711 	150 	78 	108 	109 
006712 	150 	78 	108 	109 
006713 	150 	78 	108 	109 
006714 	164 	85 	91 	91 
006715 	150 	78 	108 	109 
006716 	150 	78 	108 	109 
006717 	150 	66 	108 	109 
006718 	150 	66 	108 	109 
006719 	150 	66 	108 	109 
006720 	150 	66 	108 	109 
006721 	150 	66 	108 	109 
006722 	150 	66 	108 	109 
006723 	150 	66 	108 	109 
006724 	150 	66 	108 	109 
006725 	150 	66 	108 	109 
006726 	150 	66 	108 	109 
006727 	150 	66 	108 	109 
006728 	150 	66 	108 	109 
006729 	150 	66 	108 	109 
