Identity  : 	id10283
Reference : 	SwMoq9ZHxpw
Offset    : 	-4
FV Conf   : 	14.059
ASD Conf  : 	5.954

FRAME 	X 	Y 	W 	H 
000713 	294 	71 	76 	75 
000714 	294 	71 	76 	75 
000715 	294 	71 	76 	75 
000716 	294 	71 	76 	75 
000717 	294 	71 	76 	75 
000718 	294 	71 	76 	75 
000719 	294 	71 	76 	75 
000720 	294 	71 	76 	75 
000721 	294 	71 	76 	75 
000722 	294 	71 	76 	75 
000723 	294 	71 	76 	75 
000724 	300 	80 	63 	63 
000725 	300 	80 	63 	63 
000726 	300 	80 	63 	63 
000727 	300 	80 	63 	63 
000728 	300 	80 	63 	63 
000729 	300 	80 	63 	63 
000730 	300 	80 	63 	63 
000731 	300 	80 	63 	63 
000732 	300 	80 	63 	63 
000733 	300 	80 	63 	63 
000734 	300 	80 	63 	63 
000735 	300 	80 	63 	63 
000736 	300 	80 	63 	63 
000737 	300 	80 	63 	63 
000738 	300 	80 	63 	63 
000739 	300 	80 	63 	63 
000740 	300 	80 	63 	63 
000741 	300 	80 	63 	63 
000742 	300 	80 	63 	63 
000743 	300 	80 	63 	63 
000744 	300 	80 	63 	63 
000745 	300 	80 	63 	63 
000746 	300 	80 	63 	63 
000747 	300 	80 	63 	63 
000748 	300 	80 	63 	63 
000749 	300 	80 	63 	63 
000750 	300 	80 	63 	63 
000751 	300 	80 	63 	63 
000752 	300 	80 	63 	63 
000753 	300 	80 	63 	63 
000754 	300 	80 	63 	63 
000755 	300 	80 	63 	63 
000756 	300 	80 	63 	63 
000757 	300 	80 	63 	63 
000758 	300 	80 	63 	63 
000759 	300 	80 	63 	63 
000760 	300 	80 	63 	63 
000761 	300 	80 	63 	63 
000762 	300 	80 	63 	63 
000763 	300 	80 	63 	63 
000764 	300 	80 	63 	63 
000765 	300 	80 	63 	63 
000766 	300 	80 	63 	63 
000767 	300 	80 	63 	63 
000768 	300 	80 	63 	63 
000769 	300 	80 	63 	63 
000770 	300 	80 	63 	63 
000771 	300 	80 	63 	63 
000772 	300 	80 	63 	63 
000773 	300 	80 	63 	63 
000774 	300 	80 	63 	63 
000775 	300 	80 	63 	63 
000776 	300 	80 	63 	63 
000777 	300 	80 	63 	63 
000778 	300 	80 	63 	63 
000779 	300 	80 	63 	63 
000780 	294 	71 	76 	75 
000781 	294 	71 	76 	75 
000782 	294 	71 	76 	75 
000783 	294 	71 	76 	75 
000784 	294 	71 	76 	75 
000785 	294 	71 	76 	75 
000786 	294 	71 	76 	75 
000787 	294 	71 	76 	75 
000788 	294 	71 	76 	75 
000789 	300 	80 	63 	63 
000790 	300 	80 	63 	63 
000791 	300 	80 	63 	63 
000792 	293 	80 	64 	63 
000793 	293 	80 	64 	63 
000794 	300 	80 	63 	63 
000795 	293 	80 	64 	63 
000796 	293 	80 	64 	63 
000797 	293 	80 	64 	63 
000798 	293 	80 	64 	63 
000799 	293 	80 	64 	63 
000800 	293 	80 	64 	63 
000801 	293 	80 	64 	63 
000802 	293 	80 	64 	63 
000803 	293 	80 	64 	63 
000804 	293 	80 	64 	63 
000805 	286 	79 	76 	76 
000806 	286 	79 	76 	76 
000807 	286 	79 	76 	76 
000808 	286 	79 	76 	76 
000809 	286 	79 	76 	76 
000810 	286 	87 	64 	63 
000811 	286 	87 	64 	63 
000812 	286 	87 	64 	63 
000813 	286 	87 	64 	63 
000814 	293 	87 	64 	63 
000815 	286 	87 	64 	63 
000816 	286 	93 	64 	64 
000817 	286 	93 	64 	64 
000818 	286 	93 	64 	64 
000819 	286 	93 	64 	64 
000820 	286 	87 	76 	76 
000821 	286 	87 	76 	76 
000822 	286 	87 	64 	63 
000823 	286 	87 	64 	63 
000824 	278 	79 	75 	76 
000825 	278 	79 	75 	76 
000826 	278 	79 	75 	76 
000827 	278 	79 	75 	76 
000828 	278 	79 	75 	76 
000829 	278 	79 	75 	76 
000830 	278 	79 	75 	76 
000831 	278 	79 	75 	76 
000832 	278 	79 	75 	76 
000833 	278 	79 	75 	76 
000834 	278 	79 	75 	76 
000835 	278 	79 	75 	76 
000836 	278 	79 	75 	76 
000837 	286 	79 	76 	76 
000838 	293 	80 	64 	63 
000839 	293 	80 	64 	63 
000840 	293 	80 	64 	63 
000841 	293 	80 	64 	63 
000842 	293 	80 	64 	63 
000843 	293 	80 	64 	63 
000844 	293 	80 	64 	63 
000845 	293 	80 	64 	63 
000846 	293 	80 	64 	63 
000847 	293 	80 	64 	63 
000848 	293 	80 	64 	63 
000849 	293 	80 	64 	63 
000850 	286 	79 	76 	76 
000851 	286 	79 	76 	76 
000852 	293 	80 	64 	63 
000853 	293 	80 	64 	63 
000854 	293 	80 	64 	63 
000855 	278 	71 	75 	75 
000856 	278 	71 	75 	75 
000857 	278 	71 	75 	75 
000858 	278 	71 	75 	75 
000859 	278 	71 	75 	75 
000860 	278 	71 	75 	75 
