Identity  : 	id10284
Reference : 	7yx9A0yzLYk
Offset    : 	0
FV Conf   : 	15.906
ASD Conf  : 	6.987

FRAME 	X 	Y 	W 	H 
021994 	223 	109 	130 	130 
021995 	223 	109 	130 	130 
021996 	223 	109 	130 	130 
021997 	223 	109 	130 	130 
021998 	223 	109 	130 	130 
021999 	223 	109 	130 	130 
022000 	223 	109 	130 	130 
022001 	223 	109 	130 	130 
022002 	223 	109 	130 	130 
022003 	223 	109 	130 	130 
022004 	223 	109 	130 	130 
022005 	223 	109 	130 	130 
022006 	223 	109 	130 	130 
022007 	223 	94 	130 	130 
022008 	223 	94 	130 	130 
022009 	237 	80 	130 	130 
022010 	237 	80 	130 	130 
022011 	237 	80 	130 	130 
022012 	237 	80 	130 	130 
022013 	237 	80 	130 	130 
022014 	237 	80 	130 	130 
022015 	237 	80 	130 	130 
022016 	237 	80 	130 	130 
022017 	223 	80 	130 	130 
022018 	223 	80 	130 	130 
022019 	223 	80 	130 	130 
022020 	223 	80 	130 	130 
022021 	223 	80 	130 	130 
022022 	216 	79 	156 	156 
022023 	216 	79 	156 	156 
022024 	216 	79 	156 	156 
022025 	216 	79 	156 	156 
022026 	223 	80 	130 	130 
022027 	237 	80 	130 	130 
022028 	237 	80 	130 	130 
022029 	216 	79 	156 	156 
022030 	216 	79 	156 	156 
022031 	216 	79 	156 	156 
022032 	237 	94 	130 	130 
022033 	237 	94 	130 	130 
022034 	237 	94 	130 	130 
022035 	237 	94 	130 	130 
022036 	237 	94 	130 	130 
022037 	237 	94 	130 	130 
022038 	237 	94 	130 	130 
022039 	237 	94 	130 	130 
022040 	237 	94 	130 	130 
022041 	237 	94 	130 	130 
022042 	237 	94 	130 	130 
022043 	237 	94 	130 	130 
022044 	237 	94 	130 	130 
022045 	237 	94 	130 	130 
022046 	237 	94 	130 	130 
022047 	237 	94 	130 	130 
022048 	237 	94 	130 	130 
022049 	237 	94 	130 	130 
022050 	237 	94 	130 	130 
022051 	237 	94 	130 	130 
022052 	237 	94 	130 	130 
022053 	237 	94 	130 	130 
022054 	237 	94 	130 	130 
022055 	237 	94 	130 	130 
022056 	223 	94 	130 	130 
022057 	216 	96 	156 	156 
022058 	216 	96 	156 	156 
022059 	216 	96 	156 	156 
022060 	216 	96 	156 	156 
022061 	223 	109 	130 	130 
022062 	223 	109 	130 	130 
022063 	223 	109 	130 	130 
022064 	223 	109 	130 	130 
022065 	223 	109 	130 	130 
022066 	223 	109 	130 	130 
022067 	223 	109 	130 	130 
022068 	223 	109 	130 	130 
022069 	223 	109 	130 	130 
022070 	223 	109 	130 	130 
022071 	223 	109 	130 	130 
022072 	216 	96 	156 	156 
022073 	216 	96 	156 	156 
022074 	223 	109 	130 	130 
022075 	223 	109 	130 	130 
022076 	223 	109 	130 	130 
022077 	223 	109 	130 	130 
022078 	216 	96 	156 	156 
022079 	216 	96 	156 	156 
022080 	223 	94 	130 	130 
022081 	223 	94 	130 	130 
022082 	223 	94 	130 	130 
022083 	216 	79 	156 	156 
022084 	216 	79 	156 	156 
022085 	216 	79 	156 	156 
022086 	216 	79 	156 	156 
022087 	216 	79 	156 	156 
022088 	216 	79 	156 	156 
022089 	216 	79 	156 	156 
022090 	216 	79 	156 	156 
022091 	237 	80 	130 	130 
022092 	237 	80 	130 	130 
022093 	237 	80 	130 	130 
022094 	237 	80 	130 	130 
022095 	237 	80 	130 	130 
022096 	237 	80 	130 	130 
022097 	237 	80 	130 	130 
022098 	237 	80 	130 	130 
022099 	237 	80 	130 	130 
022100 	237 	80 	130 	130 
022101 	216 	62 	156 	155 
022102 	223 	80 	130 	130 
022103 	223 	80 	130 	130 
022104 	223 	80 	130 	130 
022105 	223 	80 	130 	130 
022106 	223 	80 	130 	130 
022107 	216 	79 	156 	156 
022108 	216 	79 	156 	156 
022109 	216 	79 	156 	156 
022110 	216 	79 	156 	156 
022111 	237 	94 	130 	130 
