Identity  : 	id10284
Reference : 	Uzxv7Axh3Z8
Offset    : 	4
FV Conf   : 	11.531
ASD Conf  : 	5.889

FRAME 	X 	Y 	W 	H 
015215 	161 	90 	109 	109 
015216 	161 	90 	109 	109 
015217 	161 	90 	109 	109 
015218 	161 	90 	109 	109 
015219 	161 	90 	109 	109 
015220 	161 	90 	109 	109 
015221 	161 	90 	109 	109 
015222 	161 	90 	109 	109 
015223 	161 	90 	109 	109 
015224 	161 	90 	109 	109 
015225 	161 	90 	109 	109 
015226 	161 	90 	109 	109 
015227 	161 	90 	109 	109 
015228 	161 	90 	109 	109 
015229 	161 	90 	109 	109 
015230 	161 	90 	109 	109 
015231 	161 	90 	109 	109 
015232 	161 	90 	109 	109 
015233 	161 	90 	109 	109 
015234 	161 	102 	109 	109 
015235 	161 	102 	109 	109 
015236 	173 	90 	109 	109 
015237 	173 	90 	109 	109 
015238 	161 	102 	109 	109 
015239 	161 	102 	109 	109 
015240 	173 	90 	109 	109 
015241 	173 	90 	109 	109 
015242 	173 	90 	109 	109 
015243 	173 	90 	109 	109 
015244 	173 	90 	109 	109 
015245 	173 	90 	109 	109 
015246 	173 	78 	109 	109 
015247 	184 	85 	91 	91 
015248 	173 	90 	109 	109 
015249 	173 	90 	109 	109 
015250 	173 	90 	109 	109 
015251 	173 	90 	109 	109 
015252 	173 	90 	109 	109 
015253 	173 	90 	109 	109 
015254 	173 	90 	109 	109 
015255 	173 	90 	109 	109 
015256 	173 	90 	109 	109 
015257 	173 	90 	109 	109 
015258 	173 	90 	109 	109 
015259 	173 	90 	109 	109 
015260 	173 	90 	109 	109 
015261 	173 	90 	109 	109 
015262 	185 	90 	109 	109 
015263 	185 	90 	109 	109 
015264 	185 	90 	109 	109 
015265 	185 	90 	109 	109 
015266 	185 	90 	109 	109 
015267 	185 	90 	109 	109 
015268 	165 	66 	130 	130 
015269 	185 	90 	109 	109 
015270 	165 	66 	130 	130 
015271 	165 	66 	130 	130 
015272 	165 	66 	130 	130 
015273 	165 	66 	130 	130 
015274 	165 	66 	130 	130 
015275 	165 	66 	130 	130 
015276 	165 	66 	130 	130 
015277 	165 	66 	130 	130 
015278 	165 	66 	130 	130 
015279 	165 	66 	130 	130 
015280 	165 	66 	130 	130 
015281 	165 	66 	130 	130 
015282 	173 	78 	109 	109 
015283 	151 	66 	130 	130 
015284 	151 	66 	130 	130 
015285 	151 	66 	130 	130 
015286 	151 	66 	130 	130 
015287 	151 	66 	130 	130 
015288 	151 	66 	130 	130 
015289 	151 	66 	130 	130 
015290 	151 	66 	130 	130 
015291 	151 	66 	130 	130 
015292 	151 	66 	130 	130 
015293 	151 	66 	130 	130 
015294 	151 	66 	130 	130 
015295 	151 	66 	130 	130 
015296 	151 	66 	130 	130 
015297 	151 	66 	130 	130 
015298 	151 	66 	130 	130 
015299 	151 	66 	130 	130 
015300 	151 	66 	130 	130 
015301 	151 	66 	130 	130 
015302 	151 	66 	130 	130 
015303 	151 	66 	130 	130 
015304 	151 	66 	130 	130 
015305 	151 	66 	130 	130 
015306 	151 	66 	130 	130 
015307 	137 	66 	130 	130 
015308 	137 	66 	130 	130 
015309 	137 	66 	130 	130 
015310 	137 	66 	130 	130 
015311 	137 	66 	130 	130 
015312 	137 	66 	130 	130 
015313 	138 	78 	108 	109 
015314 	138 	78 	108 	109 
015315 	138 	78 	108 	109 
015316 	138 	78 	108 	109 
015317 	138 	78 	108 	109 
015318 	138 	78 	108 	109 
015319 	138 	78 	108 	109 
015320 	138 	78 	108 	109 
015321 	138 	78 	108 	109 
015322 	150 	78 	108 	109 
015323 	150 	78 	108 	109 
015324 	161 	78 	109 	109 
015325 	161 	78 	109 	109 
015326 	161 	78 	109 	109 
015327 	151 	66 	130 	130 
015328 	173 	78 	109 	109 
015329 	173 	78 	109 	109 
015330 	173 	78 	109 	109 
015331 	173 	78 	109 	109 
015332 	165 	66 	130 	130 
015333 	165 	66 	130 	130 
015334 	165 	66 	130 	130 
015335 	165 	66 	130 	130 
015336 	165 	66 	130 	130 
015337 	185 	78 	109 	109 
015338 	180 	66 	130 	130 
015339 	180 	66 	130 	130 
015340 	180 	66 	130 	130 
015341 	180 	66 	130 	130 
015342 	180 	66 	130 	130 
015343 	180 	66 	130 	130 
015344 	180 	66 	130 	130 
015345 	180 	66 	130 	130 
015346 	180 	66 	130 	130 
