Identity  : 	id10284
Reference : 	YN4cTBWM-QE
Offset    : 	0
FV Conf   : 	11.248
ASD Conf  : 	7.996

FRAME 	X 	Y 	W 	H 
021127 	78 	113 	156 	156 
021128 	78 	113 	156 	156 
021129 	53 	95 	187 	186 
021130 	53 	95 	187 	186 
021131 	53 	95 	187 	186 
021132 	53 	95 	187 	186 
021133 	53 	95 	187 	186 
021134 	53 	95 	187 	186 
021135 	53 	95 	187 	186 
021136 	53 	95 	187 	186 
021137 	53 	95 	187 	186 
021138 	53 	95 	187 	186 
021139 	53 	95 	187 	186 
021140 	53 	95 	187 	186 
021141 	53 	95 	187 	186 
021142 	53 	95 	187 	186 
021143 	53 	95 	187 	186 
021144 	53 	95 	187 	186 
021145 	53 	95 	187 	186 
021146 	53 	95 	187 	186 
021147 	53 	95 	187 	186 
021148 	53 	95 	187 	186 
021149 	53 	95 	187 	186 
021150 	53 	95 	187 	186 
021151 	53 	95 	187 	186 
021152 	53 	95 	187 	186 
021153 	53 	95 	187 	186 
021154 	78 	96 	156 	156 
021155 	78 	96 	156 	156 
021156 	78 	96 	156 	156 
021157 	78 	96 	156 	156 
021158 	78 	96 	156 	156 
021159 	78 	113 	156 	156 
021160 	78 	113 	156 	156 
021161 	78 	113 	156 	156 
021162 	78 	113 	156 	156 
021163 	74 	95 	186 	186 
021164 	78 	113 	156 	156 
021165 	74 	95 	186 	186 
021166 	74 	95 	186 	186 
021167 	74 	95 	186 	186 
021168 	78 	113 	156 	156 
021169 	74 	95 	186 	186 
021170 	78 	113 	156 	156 
021171 	78 	113 	156 	156 
021172 	78 	113 	156 	156 
021173 	78 	113 	156 	156 
021174 	53 	95 	187 	186 
021175 	78 	113 	156 	156 
021176 	78 	113 	156 	156 
021177 	74 	95 	186 	186 
021178 	74 	95 	186 	186 
021179 	74 	95 	186 	186 
021180 	74 	95 	186 	186 
021181 	74 	95 	186 	186 
021182 	74 	95 	186 	186 
021183 	74 	95 	186 	186 
021184 	74 	95 	186 	186 
021185 	74 	95 	186 	186 
021186 	74 	95 	186 	186 
021187 	74 	95 	186 	186 
021188 	74 	95 	186 	186 
021189 	95 	96 	156 	156 
021190 	94 	95 	187 	186 
021191 	94 	95 	187 	186 
021192 	94 	95 	187 	186 
021193 	94 	95 	187 	186 
021194 	94 	95 	187 	186 
021195 	94 	95 	187 	186 
021196 	94 	95 	187 	186 
021197 	94 	95 	187 	186 
021198 	94 	95 	187 	186 
021199 	94 	95 	187 	186 
021200 	94 	95 	187 	186 
021201 	94 	95 	187 	186 
021202 	94 	95 	187 	186 
021203 	94 	95 	187 	186 
021204 	94 	95 	187 	186 
021205 	94 	95 	187 	186 
021206 	94 	95 	187 	186 
021207 	94 	95 	187 	186 
021208 	94 	95 	187 	186 
021209 	94 	95 	187 	186 
021210 	94 	95 	187 	186 
021211 	94 	95 	187 	186 
021212 	94 	95 	187 	186 
021213 	94 	95 	187 	186 
021214 	94 	95 	187 	186 
021215 	94 	95 	187 	186 
021216 	94 	95 	187 	186 
021217 	94 	95 	187 	186 
021218 	115 	95 	187 	186 
021219 	115 	95 	187 	186 
021220 	94 	95 	187 	186 
021221 	94 	95 	187 	186 
021222 	94 	95 	187 	186 
021223 	94 	95 	187 	186 
021224 	94 	95 	187 	186 
021225 	94 	95 	187 	186 
021226 	113 	96 	155 	156 
021227 	94 	74 	187 	187 
021228 	130 	96 	156 	156 
021229 	130 	96 	156 	156 
021230 	130 	96 	156 	156 
021231 	130 	96 	156 	156 
021232 	115 	95 	187 	186 
021233 	115 	74 	187 	187 
021234 	115 	95 	187 	186 
021235 	115 	95 	187 	186 
021236 	115 	95 	187 	186 
021237 	115 	95 	187 	186 
021238 	115 	74 	187 	187 
021239 	115 	95 	187 	186 
021240 	115 	95 	187 	186 
021241 	115 	95 	187 	186 
021242 	115 	95 	187 	186 
021243 	115 	95 	187 	186 
021244 	115 	95 	187 	186 
021245 	115 	95 	187 	186 
021246 	115 	95 	187 	186 
021247 	115 	95 	187 	186 
021248 	115 	95 	187 	186 
021249 	147 	130 	156 	156 
021250 	147 	130 	156 	156 
021251 	147 	130 	156 	156 
021252 	147 	130 	156 	156 
021253 	147 	130 	156 	156 
021254 	147 	130 	156 	156 
021255 	115 	95 	187 	186 
021256 	115 	95 	187 	186 
021257 	115 	95 	187 	186 
021258 	115 	95 	187 	186 
021259 	115 	95 	187 	186 
021260 	115 	95 	187 	186 
021261 	115 	95 	187 	186 
021262 	115 	95 	187 	186 
021263 	115 	95 	187 	186 
021264 	115 	95 	187 	186 
021265 	115 	95 	187 	186 
021266 	115 	95 	187 	186 
021267 	115 	95 	187 	186 
021268 	115 	95 	187 	186 
021269 	130 	113 	156 	156 
021270 	94 	95 	187 	186 
021271 	94 	95 	187 	186 
021272 	94 	115 	187 	187 
021273 	94 	115 	187 	187 
021274 	94 	115 	187 	187 
021275 	94 	115 	187 	187 
021276 	94 	115 	187 	187 
021277 	94 	115 	187 	187 
021278 	74 	115 	186 	187 
021279 	74 	115 	186 	187 
021280 	74 	115 	186 	187 
021281 	74 	115 	186 	187 
021282 	74 	115 	186 	187 
021283 	74 	115 	186 	187 
