Identity  : 	id10285
Reference : 	LbFFEF1pHO0
Offset    : 	-1
FV Conf   : 	11.298
ASD Conf  : 	5.794

FRAME 	X 	Y 	W 	H 
018425 	385 	62 	76 	76 
018426 	383 	55 	91 	91 
018427 	383 	55 	91 	91 
018428 	383 	55 	91 	91 
018429 	393 	55 	91 	91 
018430 	393 	55 	91 	91 
018431 	402 	62 	76 	76 
018432 	402 	62 	76 	76 
018433 	402 	62 	76 	76 
018434 	402 	62 	76 	76 
018435 	393 	55 	91 	91 
018436 	393 	55 	91 	91 
018437 	393 	55 	91 	91 
018438 	393 	55 	91 	91 
018439 	393 	55 	91 	91 
018440 	393 	55 	91 	91 
018441 	394 	62 	75 	76 
018442 	383 	55 	91 	91 
018443 	383 	55 	91 	91 
018444 	383 	55 	91 	91 
018445 	383 	55 	91 	91 
018446 	383 	55 	91 	91 
018447 	383 	55 	91 	91 
018448 	383 	55 	91 	91 
018449 	383 	55 	91 	91 
018450 	383 	55 	91 	91 
018451 	383 	55 	91 	91 
018452 	383 	55 	91 	91 
018453 	385 	62 	76 	76 
018454 	385 	62 	76 	76 
018455 	385 	62 	76 	76 
018456 	385 	62 	76 	76 
018457 	385 	62 	76 	76 
018458 	385 	62 	76 	76 
018459 	385 	54 	76 	76 
018460 	385 	54 	76 	76 
018461 	385 	54 	76 	76 
018462 	385 	54 	76 	76 
018463 	383 	55 	91 	91 
018464 	383 	45 	91 	91 
018465 	383 	55 	91 	91 
018466 	383 	55 	91 	91 
018467 	383 	55 	91 	91 
018468 	383 	55 	91 	91 
018469 	383 	55 	91 	91 
018470 	383 	55 	91 	91 
018471 	383 	55 	91 	91 
018472 	383 	55 	91 	91 
018473 	383 	55 	91 	91 
018474 	383 	55 	91 	91 
018475 	383 	55 	91 	91 
018476 	383 	55 	91 	91 
018477 	383 	55 	91 	91 
018478 	383 	55 	91 	91 
018479 	383 	55 	91 	91 
018480 	383 	55 	91 	91 
018481 	383 	55 	91 	91 
018482 	394 	71 	75 	75 
018483 	394 	71 	75 	75 
018484 	394 	71 	75 	75 
018485 	394 	71 	75 	75 
018486 	393 	55 	91 	91 
018487 	393 	55 	91 	91 
018488 	393 	55 	91 	91 
018489 	402 	71 	76 	75 
018490 	402 	71 	76 	75 
018491 	402 	71 	76 	75 
018492 	393 	65 	91 	91 
018493 	393 	65 	91 	91 
018494 	393 	65 	91 	91 
018495 	393 	65 	91 	91 
018496 	393 	65 	91 	91 
018497 	393 	65 	91 	91 
018498 	383 	65 	91 	91 
018499 	383 	65 	91 	91 
018500 	383 	65 	91 	91 
018501 	383 	55 	91 	91 
018502 	383 	55 	91 	91 
018503 	385 	62 	76 	76 
018504 	385 	62 	76 	76 
018505 	385 	62 	76 	76 
018506 	373 	55 	91 	91 
018507 	373 	55 	91 	91 
018508 	373 	55 	91 	91 
018509 	373 	55 	91 	91 
018510 	373 	55 	91 	91 
018511 	373 	55 	91 	91 
018512 	373 	55 	91 	91 
018513 	373 	55 	91 	91 
018514 	373 	55 	91 	91 
018515 	373 	55 	91 	91 
018516 	373 	55 	91 	91 
018517 	373 	55 	91 	91 
018518 	373 	55 	91 	91 
018519 	373 	55 	91 	91 
018520 	373 	55 	91 	91 
018521 	373 	55 	91 	91 
018522 	373 	55 	91 	91 
018523 	373 	55 	91 	91 
018524 	373 	55 	91 	91 
018525 	373 	55 	91 	91 
018526 	385 	62 	76 	76 
018527 	385 	62 	76 	76 
018528 	385 	62 	76 	76 
018529 	385 	62 	76 	76 
018530 	385 	62 	76 	76 
018531 	385 	62 	76 	76 
