Identity  : 	id10286
Reference : 	4TtOX8dgtYI
Offset    : 	-2
FV Conf   : 	14.753
ASD Conf  : 	8.490

FRAME 	X 	Y 	W 	H 
001640 	251 	80 	130 	130 
001641 	269 	78 	108 	109 
001642 	269 	78 	108 	109 
001643 	266 	66 	130 	130 
001644 	266 	66 	130 	130 
001645 	281 	66 	108 	109 
001646 	280 	51 	130 	130 
001647 	280 	51 	130 	130 
001648 	280 	51 	130 	130 
001649 	280 	51 	130 	130 
001650 	293 	66 	108 	109 
001651 	281 	66 	108 	109 
001652 	281 	66 	108 	109 
001653 	281 	66 	108 	109 
001654 	281 	66 	108 	109 
001655 	281 	66 	108 	109 
001656 	281 	66 	108 	109 
001657 	281 	66 	108 	109 
001658 	281 	66 	108 	109 
001659 	281 	66 	108 	109 
001660 	281 	78 	108 	109 
001661 	281 	78 	108 	109 
001662 	281 	78 	108 	109 
001663 	281 	78 	108 	109 
001664 	281 	78 	108 	109 
001665 	281 	78 	108 	109 
001666 	281 	78 	108 	109 
001667 	281 	78 	108 	109 
001668 	281 	78 	108 	109 
001669 	281 	78 	108 	109 
001670 	281 	78 	108 	109 
001671 	281 	78 	108 	109 
001672 	281 	78 	108 	109 
001673 	281 	78 	108 	109 
001674 	281 	78 	108 	109 
001675 	281 	66 	108 	109 
001676 	281 	66 	108 	109 
001677 	281 	66 	108 	109 
001678 	281 	66 	108 	109 
001679 	281 	78 	108 	109 
001680 	281 	78 	108 	109 
001681 	266 	66 	130 	130 
001682 	266 	66 	130 	130 
001683 	269 	78 	108 	109 
001684 	269 	78 	108 	109 
001685 	269 	78 	108 	109 
001686 	269 	78 	108 	109 
001687 	269 	78 	108 	109 
001688 	251 	66 	130 	130 
001689 	269 	78 	108 	109 
001690 	251 	66 	130 	130 
001691 	251 	66 	130 	130 
001692 	251 	66 	130 	130 
001693 	251 	66 	130 	130 
001694 	269 	66 	108 	109 
001695 	266 	51 	130 	130 
001696 	266 	51 	130 	130 
001697 	266 	51 	130 	130 
001698 	281 	54 	108 	109 
001699 	281 	54 	108 	109 
001700 	280 	51 	130 	130 
001701 	280 	51 	130 	130 
001702 	280 	51 	130 	130 
001703 	293 	54 	108 	109 
001704 	293 	54 	108 	109 
001705 	293 	54 	108 	109 
001706 	293 	54 	108 	109 
001707 	305 	54 	108 	109 
001708 	305 	54 	108 	109 
001709 	305 	54 	108 	109 
001710 	317 	54 	108 	109 
001711 	317 	54 	108 	109 
001712 	309 	51 	130 	130 
001713 	309 	51 	130 	130 
001714 	329 	66 	108 	109 
001715 	329 	66 	108 	109 
001716 	329 	66 	108 	109 
001717 	329 	66 	108 	109 
001718 	329 	78 	108 	109 
001719 	329 	78 	108 	109 
001720 	309 	66 	130 	130 
001721 	309 	66 	130 	130 
001722 	309 	66 	130 	130 
001723 	317 	78 	108 	109 
001724 	317 	78 	108 	109 
001725 	317 	78 	108 	109 
001726 	317 	78 	108 	109 
001727 	317 	66 	108 	109 
001728 	305 	66 	108 	109 
001729 	305 	66 	108 	109 
001730 	305 	66 	108 	109 
001731 	305 	54 	108 	109 
001732 	305 	54 	108 	109 
001733 	293 	54 	108 	109 
001734 	293 	54 	108 	109 
001735 	281 	54 	108 	109 
001736 	281 	54 	108 	109 
001737 	266 	51 	130 	130 
001738 	269 	66 	108 	109 
001739 	269 	66 	108 	109 
001740 	257 	66 	109 	109 
001741 	237 	66 	130 	130 
001742 	237 	66 	130 	130 
001743 	245 	78 	109 	109 
001744 	245 	78 	109 	109 
001745 	223 	80 	130 	130 
001746 	233 	78 	109 	109 
001747 	233 	78 	109 	109 
001748 	233 	78 	109 	109 
001749 	221 	78 	109 	109 
001750 	221 	78 	109 	109 
001751 	221 	78 	109 	109 
001752 	221 	78 	109 	109 
001753 	221 	78 	109 	109 
001754 	221 	78 	109 	109 
001755 	221 	90 	109 	109 
001756 	221 	90 	109 	109 
001757 	221 	90 	109 	109 
001758 	233 	90 	109 	109 
001759 	233 	90 	109 	109 
001760 	233 	78 	109 	109 
