Identity  : 	id10286
Reference : 	7I1GtGzVfmw
Offset    : 	-1
FV Conf   : 	12.420
ASD Conf  : 	7.459

FRAME 	X 	Y 	W 	H 
007816 	114 	65 	91 	91 
007817 	114 	65 	91 	91 
007818 	120 	71 	76 	75 
007819 	120 	71 	76 	75 
007820 	120 	71 	76 	75 
007821 	114 	65 	91 	91 
007822 	120 	71 	76 	75 
007823 	120 	71 	76 	75 
007824 	120 	71 	76 	75 
007825 	120 	71 	76 	75 
007826 	120 	71 	76 	75 
007827 	120 	62 	76 	76 
007828 	114 	55 	91 	91 
007829 	120 	62 	76 	76 
007830 	120 	62 	76 	76 
007831 	120 	62 	76 	76 
007832 	120 	71 	76 	75 
007833 	120 	71 	76 	75 
007834 	120 	71 	76 	75 
007835 	120 	71 	76 	75 
007836 	120 	71 	76 	75 
007837 	114 	65 	91 	91 
007838 	120 	71 	76 	75 
007839 	120 	71 	76 	75 
007840 	114 	65 	91 	91 
007841 	114 	65 	91 	91 
007842 	120 	71 	76 	75 
007843 	114 	65 	91 	91 
007844 	114 	65 	91 	91 
007845 	114 	65 	91 	91 
007846 	114 	65 	91 	91 
007847 	120 	71 	76 	75 
007848 	114 	65 	91 	91 
007849 	120 	71 	76 	75 
007850 	120 	71 	76 	75 
007851 	120 	71 	76 	75 
007852 	114 	65 	91 	91 
007853 	114 	65 	91 	91 
007854 	114 	65 	91 	91 
007855 	128 	62 	76 	76 
007856 	128 	62 	76 	76 
007857 	128 	62 	76 	76 
007858 	128 	62 	76 	76 
007859 	128 	62 	76 	76 
007860 	128 	62 	76 	76 
007861 	128 	62 	76 	76 
007862 	128 	62 	76 	76 
007863 	128 	62 	76 	76 
007864 	128 	62 	76 	76 
007865 	128 	62 	76 	76 
007866 	124 	55 	91 	91 
007867 	137 	62 	75 	76 
007868 	137 	62 	75 	76 
007869 	137 	62 	75 	76 
007870 	137 	62 	75 	76 
007871 	137 	62 	75 	76 
007872 	137 	62 	75 	76 
007873 	137 	62 	75 	76 
007874 	137 	62 	75 	76 
007875 	137 	62 	75 	76 
007876 	137 	62 	75 	76 
007877 	137 	62 	75 	76 
007878 	137 	62 	75 	76 
007879 	137 	62 	75 	76 
007880 	137 	71 	75 	75 
007881 	137 	71 	75 	75 
007882 	137 	71 	75 	75 
007883 	137 	71 	75 	75 
007884 	137 	71 	75 	75 
007885 	137 	71 	75 	75 
007886 	137 	71 	75 	75 
007887 	137 	62 	75 	76 
007888 	124 	55 	91 	91 
007889 	124 	55 	91 	91 
007890 	124 	55 	91 	91 
007891 	124 	55 	91 	91 
007892 	128 	62 	76 	76 
007893 	128 	62 	76 	76 
007894 	128 	62 	76 	76 
007895 	128 	62 	76 	76 
007896 	128 	71 	76 	75 
007897 	128 	71 	76 	75 
007898 	128 	71 	76 	75 
007899 	128 	71 	76 	75 
007900 	128 	71 	76 	75 
007901 	128 	71 	76 	75 
007902 	128 	71 	76 	75 
007903 	128 	71 	76 	75 
007904 	128 	71 	76 	75 
007905 	128 	71 	76 	75 
007906 	128 	71 	76 	75 
007907 	128 	71 	76 	75 
007908 	128 	71 	76 	75 
007909 	128 	71 	76 	75 
007910 	128 	71 	76 	75 
007911 	128 	71 	76 	75 
007912 	128 	71 	76 	75 
007913 	124 	55 	91 	91 
007914 	128 	62 	76 	76 
007915 	124 	55 	91 	91 
007916 	128 	62 	76 	76 
007917 	128 	62 	76 	76 
007918 	128 	62 	76 	76 
007919 	128 	62 	76 	76 
007920 	128 	62 	76 	76 
007921 	128 	62 	76 	76 
007922 	128 	62 	76 	76 
007923 	128 	62 	76 	76 
007924 	128 	62 	76 	76 
007925 	128 	62 	76 	76 
007926 	128 	62 	76 	76 
007927 	128 	62 	76 	76 
007928 	128 	62 	76 	76 
007929 	128 	62 	76 	76 
007930 	114 	55 	91 	91 
007931 	128 	62 	76 	76 
007932 	114 	55 	91 	91 
007933 	128 	54 	76 	76 
007934 	128 	54 	76 	76 
007935 	128 	54 	76 	76 
007936 	128 	54 	76 	76 
007937 	128 	54 	76 	76 
007938 	128 	54 	76 	76 
007939 	128 	54 	76 	76 
007940 	128 	54 	76 	76 
007941 	128 	54 	76 	76 
007942 	114 	45 	91 	91 
007943 	114 	45 	91 	91 
007944 	114 	45 	91 	91 
007945 	114 	45 	91 	91 
007946 	114 	55 	91 	91 
007947 	114 	55 	91 	91 
007948 	114 	55 	91 	91 
007949 	114 	55 	91 	91 
007950 	114 	55 	91 	91 
007951 	114 	55 	91 	91 
007952 	114 	55 	91 	91 
007953 	114 	55 	91 	91 
007954 	114 	55 	91 	91 
007955 	114 	55 	91 	91 
007956 	114 	65 	91 	91 
007957 	114 	65 	91 	91 
007958 	114 	65 	91 	91 
007959 	114 	65 	91 	91 
007960 	114 	65 	91 	91 
007961 	114 	65 	91 	91 
007962 	114 	65 	91 	91 
007963 	114 	65 	91 	91 
007964 	114 	65 	91 	91 
007965 	114 	65 	91 	91 
007966 	114 	65 	91 	91 
007967 	114 	65 	91 	91 
007968 	114 	65 	91 	91 
007969 	114 	65 	91 	91 
007970 	114 	65 	91 	91 
007971 	114 	65 	91 	91 
007972 	114 	65 	91 	91 
007973 	114 	75 	91 	91 
007974 	114 	75 	91 	91 
007975 	120 	79 	76 	76 
007976 	114 	75 	91 	91 
007977 	114 	75 	91 	91 
