Identity  : 	id10286
Reference : 	9K2YB1d8BqY
Offset    : 	0
FV Conf   : 	14.280
ASD Conf  : 	7.722

FRAME 	X 	Y 	W 	H 
005197 	353 	75 	91 	91 
005198 	353 	75 	91 	91 
005199 	353 	75 	91 	91 
005200 	353 	66 	108 	109 
005201 	353 	78 	108 	109 
005202 	353 	78 	108 	109 
005203 	353 	78 	108 	109 
005204 	353 	78 	108 	109 
005205 	353 	78 	108 	109 
005206 	353 	66 	108 	109 
005207 	353 	66 	108 	109 
005208 	353 	66 	108 	109 
005209 	353 	66 	108 	109 
005210 	353 	66 	108 	109 
005211 	353 	66 	108 	109 
005212 	353 	66 	108 	109 
005213 	341 	66 	108 	109 
005214 	341 	66 	108 	109 
005215 	341 	66 	108 	109 
005216 	341 	66 	108 	109 
005217 	341 	66 	108 	109 
005218 	343 	75 	91 	91 
005219 	329 	66 	108 	109 
005220 	329 	66 	108 	109 
005221 	329 	66 	108 	109 
005222 	329 	66 	108 	109 
005223 	333 	75 	91 	91 
005224 	333 	75 	91 	91 
005225 	333 	75 	91 	91 
005226 	333 	75 	91 	91 
005227 	333 	75 	91 	91 
005228 	333 	75 	91 	91 
005229 	333 	75 	91 	91 
005230 	329 	66 	108 	109 
005231 	333 	85 	91 	91 
005232 	333 	85 	91 	91 
005233 	333 	85 	91 	91 
005234 	329 	78 	108 	109 
005235 	329 	78 	108 	109 
005236 	329 	78 	108 	109 
005237 	329 	78 	108 	109 
005238 	329 	78 	108 	109 
005239 	329 	78 	108 	109 
005240 	329 	78 	108 	109 
005241 	329 	78 	108 	109 
005242 	329 	78 	108 	109 
005243 	329 	78 	108 	109 
005244 	329 	78 	108 	109 
005245 	333 	85 	91 	91 
005246 	329 	78 	108 	109 
005247 	329 	78 	108 	109 
005248 	341 	78 	108 	109 
005249 	343 	75 	91 	91 
005250 	341 	66 	108 	109 
005251 	343 	75 	91 	91 
005252 	329 	66 	108 	109 
005253 	329 	66 	108 	109 
005254 	317 	54 	108 	109 
005255 	317 	54 	108 	109 
005256 	317 	54 	108 	109 
005257 	317 	54 	108 	109 
005258 	317 	54 	108 	109 
005259 	333 	65 	91 	91 
005260 	333 	65 	91 	91 
005261 	333 	65 	91 	91 
005262 	333 	65 	91 	91 
005263 	333 	65 	91 	91 
005264 	333 	65 	91 	91 
005265 	333 	65 	91 	91 
005266 	333 	65 	91 	91 
005267 	329 	54 	108 	109 
005268 	329 	54 	108 	109 
005269 	329 	54 	108 	109 
