Identity  : 	id10286
Reference : 	yAe_ZhyWdnI
Offset    : 	-1
FV Conf   : 	15.998
ASD Conf  : 	7.728

FRAME 	X 	Y 	W 	H 
000840 	203 	71 	76 	75 
000841 	203 	71 	76 	75 
000842 	203 	71 	76 	75 
000843 	211 	71 	76 	75 
000844 	211 	71 	76 	75 
000845 	220 	71 	75 	75 
000846 	220 	71 	75 	75 
000847 	214 	65 	91 	91 
000848 	228 	71 	76 	75 
000849 	228 	71 	76 	75 
000850 	224 	65 	91 	91 
000851 	236 	79 	76 	76 
000852 	234 	65 	90 	91 
000853 	234 	65 	90 	91 
000854 	234 	65 	90 	91 
000855 	244 	79 	76 	76 
000856 	244 	75 	90 	91 
000857 	244 	65 	90 	91 
000858 	244 	65 	90 	91 
000859 	253 	79 	75 	76 
000860 	254 	75 	90 	91 
000861 	254 	75 	90 	91 
000862 	254 	75 	90 	91 
000863 	254 	75 	90 	91 
000864 	254 	75 	90 	91 
000865 	261 	79 	76 	76 
000866 	261 	79 	76 	76 
000867 	261 	79 	76 	76 
000868 	254 	75 	90 	91 
000869 	254 	75 	90 	91 
000870 	253 	79 	75 	76 
000871 	244 	75 	90 	91 
000872 	244 	75 	90 	91 
000873 	244 	75 	90 	91 
000874 	244 	75 	90 	91 
000875 	234 	75 	90 	91 
000876 	234 	75 	90 	91 
000877 	234 	75 	90 	91 
000878 	234 	75 	90 	91 
000879 	234 	75 	90 	91 
000880 	224 	75 	91 	91 
000881 	224 	75 	91 	91 
000882 	224 	75 	91 	91 
000883 	224 	75 	91 	91 
000884 	224 	75 	91 	91 
000885 	224 	75 	91 	91 
000886 	224 	75 	91 	91 
000887 	224 	75 	91 	91 
000888 	224 	75 	91 	91 
000889 	224 	75 	91 	91 
000890 	224 	65 	91 	91 
000891 	224 	65 	91 	91 
000892 	224 	65 	91 	91 
000893 	224 	65 	91 	91 
000894 	224 	65 	91 	91 
000895 	234 	75 	90 	91 
000896 	234 	75 	90 	91 
000897 	234 	75 	90 	91 
000898 	234 	75 	90 	91 
000899 	234 	75 	90 	91 
000900 	234 	75 	90 	91 
000901 	234 	75 	90 	91 
000902 	234 	75 	90 	91 
000903 	234 	75 	90 	91 
000904 	234 	75 	90 	91 
000905 	234 	75 	90 	91 
000906 	234 	75 	90 	91 
000907 	234 	75 	90 	91 
