Identity  : 	id10288
Reference : 	A3ZvNuG8_oM
Offset    : 	-1
FV Conf   : 	22.324
ASD Conf  : 	5.972

FRAME 	X 	Y 	W 	H 
004590 	195 	112 	75 	76 
004591 	195 	112 	75 	76 
004592 	195 	112 	75 	76 
004593 	195 	121 	75 	75 
004594 	195 	121 	75 	75 
004595 	195 	121 	75 	75 
004596 	195 	121 	75 	75 
004597 	195 	112 	75 	76 
004598 	186 	112 	76 	76 
004599 	186 	112 	76 	76 
004600 	186 	121 	76 	75 
004601 	178 	121 	76 	75 
004602 	178 	121 	76 	75 
004603 	178 	121 	76 	75 
004604 	178 	121 	76 	75 
004605 	170 	121 	75 	75 
004606 	170 	121 	75 	75 
004607 	170 	121 	75 	75 
004608 	178 	121 	76 	75 
004609 	178 	121 	76 	75 
004610 	178 	121 	76 	75 
004611 	178 	121 	76 	75 
004612 	178 	121 	76 	75 
004613 	178 	121 	76 	75 
004614 	178 	121 	76 	75 
004615 	178 	121 	76 	75 
004616 	178 	121 	76 	75 
004617 	178 	121 	76 	75 
004618 	190 	128 	63 	63 
004619 	190 	128 	63 	63 
004620 	186 	121 	76 	75 
004621 	186 	121 	76 	75 
004622 	186 	121 	76 	75 
004623 	186 	121 	76 	75 
004624 	186 	121 	76 	75 
004625 	186 	121 	76 	75 
004626 	186 	121 	76 	75 
004627 	186 	121 	76 	75 
004628 	186 	121 	76 	75 
004629 	186 	121 	76 	75 
004630 	186 	121 	76 	75 
004631 	186 	121 	76 	75 
004632 	186 	121 	76 	75 
004633 	186 	121 	76 	75 
004634 	186 	121 	76 	75 
004635 	186 	121 	76 	75 
004636 	186 	121 	76 	75 
004637 	190 	128 	63 	63 
004638 	190 	128 	63 	63 
004639 	190 	128 	63 	63 
004640 	190 	128 	63 	63 
004641 	178 	121 	76 	75 
004642 	178 	121 	76 	75 
004643 	178 	121 	76 	75 
004644 	178 	121 	76 	75 
004645 	178 	121 	76 	75 
004646 	178 	121 	76 	75 
004647 	178 	121 	76 	75 
004648 	178 	121 	76 	75 
004649 	178 	121 	76 	75 
004650 	178 	121 	76 	75 
004651 	178 	121 	76 	75 
004652 	178 	121 	76 	75 
004653 	178 	121 	76 	75 
004654 	178 	121 	76 	75 
004655 	178 	121 	76 	75 
004656 	178 	121 	76 	75 
004657 	178 	121 	76 	75 
004658 	178 	121 	76 	75 
004659 	178 	121 	76 	75 
004660 	190 	128 	63 	63 
004661 	186 	121 	76 	75 
004662 	186 	121 	76 	75 
004663 	195 	112 	75 	76 
004664 	195 	112 	75 	76 
004665 	195 	112 	75 	76 
004666 	195 	112 	75 	76 
004667 	195 	112 	75 	76 
004668 	195 	112 	75 	76 
004669 	195 	112 	75 	76 
004670 	195 	112 	75 	76 
004671 	195 	112 	75 	76 
004672 	195 	112 	75 	76 
004673 	195 	112 	75 	76 
004674 	195 	112 	75 	76 
004675 	195 	112 	75 	76 
004676 	195 	112 	75 	76 
004677 	184 	105 	91 	91 
004678 	197 	128 	63 	63 
004679 	186 	121 	76 	75 
004680 	186 	121 	76 	75 
004681 	186 	121 	76 	75 
004682 	186 	121 	76 	75 
004683 	186 	121 	76 	75 
004684 	186 	121 	76 	75 
004685 	186 	121 	76 	75 
004686 	186 	121 	76 	75 
004687 	186 	121 	76 	75 
004688 	186 	121 	76 	75 
004689 	186 	121 	76 	75 
004690 	186 	121 	76 	75 
004691 	186 	121 	76 	75 
004692 	186 	121 	76 	75 
004693 	186 	121 	76 	75 
004694 	190 	128 	63 	63 
004695 	190 	128 	63 	63 
004696 	190 	128 	63 	63 
004697 	190 	128 	63 	63 
004698 	190 	128 	63 	63 
004699 	190 	128 	63 	63 
004700 	190 	128 	63 	63 
004701 	190 	128 	63 	63 
004702 	186 	121 	76 	75 
004703 	186 	121 	76 	75 
004704 	186 	121 	76 	75 
004705 	197 	128 	63 	63 
