Identity  : 	id10289
Reference : 	zFii0ROZZjc
Offset    : 	-2
FV Conf   : 	24.149
ASD Conf  : 	7.718

FRAME 	X 	Y 	W 	H 
001119 	267 	96 	156 	156 
001120 	267 	96 	156 	156 
001121 	267 	96 	156 	156 
001122 	267 	96 	156 	156 
001123 	267 	96 	156 	156 
001124 	267 	96 	156 	156 
001125 	267 	96 	156 	156 
001126 	267 	96 	156 	156 
001127 	267 	96 	156 	156 
001128 	267 	96 	156 	156 
001129 	280 	109 	130 	130 
001130 	250 	96 	156 	156 
001131 	250 	96 	156 	156 
001132 	250 	96 	156 	156 
001133 	266 	109 	130 	130 
001134 	266 	109 	130 	130 
001135 	251 	109 	130 	130 
001136 	251 	109 	130 	130 
001137 	251 	94 	130 	130 
001138 	251 	94 	130 	130 
001139 	251 	94 	130 	130 
001140 	250 	79 	156 	156 
001141 	250 	79 	156 	156 
001142 	250 	79 	156 	156 
001143 	250 	79 	156 	156 
001144 	250 	79 	156 	156 
001145 	250 	79 	156 	156 
001146 	250 	79 	156 	156 
001147 	267 	79 	156 	156 
001148 	267 	79 	156 	156 
001149 	267 	96 	156 	156 
001150 	267 	96 	156 	156 
001151 	250 	96 	156 	156 
001152 	250 	79 	156 	156 
001153 	250 	79 	156 	156 
001154 	250 	79 	156 	156 
001155 	250 	79 	156 	156 
001156 	250 	79 	156 	156 
001157 	250 	79 	156 	156 
001158 	250 	79 	156 	156 
001159 	250 	79 	156 	156 
001160 	250 	79 	156 	156 
001161 	250 	79 	156 	156 
001162 	250 	79 	156 	156 
001163 	250 	79 	156 	156 
001164 	250 	79 	156 	156 
001165 	250 	79 	156 	156 
001166 	267 	79 	156 	156 
001167 	267 	79 	156 	156 
001168 	280 	94 	130 	130 
001169 	280 	94 	130 	130 
001170 	280 	109 	130 	130 
001171 	267 	96 	156 	156 
001172 	267 	96 	156 	156 
001173 	267 	96 	156 	156 
001174 	267 	96 	156 	156 
001175 	267 	96 	156 	156 
