Identity  : 	id10291
Reference : 	iPZGPcrYIZs
Offset    : 	-2
FV Conf   : 	14.452
ASD Conf  : 	9.498

FRAME 	X 	Y 	W 	H 
003385 	197 	95 	187 	186 
003386 	197 	95 	187 	186 
003387 	197 	95 	187 	186 
003388 	188 	89 	224 	224 
003389 	197 	95 	187 	186 
003390 	197 	95 	187 	186 
003391 	197 	95 	187 	186 
003392 	197 	95 	187 	186 
003393 	188 	64 	224 	224 
003394 	197 	95 	187 	186 
003395 	188 	89 	224 	224 
003396 	188 	89 	224 	224 
003397 	188 	89 	224 	224 
003398 	218 	95 	187 	186 
003399 	218 	95 	187 	186 
003400 	218 	95 	187 	186 
003401 	218 	95 	187 	186 
003402 	218 	95 	187 	186 
003403 	218 	95 	187 	186 
003404 	218 	95 	187 	186 
003405 	212 	89 	224 	224 
003406 	212 	89 	224 	224 
003407 	212 	89 	224 	224 
003408 	239 	115 	186 	187 
003409 	239 	115 	186 	187 
003410 	239 	115 	186 	187 
003411 	239 	115 	186 	187 
003412 	239 	115 	186 	187 
003413 	239 	115 	186 	187 
003414 	239 	115 	186 	187 
003415 	239 	115 	186 	187 
003416 	239 	115 	186 	187 
003417 	239 	115 	186 	187 
003418 	239 	115 	186 	187 
003419 	239 	115 	186 	187 
003420 	239 	115 	186 	187 
003421 	239 	115 	186 	187 
003422 	239 	115 	186 	187 
003423 	239 	115 	186 	187 
003424 	239 	115 	186 	187 
003425 	239 	115 	186 	187 
003426 	239 	115 	186 	187 
003427 	239 	115 	186 	187 
003428 	239 	115 	186 	187 
003429 	239 	115 	186 	187 
003430 	239 	115 	186 	187 
003431 	239 	115 	186 	187 
003432 	239 	115 	186 	187 
003433 	239 	115 	186 	187 
003434 	239 	115 	186 	187 
003435 	239 	115 	186 	187 
003436 	239 	115 	186 	187 
003437 	239 	115 	186 	187 
003438 	239 	115 	186 	187 
003439 	239 	115 	186 	187 
003440 	239 	115 	186 	187 
003441 	239 	115 	186 	187 
003442 	239 	115 	186 	187 
003443 	239 	115 	186 	187 
003444 	239 	115 	186 	187 
003445 	239 	115 	186 	187 
003446 	239 	115 	186 	187 
003447 	239 	115 	186 	187 
003448 	239 	115 	186 	187 
003449 	239 	115 	186 	187 
003450 	239 	115 	186 	187 
003451 	239 	115 	186 	187 
003452 	212 	89 	224 	224 
003453 	212 	89 	224 	224 
003454 	212 	89 	224 	224 
003455 	212 	89 	224 	224 
003456 	212 	89 	224 	224 
003457 	212 	89 	224 	224 
003458 	212 	89 	224 	224 
003459 	212 	89 	224 	224 
003460 	218 	95 	187 	186 
003461 	218 	95 	187 	186 
003462 	218 	95 	187 	186 
003463 	218 	95 	187 	186 
003464 	218 	95 	187 	186 
003465 	218 	95 	187 	186 
003466 	188 	89 	224 	224 
003467 	188 	89 	224 	224 
003468 	188 	89 	224 	224 
003469 	188 	89 	224 	224 
003470 	188 	89 	224 	224 
003471 	188 	89 	224 	224 
003472 	188 	89 	224 	224 
003473 	188 	89 	224 	224 
003474 	188 	89 	224 	224 
003475 	197 	115 	187 	187 
003476 	197 	115 	187 	187 
003477 	197 	115 	187 	187 
003478 	188 	89 	224 	224 
003479 	188 	89 	224 	224 
003480 	188 	89 	224 	224 
003481 	188 	89 	224 	224 
003482 	188 	89 	224 	224 
003483 	188 	89 	224 	224 
003484 	218 	115 	187 	187 
003485 	218 	115 	187 	187 
