Identity  : 	id10291
Reference : 	oLJhH76d0kU
Offset    : 	-2
FV Conf   : 	15.131
ASD Conf  : 	8.911

FRAME 	X 	Y 	W 	H 
001745 	218 	95 	187 	186 
001746 	218 	95 	187 	186 
001747 	218 	95 	187 	186 
001748 	218 	95 	187 	186 
001749 	218 	95 	187 	186 
001750 	218 	95 	187 	186 
001751 	218 	95 	187 	186 
001752 	239 	95 	186 	186 
001753 	239 	95 	186 	186 
001754 	259 	95 	187 	186 
001755 	259 	95 	187 	186 
001756 	259 	95 	187 	186 
001757 	237 	64 	224 	224 
001758 	237 	64 	224 	224 
001759 	239 	95 	186 	186 
001760 	239 	95 	186 	186 
001761 	239 	115 	186 	187 
001762 	212 	89 	224 	224 
001763 	212 	89 	224 	224 
001764 	218 	115 	187 	187 
001765 	218 	115 	187 	187 
001766 	218 	115 	187 	187 
001767 	218 	115 	187 	187 
001768 	218 	115 	187 	187 
001769 	218 	115 	187 	187 
001770 	197 	115 	187 	187 
001771 	197 	115 	187 	187 
001772 	197 	115 	187 	187 
001773 	197 	115 	187 	187 
001774 	197 	115 	187 	187 
001775 	197 	115 	187 	187 
001776 	197 	115 	187 	187 
001777 	197 	115 	187 	187 
001778 	197 	115 	187 	187 
001779 	197 	115 	187 	187 
001780 	197 	115 	187 	187 
001781 	197 	115 	187 	187 
001782 	197 	115 	187 	187 
001783 	197 	115 	187 	187 
001784 	197 	115 	187 	187 
001785 	197 	115 	187 	187 
001786 	197 	115 	187 	187 
001787 	197 	115 	187 	187 
001788 	197 	115 	187 	187 
001789 	188 	89 	224 	224 
001790 	188 	89 	224 	224 
001791 	218 	95 	187 	186 
001792 	218 	95 	187 	186 
001793 	212 	89 	224 	224 
001794 	212 	89 	224 	224 
001795 	239 	95 	186 	186 
001796 	239 	95 	186 	186 
001797 	239 	95 	186 	186 
001798 	239 	95 	186 	186 
001799 	212 	89 	224 	224 
001800 	218 	95 	187 	186 
001801 	188 	89 	224 	224 
001802 	188 	89 	224 	224 
001803 	197 	95 	187 	186 
001804 	197 	95 	187 	186 
001805 	163 	64 	224 	224 
001806 	163 	64 	224 	224 
001807 	163 	64 	224 	224 
001808 	163 	64 	224 	224 
001809 	163 	64 	224 	224 
001810 	163 	64 	224 	224 
001811 	163 	64 	224 	224 
001812 	163 	64 	224 	224 
001813 	163 	64 	224 	224 
001814 	163 	64 	224 	224 
001815 	163 	64 	224 	224 
001816 	163 	64 	224 	224 
001817 	197 	95 	187 	186 
001818 	197 	95 	187 	186 
001819 	197 	95 	187 	186 
001820 	188 	64 	224 	224 
001821 	188 	89 	224 	224 
001822 	188 	89 	224 	224 
001823 	188 	89 	224 	224 
001824 	218 	115 	187 	187 
001825 	218 	95 	187 	186 
001826 	188 	64 	224 	224 
001827 	188 	64 	224 	224 
001828 	188 	64 	224 	224 
001829 	188 	64 	224 	224 
001830 	188 	64 	224 	224 
001831 	197 	74 	187 	187 
001832 	188 	64 	224 	224 
001833 	188 	64 	224 	224 
001834 	218 	74 	187 	187 
001835 	218 	74 	187 	187 
001836 	188 	64 	224 	224 
001837 	188 	64 	224 	224 
001838 	188 	64 	224 	224 
001839 	188 	64 	224 	224 
001840 	188 	64 	224 	224 
001841 	188 	64 	224 	224 
001842 	188 	64 	224 	224 
001843 	188 	64 	224 	224 
001844 	188 	64 	224 	224 
001845 	188 	64 	224 	224 
001846 	188 	64 	224 	224 
001847 	188 	64 	224 	224 
001848 	188 	64 	224 	224 
001849 	188 	64 	224 	224 
001850 	188 	64 	224 	224 
001851 	197 	95 	187 	186 
001852 	197 	95 	187 	186 
001853 	188 	64 	224 	224 
001854 	188 	64 	224 	224 
001855 	188 	64 	224 	224 
001856 	188 	64 	224 	224 
001857 	188 	64 	224 	224 
001858 	188 	64 	224 	224 
001859 	188 	64 	224 	224 
001860 	188 	64 	224 	224 
001861 	188 	64 	224 	224 
001862 	188 	64 	224 	224 
001863 	188 	64 	224 	224 
001864 	197 	74 	187 	187 
001865 	197 	74 	187 	187 
001866 	197 	74 	187 	187 
001867 	197 	74 	187 	187 
001868 	188 	39 	224 	224 
001869 	188 	39 	224 	224 
001870 	218 	74 	187 	187 
001871 	218 	74 	187 	187 
001872 	218 	74 	187 	187 
001873 	218 	74 	187 	187 
001874 	218 	95 	187 	186 
001875 	218 	95 	187 	186 
001876 	188 	64 	224 	224 
001877 	188 	64 	224 	224 
001878 	188 	64 	224 	224 
001879 	188 	64 	224 	224 
001880 	188 	64 	224 	224 
001881 	188 	64 	224 	224 
001882 	218 	74 	187 	187 
001883 	218 	95 	187 	186 
001884 	218 	95 	187 	186 
001885 	218 	95 	187 	186 
001886 	188 	89 	224 	224 
001887 	188 	89 	224 	224 
001888 	188 	89 	224 	224 
