Identity  : 	id10292
Reference : 	2qlrpSAc9Xs
Offset    : 	-4
FV Conf   : 	15.726
ASD Conf  : 	5.984

FRAME 	X 	Y 	W 	H 
020214 	195 	79 	75 	76 
020215 	195 	79 	75 	76 
020216 	195 	79 	75 	76 
020217 	203 	79 	76 	76 
020218 	203 	79 	76 	76 
020219 	203 	79 	76 	76 
020220 	211 	79 	76 	76 
020221 	211 	79 	76 	76 
020222 	211 	79 	76 	76 
020223 	220 	79 	75 	76 
020224 	220 	79 	75 	76 
020225 	220 	79 	75 	76 
020226 	220 	79 	75 	76 
020227 	220 	79 	75 	76 
020228 	220 	79 	75 	76 
020229 	220 	79 	75 	76 
020230 	211 	79 	76 	76 
020231 	211 	79 	76 	76 
020232 	203 	79 	76 	76 
020233 	203 	79 	76 	76 
020234 	194 	65 	91 	91 
020235 	194 	65 	91 	91 
020236 	194 	65 	91 	91 
020237 	203 	79 	76 	76 
020238 	203 	79 	76 	76 
020239 	203 	79 	76 	76 
020240 	184 	65 	91 	91 
020241 	184 	65 	91 	91 
020242 	184 	65 	91 	91 
020243 	195 	79 	75 	76 
020244 	195 	79 	75 	76 
020245 	195 	79 	75 	76 
020246 	195 	79 	75 	76 
020247 	194 	75 	91 	91 
020248 	203 	79 	76 	76 
020249 	195 	79 	75 	76 
020250 	203 	79 	76 	76 
020251 	203 	79 	76 	76 
020252 	203 	79 	76 	76 
020253 	203 	79 	76 	76 
020254 	203 	79 	76 	76 
020255 	203 	79 	76 	76 
020256 	203 	79 	76 	76 
020257 	203 	79 	76 	76 
020258 	203 	79 	76 	76 
020259 	203 	79 	76 	76 
020260 	203 	79 	76 	76 
020261 	203 	79 	76 	76 
020262 	203 	79 	76 	76 
020263 	203 	79 	76 	76 
020264 	203 	79 	76 	76 
020265 	203 	79 	76 	76 
020266 	203 	79 	76 	76 
020267 	203 	79 	76 	76 
020268 	203 	79 	76 	76 
020269 	203 	79 	76 	76 
020270 	203 	79 	76 	76 
020271 	203 	79 	76 	76 
020272 	203 	79 	76 	76 
020273 	203 	79 	76 	76 
020274 	203 	79 	76 	76 
020275 	203 	79 	76 	76 
020276 	203 	79 	76 	76 
020277 	203 	79 	76 	76 
020278 	203 	79 	76 	76 
020279 	203 	79 	76 	76 
020280 	203 	79 	76 	76 
020281 	203 	79 	76 	76 
020282 	203 	79 	76 	76 
020283 	203 	79 	76 	76 
020284 	203 	79 	76 	76 
020285 	211 	79 	76 	76 
020286 	211 	79 	76 	76 
020287 	211 	79 	76 	76 
020288 	220 	79 	75 	76 
020289 	220 	79 	75 	76 
020290 	220 	79 	75 	76 
020291 	211 	79 	76 	76 
020292 	211 	79 	76 	76 
020293 	211 	87 	76 	76 
020294 	211 	87 	76 	76 
020295 	211 	87 	76 	76 
020296 	211 	87 	76 	76 
020297 	203 	87 	76 	76 
020298 	203 	87 	76 	76 
020299 	194 	75 	91 	91 
020300 	203 	79 	76 	76 
020301 	195 	87 	75 	76 
020302 	184 	75 	91 	91 
020303 	184 	75 	91 	91 
020304 	186 	79 	76 	76 
020305 	186 	79 	76 	76 
020306 	174 	75 	91 	91 
020307 	174 	75 	91 	91 
020308 	174 	75 	91 	91 
020309 	186 	79 	76 	76 
020310 	186 	79 	76 	76 
020311 	186 	79 	76 	76 
020312 	186 	79 	76 	76 
020313 	186 	79 	76 	76 
020314 	186 	79 	76 	76 
020315 	184 	75 	91 	91 
020316 	184 	75 	91 	91 
020317 	184 	75 	91 	91 
020318 	184 	75 	91 	91 
020319 	184 	75 	91 	91 
020320 	184 	75 	91 	91 
020321 	184 	75 	91 	91 
020322 	184 	75 	91 	91 
020323 	184 	75 	91 	91 
020324 	184 	75 	91 	91 
020325 	184 	75 	91 	91 
020326 	184 	75 	91 	91 
020327 	184 	75 	91 	91 
020328 	195 	79 	75 	76 
020329 	186 	79 	76 	76 
020330 	186 	79 	76 	76 
020331 	186 	79 	76 	76 
020332 	186 	79 	76 	76 
020333 	186 	79 	76 	76 
020334 	174 	75 	91 	91 
020335 	178 	79 	76 	76 
020336 	178 	79 	76 	76 
020337 	178 	79 	76 	76 
020338 	178 	79 	76 	76 
020339 	178 	79 	76 	76 
020340 	178 	79 	76 	76 
020341 	174 	75 	91 	91 
020342 	174 	75 	91 	91 
020343 	174 	75 	91 	91 
020344 	174 	75 	91 	91 
020345 	174 	75 	91 	91 
020346 	186 	79 	76 	76 
020347 	186 	79 	76 	76 
020348 	186 	79 	76 	76 
020349 	186 	79 	76 	76 
020350 	186 	79 	76 	76 
020351 	186 	79 	76 	76 
020352 	186 	79 	76 	76 
020353 	186 	79 	76 	76 
020354 	186 	79 	76 	76 
020355 	186 	79 	76 	76 
020356 	186 	79 	76 	76 
020357 	186 	79 	76 	76 
020358 	174 	75 	91 	91 
020359 	174 	75 	91 	91 
020360 	174 	75 	91 	91 
020361 	174 	75 	91 	91 
020362 	174 	75 	91 	91 
020363 	174 	75 	91 	91 
020364 	174 	75 	91 	91 
020365 	186 	87 	76 	76 
020366 	186 	87 	76 	76 
