Identity  : 	id10292
Reference : 	N8_clYCM9n8
Offset    : 	-4
FV Conf   : 	17.508
ASD Conf  : 	6.006

FRAME 	X 	Y 	W 	H 
002681 	164 	75 	91 	91 
002682 	174 	75 	91 	91 
002683 	174 	85 	91 	91 
002684 	174 	85 	91 	91 
002685 	174 	85 	91 	91 
002686 	186 	96 	76 	75 
002687 	186 	87 	76 	76 
002688 	184 	75 	91 	91 
002689 	184 	75 	91 	91 
002690 	184 	65 	91 	91 
002691 	184 	65 	91 	91 
002692 	184 	65 	91 	91 
002693 	184 	75 	91 	91 
002694 	184 	75 	91 	91 
002695 	184 	75 	91 	91 
002696 	184 	65 	91 	91 
002697 	195 	79 	75 	76 
002698 	194 	75 	91 	91 
002699 	194 	75 	91 	91 
002700 	204 	75 	91 	91 
002701 	204 	75 	91 	91 
002702 	204 	75 	91 	91 
002703 	203 	87 	76 	76 
002704 	203 	87 	76 	76 
002705 	203 	87 	76 	76 
002706 	203 	87 	76 	76 
002707 	203 	87 	76 	76 
002708 	203 	87 	76 	76 
002709 	194 	85 	91 	91 
002710 	194 	85 	91 	91 
002711 	194 	85 	91 	91 
002712 	194 	85 	91 	91 
002713 	194 	85 	91 	91 
002714 	194 	85 	91 	91 
002715 	194 	85 	91 	91 
002716 	194 	85 	91 	91 
002717 	195 	96 	75 	75 
002718 	195 	96 	75 	75 
002719 	195 	96 	75 	75 
002720 	195 	96 	75 	75 
002721 	195 	96 	75 	75 
002722 	184 	85 	91 	91 
002723 	195 	96 	75 	75 
002724 	195 	96 	75 	75 
002725 	194 	85 	91 	91 
002726 	194 	85 	91 	91 
002727 	194 	85 	91 	91 
002728 	195 	96 	75 	75 
002729 	195 	87 	75 	76 
002730 	184 	85 	91 	91 
002731 	184 	85 	91 	91 
002732 	186 	87 	76 	76 
002733 	186 	87 	76 	76 
002734 	186 	87 	76 	76 
002735 	186 	87 	76 	76 
002736 	174 	75 	91 	91 
002737 	174 	75 	91 	91 
002738 	174 	75 	91 	91 
002739 	174 	75 	91 	91 
002740 	174 	75 	91 	91 
002741 	174 	75 	91 	91 
002742 	186 	87 	76 	76 
002743 	186 	87 	76 	76 
002744 	186 	87 	76 	76 
002745 	186 	87 	76 	76 
002746 	174 	75 	91 	91 
002747 	174 	75 	91 	91 
002748 	174 	75 	91 	91 
002749 	174 	75 	91 	91 
002750 	174 	65 	91 	91 
002751 	174 	65 	91 	91 
002752 	174 	65 	91 	91 
002753 	174 	65 	91 	91 
002754 	174 	65 	91 	91 
002755 	174 	75 	91 	91 
002756 	164 	75 	91 	91 
002757 	164 	75 	91 	91 
002758 	164 	75 	91 	91 
002759 	164 	75 	91 	91 
002760 	164 	75 	91 	91 
002761 	164 	75 	91 	91 
002762 	164 	75 	91 	91 
002763 	164 	75 	91 	91 
002764 	164 	75 	91 	91 
002765 	164 	75 	91 	91 
002766 	164 	75 	91 	91 
002767 	164 	75 	91 	91 
002768 	174 	75 	91 	91 
002769 	174 	75 	91 	91 
002770 	174 	75 	91 	91 
002771 	174 	75 	91 	91 
002772 	174 	75 	91 	91 
002773 	174 	75 	91 	91 
002774 	186 	87 	76 	76 
002775 	184 	75 	91 	91 
002776 	195 	87 	75 	76 
002777 	195 	87 	75 	76 
002778 	203 	87 	76 	76 
002779 	203 	87 	76 	76 
002780 	203 	87 	76 	76 
002781 	203 	87 	76 	76 
002782 	203 	87 	76 	76 
002783 	194 	75 	91 	91 
002784 	204 	75 	91 	91 
002785 	204 	75 	91 	91 
002786 	204 	75 	91 	91 
002787 	204 	75 	91 	91 
002788 	204 	75 	91 	91 
002789 	204 	75 	91 	91 
002790 	204 	75 	91 	91 
002791 	204 	75 	91 	91 
002792 	204 	75 	91 	91 
002793 	204 	75 	91 	91 
002794 	211 	87 	76 	76 
002795 	204 	85 	91 	91 
002796 	204 	85 	91 	91 
002797 	204 	85 	91 	91 
002798 	204 	85 	91 	91 
002799 	204 	85 	91 	91 
002800 	204 	85 	91 	91 
002801 	204 	85 	91 	91 
002802 	204 	85 	91 	91 
002803 	204 	85 	91 	91 
002804 	203 	96 	76 	75 
002805 	203 	96 	76 	75 
002806 	203 	96 	76 	75 
002807 	203 	96 	76 	75 
002808 	194 	85 	91 	91 
002809 	194 	85 	91 	91 
002810 	194 	85 	91 	91 
002811 	194 	85 	91 	91 
002812 	194 	85 	91 	91 
002813 	194 	85 	91 	91 
002814 	194 	85 	91 	91 
002815 	195 	96 	75 	75 
002816 	195 	87 	75 	76 
002817 	195 	87 	75 	76 
002818 	184 	75 	91 	91 
002819 	184 	75 	91 	91 
002820 	184 	85 	91 	91 
002821 	184 	85 	91 	91 
002822 	184 	85 	91 	91 
002823 	184 	75 	91 	91 
002824 	184 	85 	91 	91 
002825 	184 	85 	91 	91 
002826 	184 	75 	91 	91 
002827 	184 	75 	91 	91 
002828 	184 	75 	91 	91 
002829 	184 	75 	91 	91 
002830 	184 	75 	91 	91 
002831 	184 	85 	91 	91 
002832 	184 	85 	91 	91 
002833 	184 	85 	91 	91 
002834 	195 	96 	75 	75 
002835 	184 	85 	91 	91 
002836 	184 	75 	91 	91 
002837 	184 	85 	91 	91 
002838 	184 	75 	91 	91 
