Identity  : 	id10292
Reference : 	ya6VNZp-pXw
Offset    : 	-2
FV Conf   : 	13.296
ASD Conf  : 	4.726

FRAME 	X 	Y 	W 	H 
003524 	305 	90 	108 	109 
003525 	305 	90 	108 	109 
003526 	314 	95 	90 	91 
003527 	314 	95 	90 	91 
003528 	314 	95 	90 	91 
003529 	305 	90 	108 	109 
003530 	305 	90 	108 	109 
003531 	317 	78 	108 	109 
003532 	323 	85 	91 	91 
003533 	323 	85 	91 	91 
003534 	317 	78 	108 	109 
003535 	317 	78 	108 	109 
003536 	317 	78 	108 	109 
003537 	317 	78 	108 	109 
003538 	317 	78 	108 	109 
003539 	323 	85 	91 	91 
003540 	317 	78 	108 	109 
003541 	317 	78 	108 	109 
003542 	323 	85 	91 	91 
003543 	317 	78 	108 	109 
003544 	317 	78 	108 	109 
003545 	317 	78 	108 	109 
003546 	317 	78 	108 	109 
003547 	323 	85 	91 	91 
003548 	323 	85 	91 	91 
003549 	323 	85 	91 	91 
003550 	323 	85 	91 	91 
003551 	323 	85 	91 	91 
003552 	323 	85 	91 	91 
003553 	323 	85 	91 	91 
003554 	323 	85 	91 	91 
003555 	323 	85 	91 	91 
003556 	323 	85 	91 	91 
003557 	323 	85 	91 	91 
003558 	323 	85 	91 	91 
003559 	323 	85 	91 	91 
003560 	323 	85 	91 	91 
003561 	323 	85 	91 	91 
003562 	323 	85 	91 	91 
003563 	323 	85 	91 	91 
003564 	323 	85 	91 	91 
003565 	323 	85 	91 	91 
003566 	314 	85 	90 	91 
003567 	314 	85 	90 	91 
003568 	314 	85 	90 	91 
003569 	314 	85 	90 	91 
003570 	314 	85 	90 	91 
003571 	314 	85 	90 	91 
003572 	304 	85 	90 	91 
003573 	304 	95 	90 	91 
003574 	304 	95 	90 	91 
003575 	304 	95 	90 	91 
003576 	304 	95 	90 	91 
003577 	304 	95 	90 	91 
003578 	304 	95 	90 	91 
003579 	314 	95 	90 	91 
003580 	314 	95 	90 	91 
003581 	314 	95 	90 	91 
003582 	314 	95 	90 	91 
003583 	314 	95 	90 	91 
003584 	314 	95 	90 	91 
003585 	314 	95 	90 	91 
003586 	314 	95 	90 	91 
003587 	305 	90 	108 	109 
003588 	305 	90 	108 	109 
003589 	314 	95 	90 	91 
003590 	314 	95 	90 	91 
003591 	314 	95 	90 	91 
003592 	314 	95 	90 	91 
003593 	314 	95 	90 	91 
003594 	314 	95 	90 	91 
003595 	314 	95 	90 	91 
003596 	314 	95 	90 	91 
003597 	304 	95 	90 	91 
003598 	304 	95 	90 	91 
003599 	304 	95 	90 	91 
003600 	304 	95 	90 	91 
003601 	304 	95 	90 	91 
003602 	304 	95 	90 	91 
003603 	294 	95 	90 	91 
003604 	294 	95 	90 	91 
003605 	294 	95 	90 	91 
003606 	294 	95 	90 	91 
003607 	294 	95 	90 	91 
003608 	294 	95 	90 	91 
003609 	294 	95 	90 	91 
003610 	294 	95 	90 	91 
003611 	294 	95 	90 	91 
003612 	294 	95 	90 	91 
003613 	294 	85 	90 	91 
003614 	294 	85 	90 	91 
003615 	294 	85 	90 	91 
003616 	294 	85 	90 	91 
003617 	294 	85 	90 	91 
003618 	294 	85 	90 	91 
003619 	293 	78 	108 	109 
003620 	293 	78 	108 	109 
003621 	293 	78 	108 	109 
003622 	304 	85 	90 	91 
003623 	304 	85 	90 	91 
003624 	304 	85 	90 	91 
003625 	304 	85 	90 	91 
003626 	314 	85 	90 	91 
003627 	314 	95 	90 	91 
003628 	314 	95 	90 	91 
003629 	314 	95 	90 	91 
003630 	314 	95 	90 	91 
003631 	314 	95 	90 	91 
003632 	314 	95 	90 	91 
003633 	314 	95 	90 	91 
003634 	314 	95 	90 	91 
003635 	314 	95 	90 	91 
003636 	314 	95 	90 	91 
003637 	314 	95 	90 	91 
003638 	314 	95 	90 	91 
003639 	314 	95 	90 	91 
003640 	314 	95 	90 	91 
003641 	314 	95 	90 	91 
003642 	314 	95 	90 	91 
003643 	314 	95 	90 	91 
003644 	314 	95 	90 	91 
003645 	314 	95 	90 	91 
003646 	304 	95 	90 	91 
003647 	314 	95 	90 	91 
003648 	314 	95 	90 	91 
