Identity  : 	id10293
Reference : 	SJxWXqMu2ds
Offset    : 	-1
FV Conf   : 	20.098
ASD Conf  : 	6.029

FRAME 	X 	Y 	W 	H 
001037 	403 	85 	91 	91 
001038 	403 	85 	91 	91 
001039 	403 	85 	91 	91 
001040 	403 	85 	91 	91 
001041 	403 	85 	91 	91 
001042 	403 	85 	91 	91 
001043 	403 	85 	91 	91 
001044 	403 	85 	91 	91 
001045 	403 	85 	91 	91 
001046 	403 	85 	91 	91 
001047 	403 	85 	91 	91 
001048 	403 	85 	91 	91 
001049 	403 	85 	91 	91 
001050 	403 	85 	91 	91 
001051 	403 	85 	91 	91 
001052 	403 	85 	91 	91 
001053 	403 	85 	91 	91 
001054 	403 	85 	91 	91 
001055 	403 	85 	91 	91 
001056 	403 	85 	91 	91 
001057 	403 	85 	91 	91 
001058 	403 	85 	91 	91 
001059 	403 	85 	91 	91 
001060 	403 	85 	91 	91 
001061 	403 	85 	91 	91 
001062 	403 	85 	91 	91 
001063 	403 	85 	91 	91 
001064 	403 	85 	91 	91 
001065 	403 	85 	91 	91 
001066 	403 	85 	91 	91 
001067 	403 	85 	91 	91 
001068 	403 	85 	91 	91 
001069 	403 	85 	91 	91 
001070 	403 	85 	91 	91 
001071 	403 	85 	91 	91 
001072 	403 	85 	91 	91 
001073 	403 	85 	91 	91 
001074 	403 	85 	91 	91 
001075 	403 	85 	91 	91 
001076 	403 	85 	91 	91 
001077 	403 	85 	91 	91 
001078 	403 	75 	91 	91 
001079 	393 	75 	91 	91 
001080 	393 	65 	91 	91 
001081 	383 	65 	91 	91 
001082 	373 	55 	91 	91 
001083 	373 	55 	91 	91 
001084 	373 	55 	91 	91 
001085 	373 	45 	91 	91 
001086 	383 	45 	91 	91 
001087 	393 	55 	91 	91 
001088 	393 	55 	91 	91 
001089 	393 	55 	91 	91 
001090 	393 	55 	91 	91 
001091 	393 	55 	91 	91 
001092 	383 	55 	91 	91 
001093 	383 	55 	91 	91 
001094 	383 	55 	91 	91 
001095 	383 	55 	91 	91 
001096 	383 	55 	91 	91 
001097 	373 	55 	91 	91 
001098 	373 	55 	91 	91 
001099 	373 	55 	91 	91 
001100 	373 	55 	91 	91 
001101 	363 	55 	91 	91 
001102 	363 	55 	91 	91 
001103 	363 	55 	91 	91 
001104 	363 	65 	91 	91 
001105 	363 	65 	91 	91 
001106 	363 	65 	91 	91 
001107 	353 	65 	91 	91 
001108 	353 	65 	91 	91 
001109 	353 	65 	91 	91 
001110 	353 	65 	91 	91 
001111 	353 	65 	91 	91 
001112 	343 	65 	91 	91 
001113 	343 	65 	91 	91 
001114 	343 	65 	91 	91 
001115 	343 	65 	91 	91 
001116 	343 	65 	91 	91 
001117 	353 	65 	91 	91 
001118 	353 	65 	91 	91 
001119 	353 	65 	91 	91 
001120 	353 	65 	91 	91 
001121 	353 	65 	91 	91 
001122 	353 	65 	91 	91 
001123 	353 	65 	91 	91 
001124 	353 	65 	91 	91 
001125 	353 	65 	91 	91 
001126 	363 	65 	91 	91 
001127 	363 	55 	91 	91 
001128 	363 	55 	91 	91 
001129 	363 	55 	91 	91 
001130 	363 	55 	91 	91 
001131 	373 	55 	91 	91 
001132 	373 	55 	91 	91 
001133 	373 	55 	91 	91 
001134 	373 	55 	91 	91 
001135 	373 	55 	91 	91 
001136 	373 	55 	91 	91 
001137 	373 	55 	91 	91 
001138 	373 	55 	91 	91 
001139 	373 	55 	91 	91 
001140 	373 	55 	91 	91 
001141 	373 	55 	91 	91 
001142 	373 	55 	91 	91 
001143 	373 	55 	91 	91 
001144 	383 	55 	91 	91 
001145 	383 	55 	91 	91 
001146 	383 	55 	91 	91 
001147 	383 	55 	91 	91 
001148 	383 	55 	91 	91 
001149 	383 	55 	91 	91 
001150 	383 	55 	91 	91 
001151 	383 	65 	91 	91 
001152 	383 	65 	91 	91 
001153 	383 	65 	91 	91 
001154 	373 	55 	91 	91 
001155 	373 	55 	91 	91 
001156 	373 	55 	91 	91 
001157 	373 	55 	91 	91 
001158 	373 	55 	91 	91 
001159 	373 	55 	91 	91 
001160 	373 	55 	91 	91 
001161 	373 	55 	91 	91 
001162 	373 	55 	91 	91 
001163 	373 	55 	91 	91 
001164 	363 	55 	91 	91 
001165 	363 	55 	91 	91 
001166 	363 	55 	91 	91 
001167 	363 	55 	91 	91 
001168 	373 	65 	91 	91 
001169 	373 	65 	91 	91 
001170 	373 	65 	91 	91 
001171 	373 	65 	91 	91 
001172 	373 	65 	91 	91 
001173 	373 	65 	91 	91 
001174 	383 	65 	91 	91 
001175 	383 	65 	91 	91 
001176 	383 	65 	91 	91 
001177 	383 	55 	91 	91 
001178 	373 	55 	91 	91 
001179 	373 	55 	91 	91 
001180 	373 	55 	91 	91 
001181 	373 	65 	91 	91 
001182 	373 	65 	91 	91 
001183 	373 	55 	91 	91 
001184 	373 	55 	91 	91 
001185 	373 	55 	91 	91 
001186 	373 	55 	91 	91 
001187 	373 	55 	91 	91 
001188 	373 	55 	91 	91 
001189 	373 	65 	91 	91 
001190 	373 	65 	91 	91 
001191 	373 	65 	91 	91 
001192 	373 	65 	91 	91 
001193 	373 	65 	91 	91 
001194 	373 	65 	91 	91 
001195 	373 	65 	91 	91 
001196 	373 	65 	91 	91 
001197 	373 	65 	91 	91 
001198 	373 	65 	91 	91 
001199 	373 	65 	91 	91 
001200 	373 	65 	91 	91 
001201 	373 	65 	91 	91 
001202 	373 	65 	91 	91 
001203 	373 	65 	91 	91 
001204 	373 	65 	91 	91 
001205 	373 	65 	91 	91 
001206 	363 	65 	91 	91 
001207 	363 	65 	91 	91 
