Identity  : 	id10293
Reference : 	TwfthltapLg
Offset    : 	0
FV Conf   : 	18.476
ASD Conf  : 	7.856

FRAME 	X 	Y 	W 	H 
003137 	413 	75 	91 	91 
003138 	413 	75 	91 	91 
003139 	423 	75 	91 	91 
003140 	423 	75 	91 	91 
003141 	423 	75 	91 	91 
003142 	423 	75 	91 	91 
003143 	423 	75 	91 	91 
003144 	423 	75 	91 	91 
003145 	423 	75 	91 	91 
003146 	423 	65 	91 	91 
003147 	423 	65 	91 	91 
003148 	423 	65 	91 	91 
003149 	423 	65 	91 	91 
003150 	423 	65 	91 	91 
003151 	423 	65 	91 	91 
003152 	423 	65 	91 	91 
003153 	423 	65 	91 	91 
003154 	423 	65 	91 	91 
003155 	423 	65 	91 	91 
003156 	423 	65 	91 	91 
003157 	423 	65 	91 	91 
003158 	423 	65 	91 	91 
003159 	423 	65 	91 	91 
003160 	423 	65 	91 	91 
003161 	423 	65 	91 	91 
003162 	423 	65 	91 	91 
003163 	423 	65 	91 	91 
003164 	423 	65 	91 	91 
003165 	423 	65 	91 	91 
003166 	423 	65 	91 	91 
003167 	423 	65 	91 	91 
003168 	423 	65 	91 	91 
003169 	423 	65 	91 	91 
003170 	423 	65 	91 	91 
003171 	423 	65 	91 	91 
003172 	423 	65 	91 	91 
003173 	423 	65 	91 	91 
003174 	423 	65 	91 	91 
003175 	433 	65 	91 	91 
003176 	433 	65 	91 	91 
003177 	433 	65 	91 	91 
003178 	433 	65 	91 	91 
003179 	443 	65 	90 	91 
003180 	443 	65 	90 	91 
003181 	443 	65 	90 	91 
003182 	443 	65 	90 	91 
003183 	443 	65 	90 	91 
003184 	443 	65 	90 	91 
003185 	433 	65 	91 	91 
003186 	433 	65 	91 	91 
003187 	433 	65 	91 	91 
003188 	433 	65 	91 	91 
003189 	435 	71 	76 	75 
003190 	433 	65 	91 	91 
003191 	433 	65 	91 	91 
003192 	433 	65 	91 	91 
003193 	433 	65 	91 	91 
003194 	433 	65 	91 	91 
003195 	433 	65 	91 	91 
003196 	433 	65 	91 	91 
003197 	433 	65 	91 	91 
003198 	433 	65 	91 	91 
003199 	433 	75 	91 	91 
003200 	423 	65 	91 	91 
003201 	423 	65 	91 	91 
003202 	423 	65 	91 	91 
003203 	423 	65 	91 	91 
003204 	423 	65 	91 	91 
003205 	423 	65 	91 	91 
003206 	423 	65 	91 	91 
003207 	423 	65 	91 	91 
003208 	435 	79 	76 	76 
003209 	435 	79 	76 	76 
003210 	435 	79 	76 	76 
003211 	435 	79 	76 	76 
003212 	423 	75 	91 	91 
003213 	423 	75 	91 	91 
003214 	423 	75 	91 	91 
003215 	423 	75 	91 	91 
003216 	423 	75 	91 	91 
003217 	423 	75 	91 	91 
003218 	423 	75 	91 	91 
003219 	427 	79 	76 	76 
003220 	427 	79 	76 	76 
003221 	413 	65 	91 	91 
003222 	427 	71 	76 	75 
003223 	423 	65 	91 	91 
003224 	423 	65 	91 	91 
003225 	433 	65 	91 	91 
003226 	433 	65 	91 	91 
003227 	433 	65 	91 	91 
003228 	444 	79 	75 	76 
003229 	444 	79 	75 	76 
003230 	444 	79 	75 	76 
003231 	444 	79 	75 	76 
003232 	444 	79 	75 	76 
003233 	444 	79 	75 	76 
003234 	444 	79 	75 	76 
003235 	433 	75 	91 	91 
003236 	433 	75 	91 	91 
003237 	433 	75 	91 	91 
003238 	433 	75 	91 	91 
003239 	435 	87 	76 	76 
