Identity  : 	id10293
Reference : 	k1jiAINXHRI
Offset    : 	-1
FV Conf   : 	19.173
ASD Conf  : 	6.152

FRAME 	X 	Y 	W 	H 
006910 	197 	66 	109 	109 
006911 	204 	75 	91 	91 
006912 	197 	78 	109 	109 
006913 	197 	78 	109 	109 
006914 	197 	78 	109 	109 
006915 	197 	78 	109 	109 
006916 	204 	85 	91 	91 
006917 	197 	78 	109 	109 
006918 	197 	78 	109 	109 
006919 	197 	78 	109 	109 
006920 	197 	78 	109 	109 
006921 	204 	95 	91 	91 
006922 	197 	90 	109 	109 
006923 	197 	90 	109 	109 
006924 	197 	90 	109 	109 
006925 	197 	90 	109 	109 
006926 	197 	90 	109 	109 
006927 	197 	90 	109 	109 
006928 	197 	90 	109 	109 
006929 	197 	90 	109 	109 
006930 	197 	90 	109 	109 
006931 	197 	90 	109 	109 
006932 	204 	95 	91 	91 
006933 	204 	95 	91 	91 
006934 	204 	95 	91 	91 
006935 	204 	95 	91 	91 
006936 	204 	95 	91 	91 
006937 	204 	95 	91 	91 
006938 	204 	95 	91 	91 
006939 	204 	95 	91 	91 
006940 	204 	95 	91 	91 
006941 	204 	85 	91 	91 
006942 	214 	85 	91 	91 
006943 	214 	85 	91 	91 
006944 	214 	85 	91 	91 
006945 	214 	85 	91 	91 
006946 	214 	85 	91 	91 
006947 	224 	75 	91 	91 
006948 	224 	75 	91 	91 
006949 	224 	75 	91 	91 
006950 	224 	75 	91 	91 
006951 	221 	66 	109 	109 
006952 	221 	66 	109 	109 
006953 	221 	66 	109 	109 
006954 	221 	66 	109 	109 
006955 	221 	66 	109 	109 
006956 	221 	66 	109 	109 
006957 	221 	66 	109 	109 
006958 	221 	66 	109 	109 
006959 	221 	66 	109 	109 
006960 	221 	66 	109 	109 
006961 	221 	66 	109 	109 
006962 	221 	66 	109 	109 
006963 	221 	66 	109 	109 
006964 	221 	78 	109 	109 
006965 	221 	78 	109 	109 
006966 	221 	78 	109 	109 
006967 	221 	78 	109 	109 
006968 	221 	78 	109 	109 
006969 	221 	78 	109 	109 
006970 	234 	85 	90 	91 
006971 	234 	85 	90 	91 
006972 	221 	78 	109 	109 
006973 	221 	78 	109 	109 
006974 	221 	78 	109 	109 
006975 	221 	78 	109 	109 
006976 	221 	78 	109 	109 
006977 	221 	78 	109 	109 
006978 	221 	78 	109 	109 
006979 	221 	78 	109 	109 
006980 	224 	85 	91 	91 
006981 	224 	85 	91 	91 
006982 	224 	85 	91 	91 
006983 	224 	85 	91 	91 
006984 	224 	85 	91 	91 
006985 	224 	85 	91 	91 
006986 	224 	85 	91 	91 
006987 	224 	85 	91 	91 
006988 	224 	85 	91 	91 
006989 	224 	85 	91 	91 
006990 	224 	85 	91 	91 
006991 	224 	85 	91 	91 
006992 	209 	78 	109 	109 
006993 	209 	78 	109 	109 
006994 	209 	78 	109 	109 
006995 	209 	78 	109 	109 
006996 	209 	78 	109 	109 
006997 	224 	85 	91 	91 
006998 	224 	85 	91 	91 
006999 	224 	85 	91 	91 
007000 	224 	85 	91 	91 
007001 	224 	85 	91 	91 
007002 	209 	78 	109 	109 
007003 	209 	78 	109 	109 
007004 	209 	78 	109 	109 
007005 	209 	66 	109 	109 
007006 	209 	66 	109 	109 
007007 	209 	66 	109 	109 
007008 	209 	66 	109 	109 
007009 	209 	66 	109 	109 
007010 	209 	66 	109 	109 
007011 	209 	66 	109 	109 
007012 	209 	66 	109 	109 
007013 	209 	66 	109 	109 
007014 	209 	78 	109 	109 
007015 	209 	78 	109 	109 
007016 	209 	78 	109 	109 
007017 	209 	78 	109 	109 
007018 	209 	78 	109 	109 
007019 	209 	78 	109 	109 
007020 	209 	78 	109 	109 
007021 	224 	85 	91 	91 
007022 	224 	85 	91 	91 
007023 	224 	85 	91 	91 
007024 	224 	85 	91 	91 
007025 	224 	85 	91 	91 
007026 	224 	85 	91 	91 
007027 	224 	85 	91 	91 
007028 	224 	85 	91 	91 
007029 	224 	85 	91 	91 
007030 	224 	85 	91 	91 
007031 	209 	78 	109 	109 
007032 	209 	78 	109 	109 
007033 	209 	78 	109 	109 
007034 	209 	78 	109 	109 
007035 	209 	78 	109 	109 
007036 	209 	78 	109 	109 
007037 	209 	78 	109 	109 
007038 	209 	78 	109 	109 
007039 	209 	78 	109 	109 
007040 	209 	78 	109 	109 
007041 	209 	78 	109 	109 
007042 	224 	85 	91 	91 
007043 	209 	78 	109 	109 
007044 	209 	78 	109 	109 
007045 	209 	78 	109 	109 
007046 	224 	85 	91 	91 
007047 	224 	85 	91 	91 
007048 	224 	85 	91 	91 
007049 	224 	85 	91 	91 
007050 	224 	85 	91 	91 
007051 	224 	85 	91 	91 
007052 	224 	85 	91 	91 
007053 	224 	85 	91 	91 
007054 	224 	85 	91 	91 
007055 	224 	85 	91 	91 
007056 	224 	85 	91 	91 
007057 	224 	85 	91 	91 
007058 	224 	85 	91 	91 
007059 	224 	85 	91 	91 
007060 	224 	85 	91 	91 
007061 	224 	85 	91 	91 
007062 	224 	85 	91 	91 
