Identity  : 	id10293
Reference : 	uYi5KwUCqGU
Offset    : 	-1
FV Conf   : 	20.987
ASD Conf  : 	5.214

FRAME 	X 	Y 	W 	H 
013094 	317 	78 	108 	109 
013095 	329 	78 	108 	109 
013096 	317 	78 	108 	109 
013097 	317 	78 	108 	109 
013098 	317 	78 	108 	109 
013099 	317 	78 	108 	109 
013100 	317 	78 	108 	109 
013101 	317 	78 	108 	109 
013102 	317 	78 	108 	109 
013103 	317 	78 	108 	109 
013104 	317 	66 	108 	109 
013105 	317 	66 	108 	109 
013106 	317 	66 	108 	109 
013107 	317 	78 	108 	109 
013108 	317 	78 	108 	109 
013109 	317 	78 	108 	109 
013110 	317 	78 	108 	109 
013111 	317 	78 	108 	109 
013112 	329 	90 	108 	109 
013113 	329 	90 	108 	109 
013114 	341 	90 	108 	109 
013115 	341 	90 	108 	109 
013116 	341 	90 	108 	109 
013117 	341 	90 	108 	109 
013118 	341 	90 	108 	109 
013119 	329 	90 	108 	109 
013120 	329 	90 	108 	109 
013121 	329 	90 	108 	109 
013122 	329 	90 	108 	109 
013123 	329 	90 	108 	109 
013124 	329 	90 	108 	109 
013125 	329 	90 	108 	109 
013126 	329 	90 	108 	109 
013127 	329 	90 	108 	109 
013128 	329 	90 	108 	109 
013129 	329 	90 	108 	109 
013130 	329 	90 	108 	109 
013131 	329 	90 	108 	109 
013132 	329 	90 	108 	109 
013133 	329 	90 	108 	109 
013134 	329 	90 	108 	109 
013135 	329 	90 	108 	109 
013136 	329 	90 	108 	109 
013137 	329 	90 	108 	109 
013138 	329 	90 	108 	109 
013139 	329 	90 	108 	109 
013140 	329 	90 	108 	109 
013141 	329 	90 	108 	109 
013142 	329 	90 	108 	109 
013143 	329 	90 	108 	109 
013144 	329 	90 	108 	109 
013145 	329 	90 	108 	109 
013146 	329 	90 	108 	109 
013147 	317 	78 	108 	109 
013148 	317 	78 	108 	109 
013149 	317 	78 	108 	109 
013150 	317 	78 	108 	109 
013151 	317 	78 	108 	109 
013152 	329 	78 	108 	109 
013153 	329 	78 	108 	109 
013154 	329 	78 	108 	109 
013155 	317 	78 	108 	109 
013156 	317 	78 	108 	109 
013157 	317 	78 	108 	109 
013158 	317 	78 	108 	109 
013159 	317 	78 	108 	109 
013160 	317 	78 	108 	109 
013161 	317 	78 	108 	109 
013162 	317 	78 	108 	109 
013163 	317 	78 	108 	109 
013164 	305 	78 	108 	109 
013165 	305 	78 	108 	109 
013166 	305 	78 	108 	109 
013167 	305 	78 	108 	109 
013168 	305 	78 	108 	109 
013169 	305 	66 	108 	109 
013170 	305 	66 	108 	109 
013171 	305 	66 	108 	109 
013172 	293 	66 	108 	109 
013173 	293 	66 	108 	109 
013174 	293 	66 	108 	109 
013175 	293 	66 	108 	109 
013176 	293 	66 	108 	109 
013177 	293 	66 	108 	109 
013178 	293 	66 	108 	109 
013179 	281 	66 	108 	109 
013180 	281 	66 	108 	109 
013181 	281 	66 	108 	109 
013182 	281 	66 	108 	109 
013183 	281 	66 	108 	109 
013184 	281 	66 	108 	109 
013185 	281 	66 	108 	109 
013186 	281 	66 	108 	109 
013187 	281 	66 	108 	109 
013188 	281 	66 	108 	109 
013189 	281 	66 	108 	109 
013190 	281 	66 	108 	109 
013191 	281 	66 	108 	109 
013192 	281 	66 	108 	109 
013193 	281 	66 	108 	109 
013194 	281 	66 	108 	109 
013195 	281 	66 	108 	109 
013196 	281 	66 	108 	109 
013197 	269 	66 	108 	109 
013198 	269 	66 	108 	109 
013199 	269 	66 	108 	109 
013200 	269 	66 	108 	109 
013201 	269 	66 	108 	109 
013202 	251 	66 	130 	130 
013203 	251 	66 	130 	130 
013204 	257 	78 	109 	109 
013205 	257 	78 	109 	109 
013206 	257 	78 	109 	109 
013207 	251 	66 	130 	130 
013208 	251 	66 	130 	130 
013209 	269 	66 	108 	109 
013210 	269 	66 	108 	109 
013211 	269 	66 	108 	109 
013212 	293 	78 	108 	109 
013213 	293 	78 	108 	109 
013214 	305 	78 	108 	109 
013215 	305 	78 	108 	109 
013216 	305 	78 	108 	109 
013217 	317 	78 	108 	109 
013218 	317 	78 	108 	109 
