Identity  : 	id10294
Reference : 	OiRXHy35Euk
Offset    : 	-2
FV Conf   : 	10.944
ASD Conf  : 	6.596

FRAME 	X 	Y 	W 	H 
001892 	208 	80 	130 	130 
001893 	208 	80 	130 	130 
001894 	208 	80 	130 	130 
001895 	208 	80 	130 	130 
001896 	208 	80 	130 	130 
001897 	208 	80 	130 	130 
001898 	208 	80 	130 	130 
001899 	208 	80 	130 	130 
001900 	208 	80 	130 	130 
001901 	208 	80 	130 	130 
001902 	208 	80 	130 	130 
001903 	208 	80 	130 	130 
001904 	208 	80 	130 	130 
001905 	208 	80 	130 	130 
001906 	208 	80 	130 	130 
001907 	208 	80 	130 	130 
001908 	208 	80 	130 	130 
001909 	208 	80 	130 	130 
001910 	208 	80 	130 	130 
001911 	208 	80 	130 	130 
001912 	208 	80 	130 	130 
001913 	208 	80 	130 	130 
001914 	208 	80 	130 	130 
001915 	208 	80 	130 	130 
001916 	208 	80 	130 	130 
001917 	208 	80 	130 	130 
001918 	208 	80 	130 	130 
001919 	208 	80 	130 	130 
001920 	208 	80 	130 	130 
001921 	208 	80 	130 	130 
001922 	208 	80 	130 	130 
001923 	208 	80 	130 	130 
001924 	208 	80 	130 	130 
001925 	208 	80 	130 	130 
001926 	208 	80 	130 	130 
001927 	208 	80 	130 	130 
001928 	208 	80 	130 	130 
001929 	208 	80 	130 	130 
001930 	208 	80 	130 	130 
001931 	208 	80 	130 	130 
001932 	208 	80 	130 	130 
001933 	208 	80 	130 	130 
001934 	208 	80 	130 	130 
001935 	208 	80 	130 	130 
001936 	208 	80 	130 	130 
001937 	208 	80 	130 	130 
001938 	208 	80 	130 	130 
001939 	208 	80 	130 	130 
001940 	208 	80 	130 	130 
001941 	208 	80 	130 	130 
001942 	181 	79 	156 	156 
001943 	208 	94 	130 	130 
001944 	208 	94 	130 	130 
001945 	181 	79 	156 	156 
001946 	181 	79 	156 	156 
001947 	181 	79 	156 	156 
001948 	181 	79 	156 	156 
001949 	181 	79 	156 	156 
001950 	181 	79 	156 	156 
001951 	181 	79 	156 	156 
001952 	208 	80 	130 	130 
001953 	181 	79 	156 	156 
001954 	181 	79 	156 	156 
001955 	181 	79 	156 	156 
001956 	181 	79 	156 	156 
001957 	181 	79 	156 	156 
001958 	181 	79 	156 	156 
001959 	181 	79 	156 	156 
001960 	181 	79 	156 	156 
001961 	181 	79 	156 	156 
001962 	181 	79 	156 	156 
001963 	208 	80 	130 	130 
001964 	208 	80 	130 	130 
001965 	208 	80 	130 	130 
001966 	208 	80 	130 	130 
001967 	181 	79 	156 	156 
001968 	208 	80 	130 	130 
001969 	208 	80 	130 	130 
001970 	208 	80 	130 	130 
001971 	208 	80 	130 	130 
001972 	194 	80 	130 	130 
001973 	208 	80 	130 	130 
001974 	208 	80 	130 	130 
001975 	208 	80 	130 	130 
001976 	194 	80 	130 	130 
001977 	181 	79 	156 	156 
001978 	181 	79 	156 	156 
001979 	181 	79 	156 	156 
001980 	181 	79 	156 	156 
001981 	181 	79 	156 	156 
001982 	208 	80 	130 	130 
001983 	181 	79 	156 	156 
001984 	208 	80 	130 	130 
001985 	208 	80 	130 	130 
001986 	208 	80 	130 	130 
001987 	208 	80 	130 	130 
001988 	208 	80 	130 	130 
001989 	208 	80 	130 	130 
001990 	199 	62 	155 	155 
001991 	208 	80 	130 	130 
001992 	199 	62 	155 	155 
001993 	208 	80 	130 	130 
001994 	199 	79 	155 	156 
001995 	208 	94 	130 	130 
001996 	208 	94 	130 	130 
001997 	208 	94 	130 	130 
001998 	208 	94 	130 	130 
001999 	181 	79 	156 	156 
002000 	194 	80 	130 	130 
002001 	194 	80 	130 	130 
002002 	181 	79 	156 	156 
002003 	194 	80 	130 	130 
