Identity  : 	id10294
Reference : 	nkIdfM2BFS0
Offset    : 	-1
FV Conf   : 	12.403
ASD Conf  : 	5.164

FRAME 	X 	Y 	W 	H 
000549 	208 	94 	130 	130 
000550 	208 	94 	130 	130 
000551 	208 	94 	130 	130 
000552 	208 	94 	130 	130 
000553 	208 	94 	130 	130 
000554 	208 	94 	130 	130 
000555 	208 	94 	130 	130 
000556 	208 	94 	130 	130 
000557 	208 	94 	130 	130 
000558 	208 	94 	130 	130 
000559 	208 	94 	130 	130 
000560 	208 	94 	130 	130 
000561 	208 	94 	130 	130 
000562 	208 	94 	130 	130 
000563 	208 	94 	130 	130 
000564 	208 	94 	130 	130 
000565 	208 	94 	130 	130 
000566 	208 	94 	130 	130 
000567 	208 	94 	130 	130 
000568 	208 	94 	130 	130 
000569 	208 	94 	130 	130 
000570 	208 	94 	130 	130 
000571 	208 	94 	130 	130 
000572 	208 	94 	130 	130 
000573 	208 	94 	130 	130 
000574 	208 	94 	130 	130 
000575 	208 	94 	130 	130 
000576 	208 	94 	130 	130 
000577 	208 	94 	130 	130 
000578 	208 	94 	130 	130 
000579 	208 	94 	130 	130 
000580 	208 	94 	130 	130 
000581 	208 	94 	130 	130 
000582 	208 	94 	130 	130 
000583 	208 	94 	130 	130 
000584 	208 	94 	130 	130 
000585 	208 	94 	130 	130 
000586 	208 	94 	130 	130 
000587 	208 	94 	130 	130 
000588 	208 	94 	130 	130 
000589 	208 	94 	130 	130 
000590 	208 	94 	130 	130 
000591 	208 	94 	130 	130 
000592 	208 	94 	130 	130 
000593 	208 	94 	130 	130 
000594 	208 	94 	130 	130 
000595 	208 	94 	130 	130 
000596 	208 	94 	130 	130 
000597 	208 	94 	130 	130 
000598 	208 	94 	130 	130 
000599 	208 	94 	130 	130 
000600 	208 	94 	130 	130 
000601 	208 	94 	130 	130 
000602 	208 	94 	130 	130 
000603 	199 	79 	155 	156 
000604 	208 	94 	130 	130 
000605 	199 	79 	155 	156 
000606 	199 	79 	155 	156 
000607 	199 	79 	155 	156 
000608 	208 	94 	130 	130 
000609 	208 	94 	130 	130 
000610 	208 	94 	130 	130 
000611 	208 	94 	130 	130 
000612 	208 	94 	130 	130 
000613 	208 	94 	130 	130 
000614 	208 	94 	130 	130 
000615 	208 	94 	130 	130 
000616 	208 	94 	130 	130 
000617 	208 	94 	130 	130 
000618 	208 	94 	130 	130 
000619 	208 	94 	130 	130 
000620 	208 	94 	130 	130 
000621 	208 	94 	130 	130 
000622 	208 	94 	130 	130 
000623 	208 	94 	130 	130 
000624 	208 	94 	130 	130 
000625 	208 	94 	130 	130 
000626 	208 	94 	130 	130 
000627 	208 	94 	130 	130 
000628 	208 	94 	130 	130 
000629 	208 	94 	130 	130 
000630 	208 	94 	130 	130 
000631 	208 	94 	130 	130 
000632 	208 	94 	130 	130 
000633 	208 	94 	130 	130 
000634 	208 	94 	130 	130 
000635 	208 	94 	130 	130 
000636 	208 	94 	130 	130 
000637 	208 	94 	130 	130 
000638 	208 	94 	130 	130 
000639 	208 	94 	130 	130 
000640 	208 	94 	130 	130 
000641 	208 	94 	130 	130 
000642 	208 	94 	130 	130 
000643 	208 	94 	130 	130 
000644 	208 	94 	130 	130 
000645 	208 	94 	130 	130 
000646 	208 	94 	130 	130 
000647 	208 	94 	130 	130 
000648 	199 	79 	155 	156 
000649 	199 	79 	155 	156 
000650 	199 	79 	155 	156 
000651 	199 	79 	155 	156 
000652 	199 	79 	155 	156 
000653 	199 	79 	155 	156 
000654 	199 	79 	155 	156 
000655 	199 	79 	155 	156 
000656 	199 	79 	155 	156 
000657 	199 	79 	155 	156 
000658 	199 	79 	155 	156 
000659 	199 	79 	155 	156 
000660 	199 	79 	155 	156 
000661 	199 	79 	155 	156 
000662 	199 	79 	155 	156 
000663 	199 	79 	155 	156 
000664 	199 	79 	155 	156 
000665 	199 	79 	155 	156 
000666 	199 	79 	155 	156 
000667 	199 	79 	155 	156 
000668 	199 	79 	155 	156 
000669 	199 	79 	155 	156 
000670 	199 	79 	155 	156 
000671 	208 	94 	130 	130 
