Identity  : 	id10296
Reference : 	8X8huGiBRAc
Offset    : 	1
FV Conf   : 	16.992
ASD Conf  : 	7.633

FRAME 	X 	Y 	W 	H 
004272 	245 	114 	109 	109 
004273 	245 	114 	109 	109 
004274 	245 	102 	109 	109 
004275 	245 	114 	109 	109 
004276 	245 	114 	109 	109 
004277 	245 	114 	109 	109 
004278 	245 	114 	109 	109 
004279 	245 	114 	109 	109 
004280 	245 	114 	109 	109 
004281 	257 	102 	109 	109 
004282 	257 	102 	109 	109 
004283 	251 	94 	130 	130 
004284 	257 	90 	109 	109 
004285 	251 	80 	130 	130 
004286 	269 	90 	108 	109 
004287 	269 	90 	108 	109 
004288 	269 	78 	108 	109 
004289 	269 	90 	108 	109 
004290 	266 	80 	130 	130 
004291 	266 	80 	130 	130 
004292 	281 	90 	108 	109 
004293 	281 	90 	108 	109 
004294 	266 	80 	130 	130 
004295 	281 	90 	108 	109 
004296 	281 	90 	108 	109 
004297 	281 	90 	108 	109 
004298 	281 	90 	108 	109 
004299 	293 	90 	108 	109 
004300 	293 	90 	108 	109 
004301 	293 	90 	108 	109 
004302 	293 	78 	108 	109 
004303 	293 	78 	108 	109 
004304 	305 	78 	108 	109 
004305 	305 	78 	108 	109 
004306 	305 	78 	108 	109 
004307 	305 	78 	108 	109 
004308 	305 	78 	108 	109 
004309 	305 	78 	108 	109 
004310 	305 	78 	108 	109 
004311 	305 	78 	108 	109 
004312 	305 	90 	108 	109 
004313 	305 	90 	108 	109 
004314 	305 	90 	108 	109 
004315 	305 	90 	108 	109 
004316 	305 	90 	108 	109 
004317 	305 	90 	108 	109 
004318 	305 	90 	108 	109 
004319 	305 	90 	108 	109 
004320 	305 	90 	108 	109 
004321 	305 	90 	108 	109 
004322 	305 	90 	108 	109 
004323 	305 	90 	108 	109 
004324 	305 	90 	108 	109 
004325 	305 	90 	108 	109 
004326 	293 	90 	108 	109 
004327 	293 	90 	108 	109 
004328 	293 	90 	108 	109 
004329 	293 	90 	108 	109 
004330 	293 	90 	108 	109 
004331 	293 	90 	108 	109 
004332 	293 	90 	108 	109 
004333 	293 	90 	108 	109 
004334 	293 	90 	108 	109 
004335 	293 	90 	108 	109 
004336 	293 	90 	108 	109 
004337 	293 	90 	108 	109 
004338 	293 	90 	108 	109 
004339 	293 	90 	108 	109 
004340 	293 	90 	108 	109 
004341 	293 	90 	108 	109 
004342 	293 	90 	108 	109 
004343 	293 	90 	108 	109 
004344 	293 	90 	108 	109 
004345 	293 	90 	108 	109 
004346 	293 	102 	108 	109 
004347 	293 	102 	108 	109 
004348 	293 	102 	108 	109 
004349 	293 	102 	108 	109 
004350 	293 	102 	108 	109 
004351 	293 	102 	108 	109 
004352 	293 	102 	108 	109 
004353 	293 	102 	108 	109 
004354 	293 	102 	108 	109 
004355 	293 	102 	108 	109 
004356 	281 	102 	108 	109 
004357 	281 	90 	108 	109 
004358 	281 	90 	108 	109 
004359 	281 	90 	108 	109 
004360 	281 	90 	108 	109 
004361 	281 	90 	108 	109 
004362 	281 	90 	108 	109 
004363 	281 	90 	108 	109 
004364 	281 	90 	108 	109 
004365 	281 	90 	108 	109 
004366 	281 	90 	108 	109 
004367 	281 	90 	108 	109 
004368 	281 	90 	108 	109 
004369 	281 	90 	108 	109 
004370 	281 	90 	108 	109 
004371 	281 	90 	108 	109 
004372 	281 	90 	108 	109 
004373 	281 	90 	108 	109 
004374 	281 	90 	108 	109 
004375 	281 	90 	108 	109 
004376 	281 	102 	108 	109 
004377 	281 	102 	108 	109 
004378 	269 	102 	108 	109 
004379 	284 	115 	90 	91 
004380 	269 	114 	108 	109 
004381 	269 	114 	108 	109 
004382 	269 	114 	108 	109 
004383 	269 	102 	108 	109 
004384 	269 	102 	108 	109 
004385 	269 	102 	108 	109 
004386 	269 	102 	108 	109 
004387 	269 	102 	108 	109 
004388 	269 	102 	108 	109 
004389 	269 	90 	108 	109 
004390 	269 	90 	108 	109 
004391 	269 	102 	108 	109 
004392 	269 	102 	108 	109 
004393 	269 	102 	108 	109 
004394 	269 	102 	108 	109 
004395 	269 	102 	108 	109 
004396 	269 	102 	108 	109 
004397 	269 	102 	108 	109 
004398 	269 	102 	108 	109 
004399 	269 	102 	108 	109 
004400 	269 	102 	108 	109 
004401 	269 	102 	108 	109 
004402 	269 	102 	108 	109 
004403 	269 	102 	108 	109 
004404 	269 	102 	108 	109 
004405 	269 	102 	108 	109 
004406 	269 	102 	108 	109 
004407 	269 	102 	108 	109 
004408 	269 	102 	108 	109 
004409 	269 	90 	108 	109 
004410 	269 	90 	108 	109 
004411 	269 	90 	108 	109 
004412 	257 	90 	109 	109 
004413 	257 	90 	109 	109 
