Identity  : 	id10296
Reference : 	iLMjiAp4rTo
Offset    : 	2
FV Conf   : 	17.472
ASD Conf  : 	7.020

FRAME 	X 	Y 	W 	H 
000655 	305 	78 	108 	109 
000656 	305 	78 	108 	109 
000657 	314 	85 	90 	91 
000658 	293 	78 	108 	109 
000659 	314 	85 	90 	91 
000660 	314 	85 	90 	91 
000661 	314 	85 	90 	91 
000662 	314 	85 	90 	91 
000663 	305 	78 	108 	109 
000664 	305 	78 	108 	109 
000665 	305 	78 	108 	109 
000666 	305 	78 	108 	109 
000667 	305 	78 	108 	109 
000668 	305 	78 	108 	109 
000669 	305 	78 	108 	109 
000670 	305 	78 	108 	109 
000671 	305 	78 	108 	109 
000672 	305 	78 	108 	109 
000673 	305 	78 	108 	109 
000674 	304 	85 	90 	91 
000675 	304 	85 	90 	91 
000676 	304 	85 	90 	91 
000677 	304 	85 	90 	91 
000678 	304 	85 	90 	91 
000679 	293 	78 	108 	109 
000680 	294 	85 	90 	91 
000681 	281 	78 	108 	109 
000682 	284 	85 	90 	91 
000683 	284 	85 	90 	91 
000684 	284 	85 	90 	91 
000685 	281 	78 	108 	109 
000686 	281 	78 	108 	109 
000687 	281 	78 	108 	109 
000688 	284 	85 	90 	91 
000689 	269 	78 	108 	109 
000690 	269 	78 	108 	109 
000691 	269 	78 	108 	109 
000692 	269 	78 	108 	109 
000693 	269 	78 	108 	109 
000694 	284 	85 	90 	91 
000695 	281 	78 	108 	109 
000696 	281 	78 	108 	109 
000697 	281 	78 	108 	109 
000698 	284 	85 	90 	91 
000699 	284 	85 	90 	91 
000700 	284 	85 	90 	91 
000701 	284 	85 	90 	91 
000702 	284 	85 	90 	91 
000703 	284 	85 	90 	91 
000704 	269 	78 	108 	109 
000705 	269 	78 	108 	109 
000706 	269 	78 	108 	109 
000707 	269 	78 	108 	109 
000708 	269 	78 	108 	109 
000709 	284 	85 	90 	91 
000710 	269 	78 	108 	109 
000711 	269 	78 	108 	109 
000712 	284 	85 	90 	91 
000713 	284 	85 	90 	91 
000714 	281 	78 	108 	109 
000715 	281 	78 	108 	109 
000716 	294 	85 	90 	91 
000717 	293 	78 	108 	109 
000718 	293 	78 	108 	109 
000719 	293 	78 	108 	109 
000720 	304 	85 	90 	91 
000721 	293 	78 	108 	109 
000722 	293 	78 	108 	109 
000723 	293 	78 	108 	109 
000724 	305 	78 	108 	109 
000725 	305 	78 	108 	109 
000726 	304 	85 	90 	91 
000727 	304 	85 	90 	91 
000728 	304 	85 	90 	91 
000729 	305 	78 	108 	109 
000730 	305 	78 	108 	109 
000731 	305 	78 	108 	109 
000732 	314 	85 	90 	91 
000733 	305 	78 	108 	109 
000734 	314 	85 	90 	91 
000735 	314 	85 	90 	91 
000736 	314 	85 	90 	91 
000737 	314 	85 	90 	91 
000738 	314 	85 	90 	91 
000739 	314 	85 	90 	91 
000740 	314 	85 	90 	91 
000741 	314 	85 	90 	91 
000742 	314 	85 	90 	91 
000743 	314 	85 	90 	91 
000744 	314 	85 	90 	91 
000745 	314 	85 	90 	91 
000746 	305 	78 	108 	109 
000747 	293 	78 	108 	109 
000748 	293 	78 	108 	109 
000749 	293 	78 	108 	109 
000750 	293 	78 	108 	109 
000751 	294 	85 	90 	91 
000752 	294 	85 	90 	91 
000753 	294 	85 	90 	91 
000754 	294 	85 	90 	91 
000755 	294 	85 	90 	91 
000756 	294 	85 	90 	91 
000757 	294 	85 	90 	91 
000758 	294 	85 	90 	91 
000759 	294 	85 	90 	91 
000760 	281 	78 	108 	109 
000761 	281 	78 	108 	109 
000762 	284 	85 	90 	91 
000763 	284 	85 	90 	91 
000764 	284 	85 	90 	91 
000765 	281 	78 	108 	109 
000766 	281 	78 	108 	109 
000767 	281 	78 	108 	109 
000768 	294 	85 	90 	91 
000769 	293 	78 	108 	109 
000770 	293 	78 	108 	109 
000771 	293 	78 	108 	109 
000772 	293 	78 	108 	109 
000773 	294 	85 	90 	91 
000774 	281 	78 	108 	109 
000775 	269 	78 	108 	109 
000776 	269 	78 	108 	109 
000777 	274 	85 	90 	91 
000778 	274 	85 	90 	91 
000779 	274 	85 	90 	91 
000780 	269 	78 	108 	109 
000781 	284 	85 	90 	91 
000782 	284 	85 	90 	91 
000783 	281 	78 	108 	109 
000784 	281 	78 	108 	109 
000785 	294 	85 	90 	91 
000786 	294 	85 	90 	91 
000787 	294 	85 	90 	91 
000788 	281 	78 	108 	109 
000789 	281 	78 	108 	109 
