Identity  : 	id10300
Reference : 	2cAiIYHfon0
Offset    : 	0
FV Conf   : 	13.573
ASD Conf  : 	6.225

FRAME 	X 	Y 	W 	H 
002945 	161 	90 	109 	109 
002946 	164 	95 	91 	91 
002947 	164 	95 	91 	91 
002948 	164 	95 	91 	91 
002949 	164 	95 	91 	91 
002950 	164 	95 	91 	91 
002951 	161 	90 	109 	109 
002952 	161 	90 	109 	109 
002953 	161 	90 	109 	109 
002954 	161 	90 	109 	109 
002955 	161 	90 	109 	109 
002956 	161 	90 	109 	109 
002957 	161 	90 	109 	109 
002958 	161 	90 	109 	109 
002959 	161 	90 	109 	109 
002960 	164 	105 	91 	91 
002961 	164 	105 	91 	91 
002962 	174 	105 	91 	91 
002963 	161 	102 	109 	109 
002964 	161 	90 	109 	109 
002965 	161 	90 	109 	109 
002966 	161 	90 	109 	109 
002967 	164 	105 	91 	91 
002968 	164 	105 	91 	91 
002969 	164 	105 	91 	91 
002970 	164 	105 	91 	91 
002971 	164 	105 	91 	91 
002972 	164 	105 	91 	91 
002973 	164 	105 	91 	91 
002974 	164 	105 	91 	91 
002975 	164 	105 	91 	91 
002976 	150 	102 	108 	109 
002977 	150 	102 	108 	109 
002978 	150 	102 	108 	109 
002979 	164 	105 	91 	91 
002980 	164 	105 	91 	91 
002981 	164 	105 	91 	91 
002982 	164 	105 	91 	91 
002983 	164 	105 	91 	91 
002984 	164 	105 	91 	91 
002985 	164 	105 	91 	91 
002986 	161 	102 	109 	109 
002987 	164 	105 	91 	91 
002988 	164 	105 	91 	91 
002989 	164 	105 	91 	91 
002990 	161 	102 	109 	109 
002991 	174 	105 	91 	91 
002992 	161 	90 	109 	109 
002993 	161 	90 	109 	109 
002994 	161 	90 	109 	109 
002995 	161 	90 	109 	109 
002996 	161 	90 	109 	109 
002997 	161 	90 	109 	109 
002998 	161 	90 	109 	109 
002999 	161 	90 	109 	109 
003000 	161 	90 	109 	109 
003001 	161 	90 	109 	109 
003002 	161 	90 	109 	109 
003003 	161 	90 	109 	109 
003004 	161 	90 	109 	109 
003005 	161 	90 	109 	109 
003006 	161 	90 	109 	109 
003007 	164 	95 	91 	91 
003008 	164 	95 	91 	91 
003009 	164 	85 	91 	91 
003010 	164 	85 	91 	91 
003011 	164 	85 	91 	91 
003012 	164 	85 	91 	91 
003013 	150 	78 	108 	109 
003014 	150 	78 	108 	109 
003015 	150 	78 	108 	109 
003016 	150 	78 	108 	109 
003017 	150 	78 	108 	109 
003018 	150 	78 	108 	109 
003019 	150 	78 	108 	109 
003020 	154 	75 	91 	91 
003021 	154 	75 	91 	91 
003022 	154 	75 	91 	91 
003023 	154 	85 	91 	91 
003024 	154 	85 	91 	91 
003025 	154 	85 	91 	91 
003026 	150 	78 	108 	109 
003027 	154 	85 	91 	91 
003028 	154 	85 	91 	91 
003029 	150 	78 	108 	109 
003030 	150 	78 	108 	109 
003031 	150 	78 	108 	109 
003032 	150 	78 	108 	109 
003033 	150 	78 	108 	109 
003034 	150 	78 	108 	109 
003035 	150 	78 	108 	109 
003036 	150 	78 	108 	109 
003037 	150 	78 	108 	109 
003038 	150 	90 	108 	109 
003039 	150 	90 	108 	109 
003040 	150 	90 	108 	109 
003041 	150 	90 	108 	109 
003042 	150 	90 	108 	109 
003043 	150 	90 	108 	109 
003044 	164 	105 	91 	91 
003045 	164 	105 	91 	91 
003046 	164 	105 	91 	91 
003047 	164 	105 	91 	91 
003048 	161 	102 	109 	109 
003049 	161 	102 	109 	109 
003050 	161 	102 	109 	109 
003051 	161 	102 	109 	109 
003052 	161 	102 	109 	109 
003053 	161 	102 	109 	109 
003054 	161 	102 	109 	109 
003055 	161 	102 	109 	109 
003056 	161 	102 	109 	109 
003057 	161 	102 	109 	109 
003058 	161 	102 	109 	109 
003059 	161 	102 	109 	109 
003060 	161 	102 	109 	109 
003061 	161 	102 	109 	109 
003062 	161 	102 	109 	109 
003063 	164 	105 	91 	91 
003064 	164 	105 	91 	91 
003065 	164 	105 	91 	91 
003066 	164 	105 	91 	91 
003067 	150 	102 	108 	109 
003068 	150 	102 	108 	109 
003069 	150 	102 	108 	109 
003070 	150 	102 	108 	109 
003071 	150 	102 	108 	109 
003072 	150 	102 	108 	109 
003073 	150 	102 	108 	109 
003074 	150 	102 	108 	109 
003075 	150 	102 	108 	109 
003076 	150 	102 	108 	109 
003077 	150 	102 	108 	109 
003078 	150 	102 	108 	109 
003079 	150 	102 	108 	109 
003080 	150 	102 	108 	109 
003081 	150 	102 	108 	109 
003082 	150 	102 	108 	109 
003083 	150 	102 	108 	109 
003084 	150 	102 	108 	109 
003085 	150 	102 	108 	109 
003086 	150 	102 	108 	109 
003087 	150 	102 	108 	109 
003088 	150 	102 	108 	109 
003089 	150 	102 	108 	109 
003090 	150 	102 	108 	109 
003091 	150 	102 	108 	109 
003092 	150 	102 	108 	109 
003093 	150 	102 	108 	109 
003094 	150 	102 	108 	109 
003095 	150 	102 	108 	109 
003096 	164 	105 	91 	91 
003097 	161 	90 	109 	109 
003098 	161 	90 	109 	109 
003099 	161 	90 	109 	109 
003100 	161 	90 	109 	109 
003101 	161 	90 	109 	109 
003102 	174 	95 	91 	91 
003103 	174 	95 	91 	91 
003104 	174 	95 	91 	91 
003105 	174 	95 	91 	91 
003106 	174 	95 	91 	91 
003107 	174 	95 	91 	91 
003108 	174 	95 	91 	91 
003109 	173 	90 	109 	109 
003110 	173 	90 	109 	109 
003111 	173 	90 	109 	109 
003112 	174 	95 	91 	91 
003113 	173 	90 	109 	109 
003114 	174 	105 	91 	91 
003115 	173 	90 	109 	109 
003116 	174 	105 	91 	91 
003117 	174 	105 	91 	91 
003118 	173 	90 	109 	109 
003119 	173 	90 	109 	109 
003120 	184 	105 	91 	91 
003121 	184 	105 	91 	91 
003122 	184 	105 	91 	91 
003123 	184 	105 	91 	91 
003124 	184 	105 	91 	91 
003125 	184 	105 	91 	91 
003126 	184 	105 	91 	91 
003127 	184 	105 	91 	91 
003128 	184 	105 	91 	91 
003129 	184 	105 	91 	91 
003130 	184 	105 	91 	91 
003131 	184 	105 	91 	91 
003132 	184 	105 	91 	91 
003133 	184 	105 	91 	91 
003134 	184 	105 	91 	91 
003135 	184 	105 	91 	91 
003136 	184 	105 	91 	91 
003137 	184 	105 	91 	91 
003138 	184 	105 	91 	91 
003139 	174 	105 	91 	91 
003140 	174 	105 	91 	91 
003141 	161 	102 	109 	109 
003142 	161 	102 	109 	109 
003143 	161 	102 	109 	109 
003144 	161 	102 	109 	109 
