Identity  : 	id10300
Reference : 	VHWZdctr_4s
Offset    : 	-4
FV Conf   : 	14.762
ASD Conf  : 	7.953

FRAME 	X 	Y 	W 	H 
004895 	184 	85 	91 	91 
004896 	195 	96 	75 	75 
004897 	195 	96 	75 	75 
004898 	195 	96 	75 	75 
004899 	195 	96 	75 	75 
004900 	195 	96 	75 	75 
004901 	195 	96 	75 	75 
004902 	195 	96 	75 	75 
004903 	195 	96 	75 	75 
004904 	195 	96 	75 	75 
004905 	195 	96 	75 	75 
004906 	195 	96 	75 	75 
004907 	195 	96 	75 	75 
004908 	195 	96 	75 	75 
004909 	195 	96 	75 	75 
004910 	195 	96 	75 	75 
004911 	195 	96 	75 	75 
004912 	195 	96 	75 	75 
004913 	195 	96 	75 	75 
004914 	195 	96 	75 	75 
004915 	195 	96 	75 	75 
004916 	184 	85 	91 	91 
004917 	184 	85 	91 	91 
004918 	195 	96 	75 	75 
004919 	195 	96 	75 	75 
004920 	195 	96 	75 	75 
004921 	184 	85 	91 	91 
004922 	184 	85 	91 	91 
004923 	186 	96 	76 	75 
004924 	184 	85 	91 	91 
004925 	186 	96 	76 	75 
004926 	184 	85 	91 	91 
004927 	186 	96 	76 	75 
004928 	186 	96 	76 	75 
004929 	186 	96 	76 	75 
004930 	186 	96 	76 	75 
004931 	186 	87 	76 	76 
004932 	186 	96 	76 	75 
004933 	186 	87 	76 	76 
004934 	186 	96 	76 	75 
004935 	186 	96 	76 	75 
004936 	186 	96 	76 	75 
004937 	186 	96 	76 	75 
004938 	186 	96 	76 	75 
004939 	186 	87 	76 	76 
004940 	186 	87 	76 	76 
004941 	186 	87 	76 	76 
004942 	186 	87 	76 	76 
004943 	186 	87 	76 	76 
004944 	186 	87 	76 	76 
004945 	186 	87 	76 	76 
004946 	186 	96 	76 	75 
004947 	186 	96 	76 	75 
004948 	186 	87 	76 	76 
004949 	186 	87 	76 	76 
004950 	186 	87 	76 	76 
004951 	186 	87 	76 	76 
004952 	186 	96 	76 	75 
004953 	186 	87 	76 	76 
004954 	186 	87 	76 	76 
004955 	186 	87 	76 	76 
004956 	186 	87 	76 	76 
004957 	186 	96 	76 	75 
004958 	184 	85 	91 	91 
004959 	184 	85 	91 	91 
004960 	184 	85 	91 	91 
004961 	184 	85 	91 	91 
004962 	184 	85 	91 	91 
004963 	184 	85 	91 	91 
004964 	184 	85 	91 	91 
004965 	184 	85 	91 	91 
004966 	184 	85 	91 	91 
004967 	184 	85 	91 	91 
004968 	184 	85 	91 	91 
004969 	184 	85 	91 	91 
004970 	184 	85 	91 	91 
004971 	184 	85 	91 	91 
004972 	184 	85 	91 	91 
004973 	184 	85 	91 	91 
004974 	184 	85 	91 	91 
004975 	184 	85 	91 	91 
004976 	184 	85 	91 	91 
004977 	184 	85 	91 	91 
004978 	184 	85 	91 	91 
004979 	184 	85 	91 	91 
004980 	184 	85 	91 	91 
004981 	186 	96 	76 	75 
004982 	186 	96 	76 	75 
004983 	186 	96 	76 	75 
004984 	186 	96 	76 	75 
004985 	186 	96 	76 	75 
004986 	186 	96 	76 	75 
004987 	186 	96 	76 	75 
004988 	186 	96 	76 	75 
004989 	186 	96 	76 	75 
004990 	186 	96 	76 	75 
004991 	186 	96 	76 	75 
004992 	186 	96 	76 	75 
004993 	186 	96 	76 	75 
004994 	186 	96 	76 	75 
004995 	186 	96 	76 	75 
004996 	186 	96 	76 	75 
004997 	186 	96 	76 	75 
004998 	186 	96 	76 	75 
004999 	186 	96 	76 	75 
005000 	186 	96 	76 	75 
005001 	186 	96 	76 	75 
005002 	186 	96 	76 	75 
005003 	186 	96 	76 	75 
005004 	186 	96 	76 	75 
005005 	186 	96 	76 	75 
005006 	186 	96 	76 	75 
005007 	186 	96 	76 	75 
005008 	186 	96 	76 	75 
005009 	186 	96 	76 	75 
005010 	186 	96 	76 	75 
005011 	186 	96 	76 	75 
005012 	186 	96 	76 	75 
005013 	186 	96 	76 	75 
005014 	186 	96 	76 	75 
005015 	186 	96 	76 	75 
005016 	186 	96 	76 	75 
005017 	186 	96 	76 	75 
005018 	186 	96 	76 	75 
005019 	186 	96 	76 	75 
005020 	186 	96 	76 	75 
005021 	186 	96 	76 	75 
005022 	186 	96 	76 	75 
005023 	186 	96 	76 	75 
005024 	186 	96 	76 	75 
005025 	186 	96 	76 	75 
005026 	186 	96 	76 	75 
005027 	186 	96 	76 	75 
005028 	186 	96 	76 	75 
005029 	186 	96 	76 	75 
005030 	186 	96 	76 	75 
