Identity  : 	id10301
Reference : 	VIAnMw7J5tI
Offset    : 	-1
FV Conf   : 	16.494
ASD Conf  : 	7.029

FRAME 	X 	Y 	W 	H 
000175 	135 	53 	187 	187 
000176 	135 	53 	187 	187 
000177 	135 	53 	187 	187 
000178 	135 	53 	187 	187 
000179 	135 	74 	187 	187 
000180 	147 	96 	156 	156 
000181 	147 	96 	156 	156 
000182 	147 	96 	156 	156 
000183 	130 	96 	156 	156 
000184 	130 	96 	156 	156 
000185 	115 	74 	187 	187 
000186 	130 	79 	156 	156 
000187 	130 	96 	156 	156 
000188 	130 	79 	156 	156 
000189 	115 	53 	187 	187 
000190 	113 	79 	155 	156 
000191 	113 	79 	155 	156 
000192 	113 	79 	155 	156 
000193 	113 	79 	155 	156 
000194 	113 	79 	155 	156 
000195 	113 	79 	155 	156 
000196 	137 	80 	130 	130 
000197 	130 	62 	156 	155 
000198 	130 	62 	156 	155 
000199 	130 	62 	156 	155 
000200 	130 	62 	156 	155 
000201 	130 	62 	156 	155 
000202 	130 	62 	156 	155 
000203 	130 	62 	156 	155 
000204 	130 	62 	156 	155 
000205 	130 	62 	156 	155 
000206 	130 	62 	156 	155 
000207 	130 	62 	156 	155 
000208 	130 	62 	156 	155 
000209 	130 	62 	156 	155 
000210 	130 	62 	156 	155 
000211 	130 	62 	156 	155 
000212 	130 	62 	156 	155 
000213 	151 	66 	130 	130 
000214 	147 	62 	156 	155 
000215 	147 	62 	156 	155 
000216 	147 	62 	156 	155 
000217 	147 	62 	156 	155 
000218 	147 	62 	156 	155 
000219 	147 	62 	156 	155 
000220 	164 	62 	156 	155 
000221 	164 	62 	156 	155 
000222 	164 	62 	156 	155 
000223 	147 	62 	156 	155 
000224 	147 	79 	156 	156 
000225 	147 	79 	156 	156 
000226 	147 	79 	156 	156 
000227 	147 	79 	156 	156 
000228 	135 	53 	187 	187 
000229 	147 	79 	156 	156 
000230 	147 	79 	156 	156 
000231 	165 	80 	130 	130 
000232 	165 	80 	130 	130 
000233 	147 	79 	156 	156 
000234 	147 	79 	156 	156 
000235 	165 	80 	130 	130 
000236 	165 	80 	130 	130 
000237 	165 	80 	130 	130 
000238 	165 	80 	130 	130 
000239 	164 	62 	156 	155 
000240 	165 	80 	130 	130 
000241 	165 	80 	130 	130 
000242 	165 	80 	130 	130 
000243 	165 	80 	130 	130 
000244 	147 	79 	156 	156 
000245 	147 	79 	156 	156 
000246 	147 	79 	156 	156 
000247 	147 	79 	156 	156 
000248 	147 	79 	156 	156 
000249 	147 	79 	156 	156 
000250 	147 	79 	156 	156 
000251 	164 	79 	156 	156 
000252 	164 	79 	156 	156 
000253 	164 	79 	156 	156 
000254 	164 	79 	156 	156 
000255 	164 	79 	156 	156 
000256 	164 	79 	156 	156 
000257 	164 	79 	156 	156 
000258 	164 	79 	156 	156 
000259 	165 	94 	130 	130 
000260 	147 	79 	156 	156 
000261 	147 	79 	156 	156 
000262 	147 	79 	156 	156 
000263 	147 	79 	156 	156 
000264 	147 	79 	156 	156 
000265 	164 	79 	156 	156 
000266 	164 	79 	156 	156 
000267 	164 	79 	156 	156 
000268 	164 	79 	156 	156 
000269 	164 	79 	156 	156 
000270 	164 	79 	156 	156 
000271 	164 	79 	156 	156 
000272 	164 	79 	156 	156 
000273 	164 	79 	156 	156 
000274 	164 	79 	156 	156 
000275 	164 	79 	156 	156 
000276 	164 	79 	156 	156 
000277 	164 	79 	156 	156 
000278 	164 	62 	156 	155 
000279 	164 	62 	156 	155 
000280 	135 	53 	187 	187 
000281 	135 	53 	187 	187 
000282 	147 	79 	156 	156 
000283 	135 	53 	187 	187 
000284 	135 	53 	187 	187 
000285 	164 	79 	156 	156 
000286 	164 	79 	156 	156 
000287 	164 	79 	156 	156 
000288 	164 	79 	156 	156 
000289 	147 	79 	156 	156 
000290 	147 	79 	156 	156 
000291 	147 	79 	156 	156 
000292 	147 	79 	156 	156 
000293 	147 	79 	156 	156 
000294 	147 	79 	156 	156 
