Identity  : 	id10302
Reference : 	K2_D_tFdAgY
Offset    : 	0
FV Conf   : 	15.970
ASD Conf  : 	7.748

FRAME 	X 	Y 	W 	H 
013536 	204 	45 	91 	91 
013537 	204 	45 	91 	91 
013538 	204 	45 	91 	91 
013539 	204 	45 	91 	91 
013540 	204 	45 	91 	91 
013541 	204 	45 	91 	91 
013542 	204 	45 	91 	91 
013543 	204 	45 	91 	91 
013544 	204 	45 	91 	91 
013545 	204 	45 	91 	91 
013546 	204 	45 	91 	91 
013547 	204 	45 	91 	91 
013548 	204 	45 	91 	91 
013549 	204 	45 	91 	91 
013550 	204 	45 	91 	91 
013551 	204 	45 	91 	91 
013552 	204 	45 	91 	91 
013553 	204 	45 	91 	91 
013554 	204 	45 	91 	91 
013555 	204 	45 	91 	91 
013556 	214 	45 	91 	91 
013557 	214 	45 	91 	91 
013558 	214 	45 	91 	91 
013559 	214 	45 	91 	91 
013560 	214 	45 	91 	91 
013561 	214 	45 	91 	91 
013562 	214 	45 	91 	91 
013563 	214 	45 	91 	91 
013564 	214 	45 	91 	91 
013565 	214 	45 	91 	91 
013566 	214 	45 	91 	91 
013567 	214 	45 	91 	91 
013568 	214 	45 	91 	91 
013569 	214 	45 	91 	91 
013570 	214 	45 	91 	91 
013571 	214 	45 	91 	91 
013572 	214 	45 	91 	91 
013573 	214 	45 	91 	91 
013574 	214 	45 	91 	91 
013575 	214 	45 	91 	91 
013576 	214 	45 	91 	91 
013577 	214 	45 	91 	91 
013578 	204 	55 	91 	91 
013579 	204 	55 	91 	91 
013580 	204 	55 	91 	91 
013581 	195 	62 	75 	76 
013582 	184 	55 	91 	91 
013583 	184 	65 	91 	91 
013584 	184 	65 	91 	91 
013585 	174 	65 	91 	91 
013586 	174 	65 	91 	91 
013587 	174 	65 	91 	91 
013588 	174 	65 	91 	91 
013589 	174 	65 	91 	91 
013590 	186 	71 	76 	75 
013591 	184 	65 	91 	91 
013592 	195 	79 	75 	76 
013593 	194 	65 	91 	91 
013594 	194 	65 	91 	91 
013595 	194 	65 	91 	91 
013596 	204 	65 	91 	91 
013597 	204 	65 	91 	91 
013598 	204 	65 	91 	91 
013599 	204 	65 	91 	91 
013600 	204 	65 	91 	91 
013601 	204 	65 	91 	91 
013602 	214 	65 	91 	91 
013603 	214 	65 	91 	91 
013604 	214 	65 	91 	91 
013605 	214 	65 	91 	91 
013606 	224 	65 	91 	91 
013607 	224 	65 	91 	91 
013608 	224 	65 	91 	91 
013609 	224 	65 	91 	91 
013610 	224 	65 	91 	91 
013611 	224 	65 	91 	91 
013612 	236 	79 	76 	76 
013613 	236 	79 	76 	76 
013614 	236 	79 	76 	76 
013615 	234 	65 	90 	91 
013616 	234 	65 	90 	91 
013617 	234 	65 	90 	91 
013618 	234 	65 	90 	91 
013619 	234 	65 	90 	91 
013620 	234 	65 	90 	91 
013621 	234 	65 	90 	91 
013622 	234 	65 	90 	91 
013623 	234 	65 	90 	91 
013624 	234 	65 	90 	91 
013625 	234 	65 	90 	91 
013626 	221 	54 	109 	109 
013627 	224 	55 	91 	91 
013628 	224 	55 	91 	91 
013629 	224 	55 	91 	91 
013630 	214 	55 	91 	91 
013631 	214 	55 	91 	91 
013632 	214 	45 	91 	91 
013633 	214 	45 	91 	91 
013634 	204 	45 	91 	91 
013635 	204 	45 	91 	91 
013636 	204 	45 	91 	91 
013637 	204 	45 	91 	91 
013638 	204 	45 	91 	91 
013639 	204 	45 	91 	91 
013640 	204 	45 	91 	91 
013641 	204 	45 	91 	91 
013642 	204 	45 	91 	91 
013643 	204 	45 	91 	91 
013644 	204 	45 	91 	91 
013645 	204 	45 	91 	91 
013646 	204 	45 	91 	91 
013647 	204 	45 	91 	91 
013648 	204 	45 	91 	91 
013649 	204 	45 	91 	91 
013650 	204 	45 	91 	91 
013651 	204 	45 	91 	91 
013652 	204 	45 	91 	91 
013653 	204 	45 	91 	91 
013654 	204 	45 	91 	91 
013655 	204 	45 	91 	91 
013656 	204 	45 	91 	91 
013657 	204 	45 	91 	91 
013658 	194 	45 	91 	91 
013659 	203 	46 	76 	76 
013660 	203 	46 	76 	76 
013661 	194 	35 	91 	91 
013662 	194 	35 	91 	91 
013663 	194 	35 	91 	91 
013664 	194 	35 	91 	91 
013665 	194 	35 	91 	91 
013666 	194 	35 	91 	91 
013667 	194 	35 	91 	91 
013668 	194 	35 	91 	91 
013669 	194 	35 	91 	91 
013670 	194 	35 	91 	91 
013671 	194 	35 	91 	91 
013672 	194 	45 	91 	91 
013673 	194 	45 	91 	91 
013674 	194 	45 	91 	91 
013675 	194 	45 	91 	91 
013676 	194 	45 	91 	91 
013677 	194 	45 	91 	91 
013678 	194 	45 	91 	91 
013679 	194 	45 	91 	91 
013680 	194 	45 	91 	91 
013681 	194 	45 	91 	91 
013682 	194 	45 	91 	91 
013683 	194 	45 	91 	91 
013684 	194 	45 	91 	91 
013685 	194 	45 	91 	91 
013686 	194 	45 	91 	91 
013687 	194 	45 	91 	91 
013688 	194 	45 	91 	91 
013689 	194 	45 	91 	91 
013690 	194 	45 	91 	91 
013691 	194 	45 	91 	91 
013692 	194 	45 	91 	91 
013693 	194 	45 	91 	91 
013694 	194 	45 	91 	91 
013695 	194 	45 	91 	91 
013696 	194 	45 	91 	91 
013697 	194 	45 	91 	91 
013698 	194 	45 	91 	91 
013699 	194 	45 	91 	91 
013700 	204 	45 	91 	91 
013701 	204 	45 	91 	91 
013702 	204 	45 	91 	91 
013703 	204 	45 	91 	91 
013704 	204 	45 	91 	91 
013705 	204 	45 	91 	91 
013706 	204 	45 	91 	91 
013707 	204 	45 	91 	91 
013708 	204 	45 	91 	91 
013709 	204 	45 	91 	91 
013710 	204 	45 	91 	91 
013711 	204 	45 	91 	91 
013712 	204 	45 	91 	91 
013713 	204 	45 	91 	91 
013714 	204 	45 	91 	91 
013715 	204 	45 	91 	91 
013716 	204 	45 	91 	91 
013717 	204 	45 	91 	91 
013718 	204 	45 	91 	91 
013719 	204 	45 	91 	91 
013720 	204 	45 	91 	91 
013721 	204 	45 	91 	91 
013722 	204 	45 	91 	91 
013723 	204 	45 	91 	91 
013724 	204 	55 	91 	91 
013725 	204 	55 	91 	91 
013726 	204 	55 	91 	91 
013727 	204 	55 	91 	91 
013728 	204 	55 	91 	91 
013729 	204 	55 	91 	91 
013730 	204 	55 	91 	91 
013731 	204 	55 	91 	91 
013732 	204 	55 	91 	91 
013733 	204 	55 	91 	91 
013734 	204 	55 	91 	91 
013735 	204 	55 	91 	91 
013736 	204 	55 	91 	91 
013737 	204 	55 	91 	91 
013738 	204 	55 	91 	91 
013739 	204 	55 	91 	91 
013740 	204 	55 	91 	91 
013741 	204 	55 	91 	91 
013742 	204 	55 	91 	91 
013743 	204 	55 	91 	91 
013744 	204 	55 	91 	91 
013745 	204 	55 	91 	91 
013746 	204 	55 	91 	91 
013747 	204 	55 	91 	91 
013748 	204 	55 	91 	91 
013749 	204 	55 	91 	91 
013750 	204 	55 	91 	91 
013751 	204 	55 	91 	91 
013752 	204 	55 	91 	91 
013753 	204 	55 	91 	91 
013754 	204 	55 	91 	91 
013755 	204 	55 	91 	91 
013756 	204 	55 	91 	91 
013757 	204 	55 	91 	91 
013758 	204 	55 	91 	91 
013759 	204 	55 	91 	91 
013760 	204 	55 	91 	91 
013761 	204 	55 	91 	91 
013762 	204 	55 	91 	91 
013763 	204 	55 	91 	91 
013764 	204 	55 	91 	91 
013765 	204 	55 	91 	91 
013766 	204 	55 	91 	91 
013767 	204 	55 	91 	91 
013768 	204 	55 	91 	91 
013769 	204 	55 	91 	91 
013770 	204 	55 	91 	91 
