Identity  : 	id10302
Reference : 	ZAMRSlopMWA
Offset    : 	-2
FV Conf   : 	13.728
ASD Conf  : 	7.354

FRAME 	X 	Y 	W 	H 
000623 	218 	74 	187 	187 
000624 	218 	74 	187 	187 
000625 	218 	74 	187 	187 
000626 	233 	79 	156 	156 
000627 	218 	74 	187 	187 
000628 	197 	53 	187 	187 
000629 	197 	53 	187 	187 
000630 	197 	53 	187 	187 
000631 	197 	53 	187 	187 
000632 	197 	53 	187 	187 
000633 	197 	53 	187 	187 
000634 	197 	53 	187 	187 
000635 	197 	53 	187 	187 
000636 	197 	53 	187 	187 
000637 	177 	74 	187 	187 
000638 	177 	74 	187 	187 
000639 	197 	74 	187 	187 
000640 	197 	74 	187 	187 
000641 	197 	74 	187 	187 
000642 	197 	74 	187 	187 
000643 	197 	74 	187 	187 
000644 	197 	74 	187 	187 
000645 	197 	74 	187 	187 
000646 	197 	74 	187 	187 
000647 	197 	74 	187 	187 
000648 	197 	74 	187 	187 
000649 	197 	74 	187 	187 
000650 	197 	74 	187 	187 
000651 	197 	74 	187 	187 
000652 	197 	74 	187 	187 
000653 	197 	74 	187 	187 
000654 	197 	74 	187 	187 
000655 	197 	74 	187 	187 
000656 	197 	74 	187 	187 
000657 	197 	74 	187 	187 
000658 	197 	74 	187 	187 
000659 	197 	74 	187 	187 
000660 	197 	74 	187 	187 
000661 	197 	74 	187 	187 
000662 	197 	74 	187 	187 
000663 	197 	74 	187 	187 
000664 	218 	74 	187 	187 
000665 	218 	74 	187 	187 
000666 	218 	74 	187 	187 
000667 	218 	74 	187 	187 
000668 	218 	74 	187 	187 
000669 	218 	74 	187 	187 
000670 	218 	74 	187 	187 
000671 	218 	74 	187 	187 
000672 	218 	74 	187 	187 
000673 	218 	74 	187 	187 
000674 	218 	74 	187 	187 
000675 	218 	74 	187 	187 
000676 	218 	74 	187 	187 
000677 	218 	74 	187 	187 
000678 	218 	74 	187 	187 
000679 	218 	74 	187 	187 
000680 	218 	74 	187 	187 
000681 	218 	74 	187 	187 
000682 	218 	74 	187 	187 
000683 	218 	74 	187 	187 
000684 	218 	74 	187 	187 
000685 	218 	74 	187 	187 
000686 	218 	74 	187 	187 
000687 	218 	74 	187 	187 
000688 	218 	74 	187 	187 
000689 	218 	74 	187 	187 
000690 	218 	74 	187 	187 
000691 	218 	74 	187 	187 
000692 	218 	74 	187 	187 
000693 	218 	74 	187 	187 
000694 	250 	79 	156 	156 
000695 	250 	79 	156 	156 
000696 	250 	79 	156 	156 
000697 	239 	74 	186 	187 
000698 	239 	74 	186 	187 
000699 	239 	74 	186 	187 
000700 	239 	74 	186 	187 
000701 	239 	74 	186 	187 
000702 	239 	74 	186 	187 
000703 	239 	74 	186 	187 
000704 	239 	74 	186 	187 
000705 	239 	74 	186 	187 
000706 	267 	79 	156 	156 
000707 	267 	79 	156 	156 
000708 	267 	79 	156 	156 
000709 	267 	79 	156 	156 
000710 	267 	96 	156 	156 
000711 	267 	96 	156 	156 
000712 	267 	96 	156 	156 
000713 	239 	74 	186 	187 
000714 	267 	96 	156 	156 
000715 	239 	74 	186 	187 
000716 	267 	96 	156 	156 
000717 	267 	96 	156 	156 
000718 	259 	74 	187 	187 
000719 	285 	113 	155 	156 
000720 	285 	113 	155 	156 
000721 	285 	113 	155 	156 
000722 	302 	113 	156 	156 
000723 	302 	113 	156 	156 
000724 	280 	95 	187 	186 
000725 	280 	95 	187 	186 
000726 	280 	95 	187 	186 
000727 	280 	95 	187 	186 
000728 	280 	95 	187 	186 
000729 	285 	96 	155 	156 
000730 	285 	96 	155 	156 
000731 	285 	96 	155 	156 
000732 	285 	96 	155 	156 
000733 	285 	96 	155 	156 
000734 	259 	74 	187 	187 
000735 	259 	74 	187 	187 
000736 	259 	74 	187 	187 
000737 	259 	74 	187 	187 
000738 	267 	96 	156 	156 
000739 	267 	96 	156 	156 
000740 	239 	74 	186 	187 
000741 	239 	74 	186 	187 
000742 	239 	74 	186 	187 
000743 	250 	96 	156 	156 
000744 	218 	74 	187 	187 
000745 	218 	74 	187 	187 
000746 	218 	74 	187 	187 
000747 	218 	74 	187 	187 
000748 	218 	74 	187 	187 
000749 	218 	74 	187 	187 
000750 	250 	79 	156 	156 
000751 	250 	79 	156 	156 
000752 	250 	79 	156 	156 
000753 	239 	74 	186 	187 
000754 	239 	74 	186 	187 
000755 	239 	74 	186 	187 
000756 	267 	79 	156 	156 
000757 	267 	79 	156 	156 
000758 	267 	79 	156 	156 
000759 	267 	79 	156 	156 
000760 	267 	79 	156 	156 
000761 	259 	74 	187 	187 
000762 	259 	74 	187 	187 
000763 	259 	74 	187 	187 
000764 	259 	74 	187 	187 
000765 	259 	74 	187 	187 
000766 	259 	74 	187 	187 
000767 	259 	74 	187 	187 
000768 	259 	74 	187 	187 
000769 	259 	74 	187 	187 
000770 	259 	74 	187 	187 
000771 	267 	79 	156 	156 
000772 	267 	79 	156 	156 
000773 	267 	79 	156 	156 
