Identity  : 	id10303
Reference : 	R5JGtwc4o1M
Offset    : 	0
FV Conf   : 	18.972
ASD Conf  : 	7.579

FRAME 	X 	Y 	W 	H 
009406 	145 	112 	76 	76 
009407 	144 	105 	91 	91 
009408 	144 	105 	91 	91 
009409 	144 	105 	91 	91 
009410 	138 	90 	108 	109 
009411 	138 	90 	108 	109 
009412 	138 	90 	108 	109 
009413 	138 	90 	108 	109 
009414 	138 	90 	108 	109 
009415 	138 	90 	108 	109 
009416 	138 	90 	108 	109 
009417 	154 	105 	91 	91 
009418 	150 	90 	108 	109 
009419 	150 	90 	108 	109 
009420 	150 	90 	108 	109 
009421 	150 	90 	108 	109 
009422 	150 	90 	108 	109 
009423 	150 	90 	108 	109 
009424 	150 	90 	108 	109 
009425 	150 	90 	108 	109 
009426 	150 	90 	108 	109 
009427 	150 	90 	108 	109 
009428 	150 	90 	108 	109 
009429 	150 	90 	108 	109 
009430 	150 	90 	108 	109 
009431 	150 	90 	108 	109 
009432 	150 	102 	108 	109 
009433 	164 	115 	91 	91 
009434 	164 	115 	91 	91 
009435 	150 	102 	108 	109 
009436 	150 	102 	108 	109 
009437 	164 	115 	91 	91 
009438 	164 	115 	91 	91 
009439 	164 	115 	91 	91 
009440 	164 	115 	91 	91 
009441 	164 	115 	91 	91 
009442 	164 	115 	91 	91 
009443 	164 	115 	91 	91 
009444 	164 	115 	91 	91 
009445 	164 	115 	91 	91 
009446 	150 	102 	108 	109 
009447 	164 	115 	91 	91 
009448 	150 	102 	108 	109 
009449 	150 	102 	108 	109 
009450 	150 	102 	108 	109 
009451 	150 	102 	108 	109 
009452 	150 	102 	108 	109 
009453 	150 	102 	108 	109 
009454 	150 	102 	108 	109 
009455 	150 	102 	108 	109 
009456 	150 	102 	108 	109 
009457 	150 	102 	108 	109 
009458 	154 	115 	91 	91 
009459 	154 	115 	91 	91 
009460 	138 	102 	108 	109 
009461 	138 	102 	108 	109 
009462 	138 	90 	108 	109 
009463 	138 	90 	108 	109 
009464 	138 	102 	108 	109 
009465 	138 	102 	108 	109 
009466 	138 	102 	108 	109 
009467 	144 	115 	91 	91 
009468 	138 	102 	108 	109 
009469 	138 	102 	108 	109 
009470 	138 	102 	108 	109 
009471 	138 	102 	108 	109 
009472 	138 	102 	108 	109 
009473 	138 	102 	108 	109 
009474 	150 	102 	108 	109 
009475 	150 	102 	108 	109 
009476 	150 	102 	108 	109 
009477 	150 	102 	108 	109 
009478 	150 	102 	108 	109 
009479 	164 	115 	91 	91 
009480 	164 	115 	91 	91 
009481 	164 	115 	91 	91 
009482 	150 	102 	108 	109 
009483 	150 	102 	108 	109 
009484 	150 	102 	108 	109 
009485 	150 	102 	108 	109 
009486 	150 	102 	108 	109 
009487 	154 	115 	91 	91 
009488 	138 	102 	108 	109 
009489 	138 	102 	108 	109 
009490 	138 	102 	108 	109 
009491 	154 	115 	91 	91 
009492 	150 	102 	108 	109 
009493 	150 	102 	108 	109 
009494 	150 	102 	108 	109 
009495 	150 	102 	108 	109 
009496 	150 	102 	108 	109 
009497 	138 	102 	108 	109 
009498 	138 	102 	108 	109 
009499 	138 	102 	108 	109 
009500 	138 	102 	108 	109 
009501 	138 	102 	108 	109 
009502 	138 	102 	108 	109 
009503 	138 	102 	108 	109 
009504 	138 	102 	108 	109 
009505 	138 	102 	108 	109 
009506 	138 	102 	108 	109 
009507 	138 	102 	108 	109 
009508 	138 	102 	108 	109 
009509 	138 	102 	108 	109 
009510 	138 	102 	108 	109 
009511 	138 	102 	108 	109 
009512 	138 	102 	108 	109 
009513 	138 	102 	108 	109 
009514 	138 	102 	108 	109 
009515 	138 	102 	108 	109 
009516 	138 	102 	108 	109 
009517 	138 	102 	108 	109 
009518 	138 	102 	108 	109 
009519 	138 	102 	108 	109 
009520 	138 	102 	108 	109 
009521 	138 	102 	108 	109 
009522 	138 	102 	108 	109 
009523 	138 	102 	108 	109 
009524 	138 	102 	108 	109 
009525 	138 	102 	108 	109 
009526 	138 	102 	108 	109 
009527 	138 	102 	108 	109 
009528 	138 	102 	108 	109 
009529 	138 	102 	108 	109 
009530 	138 	102 	108 	109 
009531 	138 	102 	108 	109 
009532 	138 	102 	108 	109 
009533 	138 	102 	108 	109 
009534 	138 	102 	108 	109 
009535 	138 	102 	108 	109 
009536 	138 	102 	108 	109 
009537 	138 	102 	108 	109 
009538 	138 	102 	108 	109 
009539 	138 	102 	108 	109 
009540 	138 	102 	108 	109 
009541 	138 	102 	108 	109 
009542 	138 	102 	108 	109 
009543 	138 	102 	108 	109 
009544 	138 	102 	108 	109 
009545 	138 	102 	108 	109 
009546 	138 	90 	108 	109 
009547 	138 	90 	108 	109 
009548 	138 	90 	108 	109 
009549 	138 	90 	108 	109 
009550 	138 	90 	108 	109 
009551 	138 	90 	108 	109 
009552 	138 	90 	108 	109 
009553 	138 	90 	108 	109 
009554 	138 	90 	108 	109 
009555 	138 	90 	108 	109 
009556 	138 	90 	108 	109 
009557 	138 	90 	108 	109 
009558 	145 	112 	76 	76 
