Identity  : 	id10303
Reference : 	VCEs8oAQAiM
Offset    : 	0
FV Conf   : 	14.921
ASD Conf  : 	9.694

FRAME 	X 	Y 	W 	H 
001917 	174 	105 	91 	91 
001918 	174 	105 	91 	91 
001919 	161 	90 	109 	109 
001920 	174 	105 	91 	91 
001921 	174 	105 	91 	91 
001922 	174 	105 	91 	91 
001923 	174 	105 	91 	91 
001924 	174 	105 	91 	91 
001925 	174 	105 	91 	91 
001926 	174 	105 	91 	91 
001927 	174 	105 	91 	91 
001928 	174 	105 	91 	91 
001929 	174 	105 	91 	91 
001930 	174 	105 	91 	91 
001931 	174 	115 	91 	91 
001932 	161 	102 	109 	109 
001933 	164 	115 	91 	91 
001934 	164 	115 	91 	91 
001935 	150 	102 	108 	109 
001936 	150 	102 	108 	109 
001937 	150 	102 	108 	109 
001938 	150 	102 	108 	109 
001939 	150 	102 	108 	109 
001940 	150 	102 	108 	109 
001941 	150 	102 	108 	109 
001942 	150 	102 	108 	109 
001943 	150 	102 	108 	109 
001944 	150 	102 	108 	109 
001945 	150 	102 	108 	109 
001946 	164 	115 	91 	91 
001947 	164 	115 	91 	91 
001948 	164 	115 	91 	91 
001949 	164 	115 	91 	91 
001950 	164 	115 	91 	91 
001951 	161 	102 	109 	109 
001952 	161 	102 	109 	109 
001953 	161 	102 	109 	109 
001954 	161 	102 	109 	109 
001955 	161 	102 	109 	109 
001956 	161 	102 	109 	109 
001957 	161 	102 	109 	109 
001958 	161 	102 	109 	109 
001959 	164 	115 	91 	91 
001960 	164 	115 	91 	91 
001961 	161 	102 	109 	109 
001962 	161 	102 	109 	109 
001963 	164 	115 	91 	91 
001964 	164 	115 	91 	91 
001965 	164 	115 	91 	91 
001966 	164 	115 	91 	91 
001967 	164 	115 	91 	91 
001968 	164 	115 	91 	91 
001969 	164 	115 	91 	91 
001970 	164 	115 	91 	91 
001971 	164 	115 	91 	91 
001972 	161 	102 	109 	109 
001973 	164 	115 	91 	91 
001974 	164 	115 	91 	91 
001975 	164 	115 	91 	91 
001976 	164 	115 	91 	91 
001977 	161 	102 	109 	109 
001978 	164 	115 	91 	91 
001979 	164 	115 	91 	91 
001980 	164 	115 	91 	91 
001981 	150 	102 	108 	109 
001982 	150 	102 	108 	109 
001983 	164 	115 	91 	91 
001984 	150 	102 	108 	109 
001985 	150 	102 	108 	109 
001986 	150 	102 	108 	109 
001987 	150 	102 	108 	109 
001988 	150 	102 	108 	109 
001989 	150 	102 	108 	109 
001990 	150 	102 	108 	109 
001991 	150 	102 	108 	109 
001992 	150 	102 	108 	109 
001993 	150 	102 	108 	109 
001994 	150 	102 	108 	109 
001995 	150 	102 	108 	109 
001996 	150 	102 	108 	109 
001997 	150 	102 	108 	109 
001998 	150 	102 	108 	109 
001999 	150 	102 	108 	109 
002000 	164 	115 	91 	91 
002001 	164 	115 	91 	91 
002002 	164 	115 	91 	91 
002003 	164 	115 	91 	91 
002004 	164 	115 	91 	91 
002005 	164 	115 	91 	91 
002006 	164 	115 	91 	91 
002007 	164 	115 	91 	91 
002008 	164 	115 	91 	91 
002009 	150 	90 	108 	109 
002010 	150 	90 	108 	109 
002011 	150 	90 	108 	109 
002012 	150 	90 	108 	109 
002013 	150 	90 	108 	109 
002014 	164 	105 	91 	91 
002015 	150 	102 	108 	109 
002016 	150 	102 	108 	109 
002017 	150 	90 	108 	109 
002018 	150 	90 	108 	109 
002019 	150 	90 	108 	109 
002020 	150 	102 	108 	109 
002021 	150 	102 	108 	109 
002022 	150 	102 	108 	109 
002023 	150 	102 	108 	109 
002024 	150 	102 	108 	109 
002025 	150 	102 	108 	109 
002026 	150 	102 	108 	109 
002027 	150 	102 	108 	109 
002028 	150 	90 	108 	109 
002029 	150 	90 	108 	109 
002030 	150 	90 	108 	109 
002031 	150 	90 	108 	109 
002032 	150 	102 	108 	109 
002033 	150 	102 	108 	109 
002034 	150 	102 	108 	109 
002035 	150 	102 	108 	109 
002036 	150 	102 	108 	109 
002037 	150 	102 	108 	109 
002038 	150 	102 	108 	109 
002039 	150 	102 	108 	109 
002040 	150 	102 	108 	109 
002041 	150 	102 	108 	109 
002042 	150 	90 	108 	109 
002043 	150 	102 	108 	109 
002044 	150 	102 	108 	109 
002045 	150 	102 	108 	109 
002046 	150 	102 	108 	109 
002047 	150 	102 	108 	109 
002048 	150 	102 	108 	109 
002049 	150 	102 	108 	109 
002050 	150 	102 	108 	109 
002051 	150 	102 	108 	109 
002052 	150 	102 	108 	109 
002053 	150 	102 	108 	109 
002054 	150 	102 	108 	109 
002055 	150 	102 	108 	109 
002056 	150 	102 	108 	109 
002057 	150 	102 	108 	109 
002058 	150 	102 	108 	109 
002059 	150 	102 	108 	109 
002060 	150 	102 	108 	109 
002061 	150 	102 	108 	109 
002062 	150 	102 	108 	109 
002063 	150 	102 	108 	109 
002064 	154 	115 	91 	91 
002065 	154 	115 	91 	91 
002066 	154 	115 	91 	91 
002067 	154 	115 	91 	91 
002068 	138 	102 	108 	109 
002069 	138 	102 	108 	109 
002070 	138 	102 	108 	109 
002071 	138 	102 	108 	109 
002072 	138 	102 	108 	109 
002073 	138 	102 	108 	109 
002074 	138 	102 	108 	109 
002075 	138 	102 	108 	109 
002076 	138 	102 	108 	109 
002077 	138 	102 	108 	109 
002078 	138 	102 	108 	109 
002079 	138 	102 	108 	109 
002080 	138 	102 	108 	109 
002081 	138 	102 	108 	109 
002082 	138 	102 	108 	109 
002083 	138 	102 	108 	109 
002084 	138 	102 	108 	109 
002085 	138 	102 	108 	109 
002086 	138 	102 	108 	109 
002087 	138 	102 	108 	109 
002088 	138 	102 	108 	109 
002089 	138 	102 	108 	109 
002090 	138 	102 	108 	109 
002091 	138 	102 	108 	109 
002092 	138 	102 	108 	109 
002093 	154 	105 	91 	91 
002094 	150 	90 	108 	109 
002095 	150 	90 	108 	109 
002096 	150 	90 	108 	109 
002097 	150 	90 	108 	109 
002098 	138 	90 	108 	109 
002099 	138 	90 	108 	109 
002100 	138 	90 	108 	109 
002101 	138 	90 	108 	109 
002102 	138 	90 	108 	109 
002103 	144 	105 	91 	91 
