Identity  : 	id10303
Reference : 	Zs8VK91yVMI
Offset    : 	0
FV Conf   : 	13.314
ASD Conf  : 	5.041

FRAME 	X 	Y 	W 	H 
009490 	144 	95 	91 	91 
009491 	144 	95 	91 	91 
009492 	144 	95 	91 	91 
009493 	144 	95 	91 	91 
009494 	144 	95 	91 	91 
009495 	144 	95 	91 	91 
009496 	144 	95 	91 	91 
009497 	144 	100 	91 	91 
009498 	144 	105 	91 	91 
009499 	144 	113 	84 	83 
009500 	145 	121 	76 	75 
009501 	126 	102 	108 	109 
009502 	144 	105 	91 	91 
009503 	144 	105 	91 	91 
009504 	144 	105 	91 	91 
009505 	144 	105 	91 	91 
009506 	144 	105 	91 	91 
009507 	144 	105 	91 	91 
009508 	144 	105 	91 	91 
009509 	144 	105 	91 	91 
009510 	144 	105 	91 	91 
009511 	144 	105 	91 	91 
009512 	144 	105 	91 	91 
009513 	138 	90 	108 	109 
009514 	144 	105 	91 	91 
009515 	138 	90 	108 	109 
009516 	138 	90 	108 	109 
009517 	138 	90 	108 	109 
009518 	138 	90 	108 	109 
009519 	138 	90 	108 	109 
009520 	138 	90 	108 	109 
009521 	138 	90 	108 	109 
009522 	138 	90 	108 	109 
009523 	138 	90 	108 	109 
009524 	138 	90 	108 	109 
009525 	138 	90 	108 	109 
009526 	138 	90 	108 	109 
009527 	138 	90 	108 	109 
009528 	138 	90 	108 	109 
009529 	138 	90 	108 	109 
009530 	138 	90 	108 	109 
009531 	138 	90 	108 	109 
009532 	138 	90 	108 	109 
009533 	138 	90 	108 	109 
009534 	138 	90 	108 	109 
009535 	138 	90 	108 	109 
009536 	138 	90 	108 	109 
009537 	138 	90 	108 	109 
009538 	138 	90 	108 	109 
009539 	138 	90 	108 	109 
009540 	138 	90 	108 	109 
009541 	138 	90 	108 	109 
009542 	138 	90 	108 	109 
009543 	138 	90 	108 	109 
009544 	138 	90 	108 	109 
009545 	138 	90 	108 	109 
009546 	138 	90 	108 	109 
009547 	144 	95 	91 	91 
009548 	144 	95 	91 	91 
009549 	144 	95 	91 	91 
009550 	144 	95 	91 	91 
009551 	144 	95 	91 	91 
009552 	144 	95 	91 	91 
009553 	144 	95 	91 	91 
009554 	144 	95 	91 	91 
009555 	144 	95 	91 	91 
009556 	144 	95 	91 	91 
009557 	144 	95 	91 	91 
009558 	144 	95 	91 	91 
009559 	144 	95 	91 	91 
009560 	138 	90 	108 	109 
009561 	144 	105 	91 	91 
009562 	138 	90 	108 	109 
009563 	138 	90 	108 	109 
009564 	138 	90 	108 	109 
009565 	138 	90 	108 	109 
009566 	138 	90 	108 	109 
009567 	138 	90 	108 	109 
009568 	138 	90 	108 	109 
009569 	138 	90 	108 	109 
009570 	138 	90 	108 	109 
009571 	138 	90 	108 	109 
009572 	138 	90 	108 	109 
009573 	154 	95 	91 	91 
009574 	154 	95 	91 	91 
009575 	154 	95 	91 	91 
009576 	154 	95 	91 	91 
009577 	154 	105 	91 	91 
009578 	154 	105 	91 	91 
009579 	138 	90 	108 	109 
009580 	154 	105 	91 	91 
009581 	138 	90 	108 	109 
009582 	138 	90 	108 	109 
009583 	138 	90 	108 	109 
009584 	138 	102 	108 	109 
009585 	138 	102 	108 	109 
009586 	138 	102 	108 	109 
009587 	138 	102 	108 	109 
009588 	154 	105 	91 	91 
009589 	154 	115 	91 	91 
009590 	154 	115 	91 	91 
009591 	154 	115 	91 	91 
009592 	154 	115 	91 	91 
009593 	150 	90 	108 	109 
009594 	150 	102 	108 	109 
009595 	150 	90 	108 	109 
009596 	150 	90 	108 	109 
009597 	150 	90 	108 	109 
009598 	150 	90 	108 	109 
009599 	150 	90 	108 	109 
009600 	150 	90 	108 	109 
009601 	150 	90 	108 	109 
009602 	154 	105 	91 	91 
009603 	138 	90 	108 	109 
009604 	144 	105 	91 	91 
009605 	144 	105 	91 	91 
009606 	144 	105 	91 	91 
009607 	144 	105 	91 	91 
009608 	144 	105 	91 	91 
009609 	144 	105 	91 	91 
009610 	144 	105 	91 	91 
009611 	144 	105 	91 	91 
