Identity  : 	id10304
Reference : 	HTL8iLI75TY
Offset    : 	1
FV Conf   : 	15.614
ASD Conf  : 	6.584

FRAME 	X 	Y 	W 	H 
006946 	134 	65 	91 	91 
006947 	134 	65 	91 	91 
006948 	145 	79 	76 	76 
006949 	134 	65 	91 	91 
006950 	134 	65 	91 	91 
006951 	134 	65 	91 	91 
006952 	145 	79 	76 	76 
006953 	145 	79 	76 	76 
006954 	145 	79 	76 	76 
006955 	145 	79 	76 	76 
006956 	145 	79 	76 	76 
006957 	134 	65 	91 	91 
006958 	134 	65 	91 	91 
006959 	137 	79 	75 	76 
006960 	137 	79 	75 	76 
006961 	134 	65 	91 	91 
006962 	137 	79 	75 	76 
006963 	134 	65 	91 	91 
006964 	134 	65 	91 	91 
006965 	134 	65 	91 	91 
006966 	134 	65 	91 	91 
006967 	134 	65 	91 	91 
006968 	137 	79 	75 	76 
006969 	137 	79 	75 	76 
006970 	134 	65 	91 	91 
006971 	134 	65 	91 	91 
006972 	134 	65 	91 	91 
006973 	137 	79 	75 	76 
006974 	134 	65 	91 	91 
006975 	134 	65 	91 	91 
006976 	137 	79 	75 	76 
006977 	134 	75 	91 	91 
006978 	134 	75 	91 	91 
006979 	134 	75 	91 	91 
006980 	137 	79 	75 	76 
006981 	137 	79 	75 	76 
006982 	137 	79 	75 	76 
006983 	137 	79 	75 	76 
006984 	137 	79 	75 	76 
006985 	137 	79 	75 	76 
006986 	137 	79 	75 	76 
006987 	137 	79 	75 	76 
006988 	137 	79 	75 	76 
006989 	124 	65 	91 	91 
006990 	134 	65 	91 	91 
006991 	134 	65 	91 	91 
006992 	134 	65 	91 	91 
006993 	134 	65 	91 	91 
006994 	134 	65 	91 	91 
006995 	134 	65 	91 	91 
006996 	134 	65 	91 	91 
006997 	134 	65 	91 	91 
006998 	134 	65 	91 	91 
006999 	134 	65 	91 	91 
007000 	124 	65 	91 	91 
007001 	124 	65 	91 	91 
007002 	124 	65 	91 	91 
007003 	124 	65 	91 	91 
007004 	124 	65 	91 	91 
007005 	124 	65 	91 	91 
007006 	124 	65 	91 	91 
007007 	124 	65 	91 	91 
007008 	124 	65 	91 	91 
007009 	124 	65 	91 	91 
007010 	124 	65 	91 	91 
007011 	124 	65 	91 	91 
007012 	124 	65 	91 	91 
007013 	124 	65 	91 	91 
007014 	124 	65 	91 	91 
007015 	124 	65 	91 	91 
007016 	124 	65 	91 	91 
007017 	124 	65 	91 	91 
007018 	124 	65 	91 	91 
007019 	124 	65 	91 	91 
007020 	124 	65 	91 	91 
007021 	124 	65 	91 	91 
007022 	124 	65 	91 	91 
007023 	134 	65 	91 	91 
007024 	134 	65 	91 	91 
007025 	134 	65 	91 	91 
007026 	134 	65 	91 	91 
007027 	134 	65 	91 	91 
007028 	134 	65 	91 	91 
007029 	134 	65 	91 	91 
007030 	134 	75 	91 	91 
007031 	145 	79 	76 	76 
007032 	134 	75 	91 	91 
007033 	134 	65 	91 	91 
007034 	124 	65 	91 	91 
007035 	124 	65 	91 	91 
007036 	124 	65 	91 	91 
007037 	128 	71 	76 	75 
007038 	124 	65 	91 	91 
007039 	124 	65 	91 	91 
007040 	137 	79 	75 	76 
007041 	137 	79 	75 	76 
007042 	124 	65 	91 	91 
007043 	124 	55 	91 	91 
007044 	128 	71 	76 	75 
007045 	114 	65 	91 	91 
007046 	114 	65 	91 	91 
007047 	124 	65 	91 	91 
007048 	124 	55 	91 	91 
007049 	124 	55 	91 	91 
007050 	124 	55 	91 	91 
007051 	124 	55 	91 	91 
007052 	124 	55 	91 	91 
007053 	114 	55 	91 	91 
007054 	124 	55 	91 	91 
007055 	124 	55 	91 	91 
007056 	124 	55 	91 	91 
007057 	124 	55 	91 	91 
007058 	124 	55 	91 	91 
007059 	124 	65 	91 	91 
007060 	124 	65 	91 	91 
007061 	124 	65 	91 	91 
007062 	124 	65 	91 	91 
007063 	124 	65 	91 	91 
007064 	124 	65 	91 	91 
007065 	124 	65 	91 	91 
007066 	128 	87 	76 	76 
007067 	124 	75 	91 	91 
007068 	124 	75 	91 	91 
007069 	124 	75 	91 	91 
007070 	128 	87 	76 	76 
007071 	124 	75 	91 	91 
007072 	124 	75 	91 	91 
007073 	124 	75 	91 	91 
007074 	124 	75 	91 	91 
007075 	124 	65 	91 	91 
007076 	124 	65 	91 	91 
007077 	124 	65 	91 	91 
007078 	124 	65 	91 	91 
007079 	124 	65 	91 	91 
007080 	124 	75 	91 	91 
007081 	124 	75 	91 	91 
007082 	124 	75 	91 	91 
007083 	124 	75 	91 	91 
007084 	124 	75 	91 	91 
007085 	124 	75 	91 	91 
007086 	124 	75 	91 	91 
007087 	124 	75 	91 	91 
007088 	114 	75 	91 	91 
007089 	124 	85 	91 	91 
007090 	124 	85 	91 	91 
007091 	124 	85 	91 	91 
007092 	114 	75 	91 	91 
007093 	114 	75 	91 	91 
007094 	114 	75 	91 	91 
007095 	124 	75 	91 	91 
007096 	124 	75 	91 	91 
007097 	124 	75 	91 	91 
007098 	124 	75 	91 	91 
007099 	124 	75 	91 	91 
007100 	124 	75 	91 	91 
007101 	124 	75 	91 	91 
007102 	124 	75 	91 	91 
007103 	124 	75 	91 	91 
007104 	124 	65 	91 	91 
007105 	124 	75 	91 	91 
007106 	124 	65 	91 	91 
007107 	124 	65 	91 	91 
007108 	124 	65 	91 	91 
007109 	124 	65 	91 	91 
007110 	124 	65 	91 	91 
007111 	124 	65 	91 	91 
007112 	124 	65 	91 	91 
007113 	124 	65 	91 	91 
007114 	124 	65 	91 	91 
007115 	124 	65 	91 	91 
007116 	124 	65 	91 	91 
007117 	124 	65 	91 	91 
007118 	124 	65 	91 	91 
007119 	124 	65 	91 	91 
007120 	124 	65 	91 	91 
007121 	124 	65 	91 	91 
007122 	124 	65 	91 	91 
007123 	124 	65 	91 	91 
007124 	124 	65 	91 	91 
007125 	124 	65 	91 	91 
007126 	124 	65 	91 	91 
007127 	124 	65 	91 	91 
007128 	124 	65 	91 	91 
007129 	124 	65 	91 	91 
007130 	124 	65 	91 	91 
007131 	124 	65 	91 	91 
007132 	124 	65 	91 	91 
007133 	124 	65 	91 	91 
007134 	124 	65 	91 	91 
007135 	124 	65 	91 	91 
007136 	124 	65 	91 	91 
007137 	124 	65 	91 	91 
007138 	124 	65 	91 	91 
007139 	124 	65 	91 	91 
007140 	124 	65 	91 	91 
007141 	114 	65 	91 	91 
007142 	114 	65 	91 	91 
007143 	114 	65 	91 	91 
007144 	114 	65 	91 	91 
007145 	114 	65 	91 	91 
007146 	114 	65 	91 	91 
007147 	114 	65 	91 	91 
007148 	114 	65 	91 	91 
007149 	114 	65 	91 	91 
007150 	114 	65 	91 	91 
007151 	114 	65 	91 	91 
007152 	114 	65 	91 	91 
007153 	124 	65 	91 	91 
007154 	124 	65 	91 	91 
007155 	124 	65 	91 	91 
007156 	137 	79 	75 	76 
007157 	137 	79 	75 	76 
007158 	134 	75 	91 	91 
007159 	134 	75 	91 	91 
007160 	137 	87 	75 	76 
007161 	137 	87 	75 	76 
007162 	134 	75 	91 	91 
007163 	134 	75 	91 	91 
007164 	134 	75 	91 	91 
007165 	124 	65 	91 	91 
007166 	124 	65 	91 	91 
007167 	124 	65 	91 	91 
007168 	137 	79 	75 	76 
007169 	137 	79 	75 	76 
007170 	137 	79 	75 	76 
007171 	137 	79 	75 	76 
007172 	137 	79 	75 	76 
007173 	124 	65 	91 	91 
007174 	124 	65 	91 	91 
007175 	137 	79 	75 	76 
007176 	137 	79 	75 	76 
007177 	124 	65 	91 	91 
007178 	124 	65 	91 	91 
007179 	124 	65 	91 	91 
007180 	124 	65 	91 	91 
007181 	124 	65 	91 	91 
007182 	124 	65 	91 	91 
007183 	124 	65 	91 	91 
007184 	124 	65 	91 	91 
007185 	124 	65 	91 	91 
007186 	124 	65 	91 	91 
007187 	124 	65 	91 	91 
007188 	124 	65 	91 	91 
007189 	124 	75 	91 	91 
007190 	124 	75 	91 	91 
007191 	124 	75 	91 	91 
007192 	124 	85 	91 	91 
007193 	124 	85 	91 	91 
007194 	124 	85 	91 	91 
007195 	124 	85 	91 	91 
007196 	124 	85 	91 	91 
007197 	124 	85 	91 	91 
007198 	124 	85 	91 	91 
007199 	124 	85 	91 	91 
007200 	124 	85 	91 	91 
007201 	124 	85 	91 	91 
007202 	124 	85 	91 	91 
007203 	124 	85 	91 	91 
007204 	124 	85 	91 	91 
007205 	124 	85 	91 	91 
007206 	124 	75 	91 	91 
007207 	124 	75 	91 	91 
007208 	124 	75 	91 	91 
007209 	124 	75 	91 	91 
007210 	124 	75 	91 	91 
007211 	124 	65 	91 	91 
007212 	124 	65 	91 	91 
007213 	124 	65 	91 	91 
007214 	124 	65 	91 	91 
007215 	124 	65 	91 	91 
007216 	124 	65 	91 	91 
007217 	114 	75 	91 	91 
007218 	114 	75 	91 	91 
007219 	114 	75 	91 	91 
007220 	114 	75 	91 	91 
007221 	114 	85 	91 	91 
007222 	114 	85 	91 	91 
007223 	114 	85 	91 	91 
007224 	114 	85 	91 	91 
007225 	114 	85 	91 	91 
007226 	114 	85 	91 	91 
007227 	114 	85 	91 	91 
007228 	114 	85 	91 	91 
007229 	114 	85 	91 	91 
007230 	114 	85 	91 	91 
007231 	114 	75 	91 	91 
007232 	114 	75 	91 	91 
007233 	114 	75 	91 	91 
007234 	114 	75 	91 	91 
007235 	114 	75 	91 	91 
007236 	114 	75 	91 	91 
007237 	114 	75 	91 	91 
007238 	114 	75 	91 	91 
007239 	114 	75 	91 	91 
007240 	114 	75 	91 	91 
007241 	120 	87 	76 	76 
007242 	120 	87 	76 	76 
007243 	120 	87 	76 	76 
007244 	120 	87 	76 	76 
007245 	114 	75 	91 	91 
007246 	114 	75 	91 	91 
007247 	114 	75 	91 	91 
007248 	114 	75 	91 	91 
007249 	114 	75 	91 	91 
007250 	114 	75 	91 	91 
007251 	114 	75 	91 	91 
007252 	128 	79 	76 	76 
007253 	114 	65 	91 	91 
007254 	128 	79 	76 	76 
007255 	128 	79 	76 	76 
007256 	114 	65 	91 	91 
007257 	128 	79 	76 	76 
007258 	114 	65 	91 	91 
007259 	114 	65 	91 	91 
007260 	114 	65 	91 	91 
007261 	114 	65 	91 	91 
007262 	114 	65 	91 	91 
007263 	114 	65 	91 	91 
007264 	120 	71 	76 	75 
007265 	114 	55 	91 	91 
007266 	114 	55 	91 	91 
007267 	120 	62 	76 	76 
007268 	120 	62 	76 	76 
007269 	105 	55 	90 	91 
007270 	112 	62 	75 	76 
007271 	112 	62 	75 	76 
007272 	112 	62 	75 	76 
007273 	112 	62 	75 	76 
