Identity  : 	id10304
Reference : 	hDBMV_0Vz4E
Offset    : 	0
FV Conf   : 	20.063
ASD Conf  : 	5.523

FRAME 	X 	Y 	W 	H 
004407 	173 	114 	109 	109 
004408 	173 	114 	109 	109 
004409 	173 	114 	109 	109 
004410 	173 	114 	109 	109 
004411 	173 	114 	109 	109 
004412 	173 	114 	109 	109 
004413 	173 	114 	109 	109 
004414 	165 	109 	130 	130 
004415 	165 	109 	130 	130 
004416 	165 	109 	130 	130 
004417 	165 	109 	130 	130 
004418 	173 	114 	109 	109 
004419 	165 	109 	130 	130 
004420 	165 	109 	130 	130 
004421 	165 	109 	130 	130 
004422 	173 	114 	109 	109 
004423 	173 	114 	109 	109 
004424 	165 	109 	130 	130 
004425 	173 	114 	109 	109 
004426 	173 	114 	109 	109 
004427 	173 	114 	109 	109 
004428 	173 	114 	109 	109 
004429 	165 	109 	130 	130 
004430 	165 	109 	130 	130 
004431 	165 	109 	130 	130 
004432 	165 	109 	130 	130 
004433 	165 	109 	130 	130 
004434 	165 	109 	130 	130 
004435 	165 	109 	130 	130 
004436 	165 	109 	130 	130 
004437 	165 	109 	130 	130 
004438 	165 	109 	130 	130 
004439 	165 	109 	130 	130 
004440 	165 	109 	130 	130 
004441 	165 	109 	130 	130 
004442 	165 	109 	130 	130 
004443 	165 	109 	130 	130 
004444 	165 	109 	130 	130 
004445 	165 	109 	130 	130 
004446 	165 	109 	130 	130 
004447 	165 	109 	130 	130 
004448 	165 	109 	130 	130 
004449 	165 	109 	130 	130 
004450 	165 	109 	130 	130 
004451 	165 	109 	130 	130 
004452 	165 	109 	130 	130 
004453 	165 	109 	130 	130 
004454 	165 	109 	130 	130 
004455 	165 	109 	130 	130 
004456 	165 	109 	130 	130 
004457 	165 	109 	130 	130 
004458 	165 	109 	130 	130 
004459 	165 	109 	130 	130 
004460 	165 	109 	130 	130 
004461 	165 	109 	130 	130 
004462 	165 	109 	130 	130 
004463 	165 	109 	130 	130 
004464 	165 	109 	130 	130 
004465 	165 	109 	130 	130 
004466 	165 	109 	130 	130 
004467 	165 	109 	130 	130 
004468 	165 	109 	130 	130 
004469 	165 	109 	130 	130 
004470 	165 	109 	130 	130 
004471 	165 	109 	130 	130 
004472 	165 	109 	130 	130 
004473 	165 	109 	130 	130 
004474 	173 	126 	109 	109 
004475 	165 	109 	130 	130 
004476 	173 	126 	109 	109 
004477 	173 	126 	109 	109 
004478 	173 	126 	109 	109 
004479 	173 	126 	109 	109 
004480 	173 	126 	109 	109 
004481 	173 	126 	109 	109 
004482 	165 	109 	130 	130 
004483 	165 	109 	130 	130 
004484 	173 	126 	109 	109 
004485 	165 	109 	130 	130 
004486 	165 	109 	130 	130 
004487 	173 	126 	109 	109 
004488 	173 	126 	109 	109 
004489 	173 	126 	109 	109 
004490 	165 	109 	130 	130 
004491 	173 	126 	109 	109 
004492 	165 	109 	130 	130 
004493 	165 	109 	130 	130 
004494 	165 	109 	130 	130 
004495 	165 	109 	130 	130 
004496 	165 	109 	130 	130 
004497 	165 	109 	130 	130 
004498 	165 	109 	130 	130 
004499 	165 	109 	130 	130 
004500 	173 	126 	109 	109 
004501 	173 	126 	109 	109 
004502 	165 	109 	130 	130 
004503 	165 	109 	130 	130 
004504 	165 	109 	130 	130 
004505 	165 	109 	130 	130 
004506 	165 	109 	130 	130 
004507 	165 	109 	130 	130 
004508 	165 	109 	130 	130 
004509 	165 	109 	130 	130 
004510 	165 	109 	130 	130 
004511 	185 	126 	109 	109 
004512 	185 	126 	109 	109 
004513 	165 	109 	130 	130 
004514 	165 	109 	130 	130 
004515 	165 	109 	130 	130 
004516 	185 	126 	109 	109 
004517 	165 	109 	130 	130 
004518 	165 	109 	130 	130 
004519 	165 	109 	130 	130 
004520 	165 	109 	130 	130 
004521 	165 	109 	130 	130 
004522 	165 	109 	130 	130 
004523 	165 	109 	130 	130 
004524 	165 	109 	130 	130 
004525 	165 	109 	130 	130 
004526 	165 	109 	130 	130 
004527 	165 	109 	130 	130 
004528 	165 	109 	130 	130 
