Identity  : 	id10305
Reference : 	Piw0wvQbpnQ
Offset    : 	-2
FV Conf   : 	16.971
ASD Conf  : 	7.340

FRAME 	X 	Y 	W 	H 
002511 	250 	96 	156 	156 
002512 	239 	74 	186 	187 
002513 	267 	96 	156 	156 
002514 	267 	96 	156 	156 
002515 	267 	113 	156 	156 
002516 	267 	113 	156 	156 
002517 	285 	130 	155 	156 
002518 	259 	115 	187 	187 
002519 	259 	115 	187 	187 
002520 	259 	136 	187 	187 
002521 	259 	136 	187 	187 
002522 	267 	148 	156 	155 
002523 	267 	148 	156 	155 
002524 	267 	165 	156 	156 
002525 	267 	148 	156 	155 
002526 	267 	148 	156 	155 
002527 	239 	136 	186 	187 
002528 	250 	148 	156 	155 
002529 	250 	148 	156 	155 
002530 	250 	148 	156 	155 
002531 	250 	148 	156 	155 
002532 	250 	148 	156 	155 
002533 	250 	148 	156 	155 
002534 	250 	130 	156 	156 
002535 	250 	130 	156 	156 
002536 	250 	130 	156 	156 
002537 	250 	130 	156 	156 
002538 	250 	130 	156 	156 
002539 	239 	115 	186 	187 
002540 	239 	115 	186 	187 
002541 	267 	130 	156 	156 
002542 	267 	130 	156 	156 
002543 	267 	130 	156 	156 
002544 	267 	113 	156 	156 
002545 	285 	113 	155 	156 
002546 	285 	113 	155 	156 
002547 	285 	113 	155 	156 
002548 	285 	113 	155 	156 
002549 	259 	95 	187 	186 
002550 	267 	113 	156 	156 
002551 	239 	95 	186 	186 
002552 	239 	95 	186 	186 
002553 	239 	95 	186 	186 
002554 	250 	113 	156 	156 
002555 	250 	113 	156 	156 
002556 	250 	113 	156 	156 
002557 	218 	95 	187 	186 
002558 	218 	95 	187 	186 
002559 	218 	95 	187 	186 
002560 	218 	95 	187 	186 
002561 	218 	95 	187 	186 
002562 	250 	113 	156 	156 
002563 	250 	113 	156 	156 
002564 	250 	113 	156 	156 
002565 	250 	113 	156 	156 
002566 	250 	113 	156 	156 
002567 	250 	113 	156 	156 
002568 	250 	113 	156 	156 
002569 	250 	130 	156 	156 
002570 	250 	130 	156 	156 
002571 	250 	130 	156 	156 
002572 	250 	130 	156 	156 
002573 	250 	130 	156 	156 
002574 	250 	130 	156 	156 
002575 	250 	130 	156 	156 
002576 	250 	130 	156 	156 
002577 	250 	130 	156 	156 
002578 	250 	130 	156 	156 
002579 	250 	130 	156 	156 
002580 	250 	130 	156 	156 
002581 	250 	130 	156 	156 
002582 	250 	113 	156 	156 
002583 	239 	95 	186 	186 
002584 	239 	95 	186 	186 
002585 	267 	113 	156 	156 
002586 	259 	95 	187 	186 
002587 	285 	113 	155 	156 
002588 	302 	113 	156 	156 
002589 	302 	113 	156 	156 
002590 	302 	113 	156 	156 
002591 	319 	96 	156 	156 
002592 	319 	96 	156 	156 
002593 	319 	96 	156 	156 
002594 	319 	96 	156 	156 
002595 	319 	96 	156 	156 
002596 	319 	96 	156 	156 
002597 	319 	113 	156 	156 
002598 	319 	113 	156 	156 
002599 	302 	113 	156 	156 
002600 	302 	113 	156 	156 
002601 	285 	113 	155 	156 
002602 	285 	113 	155 	156 
002603 	285 	113 	155 	156 
002604 	285 	113 	155 	156 
002605 	285 	113 	155 	156 
002606 	285 	130 	155 	156 
002607 	285 	130 	155 	156 
002608 	285 	130 	155 	156 
002609 	285 	130 	155 	156 
002610 	285 	130 	155 	156 
002611 	285 	130 	155 	156 
002612 	285 	130 	155 	156 
002613 	285 	130 	155 	156 
002614 	285 	130 	155 	156 
002615 	285 	130 	155 	156 
002616 	285 	130 	155 	156 
002617 	285 	130 	155 	156 
002618 	285 	130 	155 	156 
002619 	285 	130 	155 	156 
002620 	285 	130 	155 	156 
002621 	285 	130 	155 	156 
002622 	285 	130 	155 	156 
002623 	285 	130 	155 	156 
002624 	285 	130 	155 	156 
002625 	259 	115 	187 	187 
002626 	267 	130 	156 	156 
002627 	267 	130 	156 	156 
002628 	267 	130 	156 	156 
002629 	239 	115 	186 	187 
002630 	239 	115 	186 	187 
002631 	239 	115 	186 	187 
002632 	239 	115 	186 	187 
002633 	239 	115 	186 	187 
002634 	239 	115 	186 	187 
002635 	239 	115 	186 	187 
002636 	239 	115 	186 	187 
002637 	239 	115 	186 	187 
002638 	239 	115 	186 	187 
002639 	267 	130 	156 	156 
