Identity  : 	id10305
Reference : 	gbTZ7k9e_Z0
Offset    : 	-1
FV Conf   : 	15.900
ASD Conf  : 	7.545

FRAME 	X 	Y 	W 	H 
002836 	393 	75 	91 	91 
002837 	393 	75 	91 	91 
002838 	393 	75 	91 	91 
002839 	393 	75 	91 	91 
002840 	393 	75 	91 	91 
002841 	393 	75 	91 	91 
002842 	393 	75 	91 	91 
002843 	393 	75 	91 	91 
002844 	393 	75 	91 	91 
002845 	393 	75 	91 	91 
002846 	393 	75 	91 	91 
002847 	393 	75 	91 	91 
002848 	393 	75 	91 	91 
002849 	393 	75 	91 	91 
002850 	393 	75 	91 	91 
002851 	393 	75 	91 	91 
002852 	393 	75 	91 	91 
002853 	393 	75 	91 	91 
002854 	393 	75 	91 	91 
002855 	393 	75 	91 	91 
002856 	393 	75 	91 	91 
002857 	393 	75 	91 	91 
002858 	393 	75 	91 	91 
002859 	393 	75 	91 	91 
002860 	393 	75 	91 	91 
002861 	393 	75 	91 	91 
002862 	393 	75 	91 	91 
002863 	393 	75 	91 	91 
002864 	393 	75 	91 	91 
002865 	393 	75 	91 	91 
002866 	393 	75 	91 	91 
002867 	393 	75 	91 	91 
002868 	393 	75 	91 	91 
002869 	393 	75 	91 	91 
002870 	393 	75 	91 	91 
002871 	393 	75 	91 	91 
002872 	393 	75 	91 	91 
002873 	393 	75 	91 	91 
002874 	393 	65 	91 	91 
002875 	393 	65 	91 	91 
002876 	393 	65 	91 	91 
002877 	393 	65 	91 	91 
002878 	393 	55 	91 	91 
002879 	393 	55 	91 	91 
002880 	393 	55 	91 	91 
002881 	393 	55 	91 	91 
002882 	393 	55 	91 	91 
002883 	393 	55 	91 	91 
002884 	393 	55 	91 	91 
002885 	393 	55 	91 	91 
002886 	393 	55 	91 	91 
002887 	393 	55 	91 	91 
002888 	393 	55 	91 	91 
002889 	393 	55 	91 	91 
002890 	393 	55 	91 	91 
002891 	393 	55 	91 	91 
002892 	393 	55 	91 	91 
002893 	393 	55 	91 	91 
002894 	393 	55 	91 	91 
002895 	393 	55 	91 	91 
002896 	393 	55 	91 	91 
002897 	393 	55 	91 	91 
002898 	393 	45 	91 	91 
002899 	393 	45 	91 	91 
002900 	393 	45 	91 	91 
002901 	393 	45 	91 	91 
002902 	402 	54 	76 	76 
002903 	383 	45 	91 	91 
002904 	383 	45 	91 	91 
002905 	383 	45 	91 	91 
002906 	383 	45 	91 	91 
002907 	383 	45 	91 	91 
002908 	383 	55 	91 	91 
002909 	383 	55 	91 	91 
002910 	383 	55 	91 	91 
002911 	383 	55 	91 	91 
002912 	383 	55 	91 	91 
002913 	383 	55 	91 	91 
002914 	385 	62 	76 	76 
002915 	385 	62 	76 	76 
002916 	385 	62 	76 	76 
002917 	383 	55 	91 	91 
002918 	383 	55 	91 	91 
002919 	383 	55 	91 	91 
002920 	383 	55 	91 	91 
002921 	383 	55 	91 	91 
002922 	383 	55 	91 	91 
002923 	383 	55 	91 	91 
002924 	383 	55 	91 	91 
002925 	383 	55 	91 	91 
002926 	383 	55 	91 	91 
002927 	383 	55 	91 	91 
002928 	383 	55 	91 	91 
002929 	383 	55 	91 	91 
002930 	383 	55 	91 	91 
002931 	383 	55 	91 	91 
002932 	383 	55 	91 	91 
002933 	383 	55 	91 	91 
002934 	383 	55 	91 	91 
002935 	383 	55 	91 	91 
002936 	383 	65 	91 	91 
002937 	383 	65 	91 	91 
002938 	383 	65 	91 	91 
002939 	383 	65 	91 	91 
002940 	383 	65 	91 	91 
002941 	383 	65 	91 	91 
002942 	383 	65 	91 	91 
