Identity  : 	id10306
Reference : 	4E-dEOQQsvo
Offset    : 	-4
FV Conf   : 	15.736
ASD Conf  : 	6.946

FRAME 	X 	Y 	W 	H 
008019 	224 	75 	91 	91 
008020 	224 	75 	91 	91 
008021 	224 	75 	91 	91 
008022 	224 	75 	91 	91 
008023 	224 	75 	91 	91 
008024 	224 	75 	91 	91 
008025 	224 	75 	91 	91 
008026 	224 	75 	91 	91 
008027 	224 	75 	91 	91 
008028 	224 	75 	91 	91 
008029 	224 	75 	91 	91 
008030 	224 	75 	91 	91 
008031 	224 	85 	91 	91 
008032 	224 	85 	91 	91 
008033 	224 	85 	91 	91 
008034 	224 	85 	91 	91 
008035 	224 	85 	91 	91 
008036 	224 	85 	91 	91 
008037 	224 	85 	91 	91 
008038 	224 	85 	91 	91 
008039 	224 	85 	91 	91 
008040 	224 	85 	91 	91 
008041 	224 	85 	91 	91 
008042 	224 	85 	91 	91 
008043 	224 	85 	91 	91 
008044 	224 	85 	91 	91 
008045 	224 	85 	91 	91 
008046 	224 	85 	91 	91 
008047 	224 	85 	91 	91 
008048 	224 	85 	91 	91 
008049 	214 	85 	91 	91 
008050 	214 	85 	91 	91 
008051 	214 	85 	91 	91 
008052 	214 	85 	91 	91 
008053 	214 	85 	91 	91 
008054 	214 	75 	91 	91 
008055 	214 	75 	91 	91 
008056 	214 	75 	91 	91 
008057 	214 	75 	91 	91 
008058 	197 	54 	109 	109 
008059 	197 	54 	109 	109 
008060 	197 	54 	109 	109 
008061 	197 	54 	109 	109 
008062 	214 	75 	91 	91 
008063 	214 	75 	91 	91 
008064 	214 	75 	91 	91 
008065 	214 	75 	91 	91 
008066 	214 	75 	91 	91 
008067 	214 	75 	91 	91 
008068 	214 	75 	91 	91 
008069 	214 	75 	91 	91 
008070 	214 	75 	91 	91 
008071 	214 	75 	91 	91 
008072 	209 	66 	109 	109 
008073 	224 	75 	91 	91 
008074 	224 	75 	91 	91 
008075 	224 	85 	91 	91 
008076 	224 	75 	91 	91 
008077 	224 	75 	91 	91 
008078 	224 	75 	91 	91 
008079 	224 	85 	91 	91 
008080 	224 	85 	91 	91 
008081 	224 	85 	91 	91 
008082 	224 	85 	91 	91 
008083 	224 	85 	91 	91 
008084 	224 	85 	91 	91 
008085 	224 	85 	91 	91 
008086 	224 	85 	91 	91 
008087 	224 	85 	91 	91 
008088 	224 	85 	91 	91 
008089 	221 	78 	109 	109 
008090 	234 	75 	90 	91 
008091 	233 	66 	109 	109 
008092 	233 	54 	109 	109 
008093 	245 	66 	109 	109 
008094 	245 	66 	109 	109 
008095 	245 	66 	109 	109 
008096 	245 	66 	109 	109 
008097 	245 	66 	109 	109 
008098 	245 	78 	109 	109 
008099 	245 	78 	109 	109 
008100 	245 	78 	109 	109 
008101 	254 	95 	90 	91 
008102 	245 	90 	109 	109 
008103 	245 	90 	109 	109 
008104 	245 	90 	109 	109 
008105 	245 	90 	109 	109 
008106 	245 	90 	109 	109 
008107 	245 	90 	109 	109 
008108 	245 	90 	109 	109 
008109 	245 	90 	109 	109 
008110 	245 	90 	109 	109 
008111 	245 	90 	109 	109 
008112 	233 	90 	109 	109 
008113 	233 	90 	109 	109 
008114 	233 	90 	109 	109 
008115 	233 	90 	109 	109 
008116 	233 	90 	109 	109 
008117 	233 	90 	109 	109 
008118 	233 	90 	109 	109 
008119 	233 	90 	109 	109 
008120 	233 	90 	109 	109 
008121 	233 	90 	109 	109 
008122 	233 	90 	109 	109 
008123 	233 	90 	109 	109 
008124 	233 	78 	109 	109 
008125 	233 	90 	109 	109 
008126 	233 	90 	109 	109 
008127 	233 	90 	109 	109 
008128 	233 	90 	109 	109 
008129 	233 	90 	109 	109 
008130 	233 	90 	109 	109 
008131 	233 	90 	109 	109 
008132 	233 	90 	109 	109 
008133 	233 	90 	109 	109 
008134 	234 	105 	90 	91 
008135 	221 	102 	109 	109 
008136 	221 	102 	109 	109 
008137 	221 	102 	109 	109 
008138 	221 	102 	109 	109 
008139 	224 	105 	91 	91 
008140 	224 	105 	91 	91 
008141 	224 	105 	91 	91 
008142 	224 	105 	91 	91 
008143 	224 	105 	91 	91 
008144 	224 	105 	91 	91 
008145 	224 	95 	91 	91 
008146 	224 	95 	91 	91 
008147 	224 	95 	91 	91 
008148 	224 	95 	91 	91 
008149 	224 	95 	91 	91 
008150 	224 	95 	91 	91 
008151 	209 	90 	109 	109 
008152 	214 	95 	91 	91 
008153 	214 	95 	91 	91 
008154 	214 	95 	91 	91 
008155 	214 	95 	91 	91 
008156 	214 	95 	91 	91 
008157 	214 	95 	91 	91 
008158 	214 	95 	91 	91 
008159 	224 	95 	91 	91 
008160 	224 	95 	91 	91 
008161 	209 	78 	109 	109 
008162 	209 	78 	109 	109 
008163 	224 	95 	91 	91 
008164 	209 	78 	109 	109 
008165 	209 	78 	109 	109 
008166 	209 	78 	109 	109 
008167 	209 	78 	109 	109 
008168 	209 	78 	109 	109 
008169 	209 	78 	109 	109 
008170 	209 	78 	109 	109 
008171 	209 	78 	109 	109 
008172 	209 	78 	109 	109 
008173 	209 	78 	109 	109 
008174 	209 	78 	109 	109 
008175 	209 	78 	109 	109 
008176 	209 	78 	109 	109 
008177 	209 	78 	109 	109 
008178 	209 	78 	109 	109 
008179 	209 	78 	109 	109 
008180 	209 	78 	109 	109 
008181 	209 	78 	109 	109 
008182 	209 	78 	109 	109 
008183 	209 	78 	109 	109 
008184 	214 	95 	91 	91 
008185 	209 	78 	109 	109 
008186 	214 	95 	91 	91 
008187 	214 	95 	91 	91 
008188 	214 	95 	91 	91 
008189 	214 	95 	91 	91 
008190 	214 	95 	91 	91 
008191 	214 	95 	91 	91 
008192 	214 	95 	91 	91 
