Identity  : 	id10306
Reference : 	XcXDiYWIS6E
Offset    : 	-2
FV Conf   : 	17.752
ASD Conf  : 	6.771

FRAME 	X 	Y 	W 	H 
000854 	394 	62 	75 	76 
000855 	394 	62 	75 	76 
000856 	394 	62 	75 	76 
000857 	394 	62 	75 	76 
000858 	394 	62 	75 	76 
000859 	404 	66 	63 	63 
000860 	394 	62 	75 	76 
000861 	404 	66 	63 	63 
000862 	404 	66 	63 	63 
000863 	404 	66 	63 	63 
000864 	404 	66 	63 	63 
000865 	404 	66 	63 	63 
000866 	404 	66 	63 	63 
000867 	402 	62 	76 	76 
000868 	402 	62 	76 	76 
000869 	402 	62 	76 	76 
000870 	402 	62 	76 	76 
000871 	402 	62 	76 	76 
000872 	402 	62 	76 	76 
000873 	402 	54 	76 	76 
000874 	402 	54 	76 	76 
000875 	402 	54 	76 	76 
000876 	402 	54 	76 	76 
000877 	402 	54 	76 	76 
000878 	402 	54 	76 	76 
000879 	402 	54 	76 	76 
000880 	402 	54 	76 	76 
000881 	402 	54 	76 	76 
000882 	402 	54 	76 	76 
000883 	402 	62 	76 	76 
000884 	402 	62 	76 	76 
000885 	402 	62 	76 	76 
000886 	402 	62 	76 	76 
000887 	402 	62 	76 	76 
000888 	394 	62 	75 	76 
000889 	394 	62 	75 	76 
000890 	394 	62 	75 	76 
000891 	394 	62 	75 	76 
000892 	385 	62 	76 	76 
000893 	385 	62 	76 	76 
000894 	385 	62 	76 	76 
000895 	385 	62 	76 	76 
000896 	385 	62 	76 	76 
000897 	385 	62 	76 	76 
000898 	385 	62 	76 	76 
000899 	385 	62 	76 	76 
000900 	385 	62 	76 	76 
000901 	385 	62 	76 	76 
000902 	385 	62 	76 	76 
000903 	385 	62 	76 	76 
000904 	390 	73 	63 	63 
000905 	377 	71 	76 	75 
000906 	377 	71 	76 	75 
000907 	377 	62 	76 	76 
000908 	377 	62 	76 	76 
000909 	383 	73 	63 	63 
000910 	383 	73 	63 	63 
000911 	383 	73 	63 	63 
000912 	377 	71 	76 	75 
000913 	377 	71 	76 	75 
000914 	377 	71 	76 	75 
000915 	377 	71 	76 	75 
000916 	377 	71 	76 	75 
000917 	377 	71 	76 	75 
000918 	377 	71 	76 	75 
000919 	377 	71 	76 	75 
000920 	377 	71 	76 	75 
000921 	369 	71 	76 	75 
000922 	369 	71 	76 	75 
000923 	369 	71 	76 	75 
000924 	369 	71 	76 	75 
000925 	369 	71 	76 	75 
000926 	369 	71 	76 	75 
000927 	369 	71 	76 	75 
000928 	369 	71 	76 	75 
000929 	369 	71 	76 	75 
000930 	369 	71 	76 	75 
000931 	369 	71 	76 	75 
000932 	369 	71 	76 	75 
000933 	369 	71 	76 	75 
000934 	369 	71 	76 	75 
000935 	369 	71 	76 	75 
000936 	369 	71 	76 	75 
000937 	376 	80 	64 	63 
000938 	376 	80 	64 	63 
000939 	376 	80 	64 	63 
000940 	376 	80 	64 	63 
000941 	376 	80 	64 	63 
000942 	376 	80 	64 	63 
000943 	376 	80 	64 	63 
000944 	376 	80 	64 	63 
000945 	369 	71 	76 	75 
000946 	369 	79 	76 	76 
000947 	369 	71 	76 	75 
