Identity  : 	id10306
Reference : 	lhXzCbjbosM
Offset    : 	-4
FV Conf   : 	16.621
ASD Conf  : 	5.286

FRAME 	X 	Y 	W 	H 
001810 	403 	55 	91 	91 
001811 	403 	55 	91 	91 
001812 	403 	55 	91 	91 
001813 	393 	55 	91 	91 
001814 	393 	55 	91 	91 
001815 	393 	65 	91 	91 
001816 	393 	65 	91 	91 
001817 	393 	65 	91 	91 
001818 	393 	65 	91 	91 
001819 	393 	65 	91 	91 
001820 	393 	65 	91 	91 
001821 	393 	65 	91 	91 
001822 	393 	65 	91 	91 
001823 	393 	65 	91 	91 
001824 	393 	65 	91 	91 
001825 	393 	65 	91 	91 
001826 	393 	65 	91 	91 
001827 	393 	65 	91 	91 
001828 	393 	65 	91 	91 
001829 	393 	65 	91 	91 
001830 	393 	65 	91 	91 
001831 	388 	54 	109 	109 
001832 	403 	65 	91 	91 
001833 	403 	65 	91 	91 
001834 	403 	65 	91 	91 
001835 	403 	65 	91 	91 
001836 	403 	65 	91 	91 
001837 	403 	65 	91 	91 
001838 	403 	65 	91 	91 
001839 	403 	65 	91 	91 
001840 	403 	65 	91 	91 
001841 	403 	65 	91 	91 
001842 	403 	65 	91 	91 
001843 	403 	65 	91 	91 
001844 	400 	54 	109 	109 
001845 	400 	54 	109 	109 
001846 	400 	54 	109 	109 
001847 	400 	54 	109 	109 
001848 	400 	54 	109 	109 
001849 	400 	54 	109 	109 
001850 	400 	54 	109 	109 
001851 	400 	54 	109 	109 
001852 	400 	54 	109 	109 
001853 	400 	54 	109 	109 
001854 	400 	54 	109 	109 
001855 	400 	54 	109 	109 
001856 	400 	54 	109 	109 
001857 	400 	54 	109 	109 
001858 	400 	54 	109 	109 
001859 	400 	54 	109 	109 
001860 	400 	54 	109 	109 
001861 	400 	54 	109 	109 
001862 	403 	55 	91 	91 
001863 	400 	54 	109 	109 
001864 	403 	65 	91 	91 
001865 	400 	54 	109 	109 
001866 	400 	54 	109 	109 
001867 	400 	54 	109 	109 
001868 	400 	54 	109 	109 
001869 	400 	54 	109 	109 
001870 	403 	65 	91 	91 
001871 	403 	65 	91 	91 
001872 	403 	65 	91 	91 
001873 	403 	65 	91 	91 
001874 	403 	65 	91 	91 
001875 	403 	65 	91 	91 
001876 	403 	65 	91 	91 
001877 	403 	65 	91 	91 
001878 	403 	65 	91 	91 
001879 	403 	65 	91 	91 
001880 	403 	65 	91 	91 
001881 	403 	65 	91 	91 
001882 	403 	65 	91 	91 
001883 	403 	65 	91 	91 
001884 	403 	65 	91 	91 
001885 	403 	65 	91 	91 
001886 	403 	65 	91 	91 
001887 	403 	65 	91 	91 
001888 	403 	65 	91 	91 
001889 	403 	65 	91 	91 
001890 	403 	65 	91 	91 
001891 	403 	65 	91 	91 
001892 	403 	55 	91 	91 
001893 	403 	55 	91 	91 
001894 	403 	55 	91 	91 
001895 	403 	55 	91 	91 
001896 	403 	55 	91 	91 
001897 	403 	55 	91 	91 
001898 	403 	55 	91 	91 
001899 	403 	55 	91 	91 
001900 	413 	55 	91 	91 
001901 	413 	55 	91 	91 
001902 	413 	55 	91 	91 
001903 	413 	55 	91 	91 
001904 	413 	55 	91 	91 
001905 	413 	55 	91 	91 
001906 	413 	55 	91 	91 
001907 	413 	55 	91 	91 
001908 	413 	55 	91 	91 
001909 	413 	55 	91 	91 
001910 	413 	55 	91 	91 
001911 	413 	55 	91 	91 
001912 	413 	55 	91 	91 
001913 	413 	55 	91 	91 
001914 	413 	55 	91 	91 
001915 	413 	55 	91 	91 
001916 	413 	55 	91 	91 
001917 	413 	55 	91 	91 
001918 	413 	55 	91 	91 
001919 	413 	55 	91 	91 
001920 	413 	55 	91 	91 
001921 	413 	55 	91 	91 
001922 	413 	55 	91 	91 
001923 	413 	55 	91 	91 
001924 	413 	55 	91 	91 
001925 	413 	55 	91 	91 
001926 	413 	55 	91 	91 
001927 	413 	55 	91 	91 
001928 	413 	55 	91 	91 
001929 	413 	55 	91 	91 
001930 	413 	55 	91 	91 
001931 	413 	55 	91 	91 
001932 	413 	55 	91 	91 
001933 	413 	55 	91 	91 
001934 	413 	55 	91 	91 
001935 	413 	55 	91 	91 
001936 	413 	55 	91 	91 
001937 	413 	55 	91 	91 
001938 	413 	55 	91 	91 
