Identity  : 	id10307
Reference : 	0nH78dDh0N0
Offset    : 	-2
FV Conf   : 	16.889
ASD Conf  : 	8.244

FRAME 	X 	Y 	W 	H 
009522 	321 	33 	187 	187 
009523 	321 	33 	187 	187 
009524 	301 	33 	186 	187 
009525 	301 	33 	186 	187 
009526 	301 	33 	186 	187 
009527 	301 	33 	186 	187 
009528 	301 	33 	186 	187 
009529 	301 	33 	186 	187 
009530 	301 	33 	186 	187 
009531 	301 	33 	186 	187 
009532 	280 	33 	187 	187 
009533 	280 	33 	187 	187 
009534 	280 	12 	187 	187 
009535 	280 	12 	187 	187 
009536 	280 	12 	187 	187 
009537 	280 	12 	187 	187 
009538 	280 	33 	187 	187 
009539 	280 	33 	187 	187 
009540 	280 	33 	187 	187 
009541 	280 	33 	187 	187 
009542 	280 	33 	187 	187 
009543 	280 	33 	187 	187 
009544 	280 	33 	187 	187 
009545 	280 	33 	187 	187 
009546 	280 	33 	187 	187 
009547 	280 	33 	187 	187 
009548 	280 	33 	187 	187 
009549 	280 	33 	187 	187 
009550 	280 	33 	187 	187 
009551 	280 	33 	187 	187 
009552 	280 	33 	187 	187 
009553 	280 	33 	187 	187 
009554 	280 	33 	187 	187 
009555 	280 	33 	187 	187 
009556 	280 	33 	187 	187 
009557 	301 	33 	186 	187 
009558 	301 	33 	186 	187 
009559 	301 	33 	186 	187 
009560 	301 	33 	186 	187 
009561 	301 	33 	186 	187 
009562 	301 	33 	186 	187 
009563 	301 	33 	186 	187 
009564 	301 	33 	186 	187 
009565 	301 	33 	186 	187 
009566 	301 	33 	186 	187 
009567 	301 	33 	186 	187 
009568 	301 	53 	186 	187 
009569 	301 	53 	186 	187 
009570 	301 	53 	186 	187 
009571 	301 	53 	186 	187 
009572 	301 	53 	186 	187 
009573 	301 	53 	186 	187 
009574 	301 	53 	186 	187 
009575 	301 	53 	186 	187 
009576 	301 	53 	186 	187 
009577 	301 	53 	186 	187 
009578 	301 	53 	186 	187 
009579 	301 	53 	186 	187 
009580 	321 	53 	187 	187 
009581 	321 	33 	187 	187 
009582 	321 	33 	187 	187 
009583 	321 	33 	187 	187 
009584 	321 	33 	187 	187 
009585 	321 	33 	187 	187 
009586 	321 	33 	187 	187 
009587 	321 	33 	187 	187 
009588 	321 	33 	187 	187 
009589 	321 	33 	187 	187 
009590 	321 	33 	187 	187 
009591 	321 	33 	187 	187 
009592 	321 	33 	187 	187 
009593 	321 	33 	187 	187 
009594 	321 	33 	187 	187 
009595 	321 	33 	187 	187 
009596 	321 	53 	187 	187 
009597 	321 	53 	187 	187 
009598 	321 	53 	187 	187 
009599 	321 	53 	187 	187 
009600 	321 	53 	187 	187 
009601 	321 	53 	187 	187 
009602 	321 	53 	187 	187 
009603 	321 	53 	187 	187 
009604 	321 	53 	187 	187 
009605 	321 	53 	187 	187 
009606 	321 	53 	187 	187 
009607 	321 	53 	187 	187 
009608 	321 	53 	187 	187 
009609 	321 	53 	187 	187 
009610 	321 	53 	187 	187 
009611 	321 	53 	187 	187 
009612 	321 	53 	187 	187 
009613 	321 	53 	187 	187 
009614 	321 	53 	187 	187 
009615 	321 	53 	187 	187 
009616 	321 	53 	187 	187 
009617 	321 	53 	187 	187 
009618 	321 	53 	187 	187 
009619 	321 	53 	187 	187 
009620 	321 	53 	187 	187 
009621 	321 	53 	187 	187 
009622 	301 	53 	186 	187 
009623 	321 	74 	187 	187 
009624 	301 	53 	186 	187 
009625 	301 	53 	186 	187 
009626 	301 	53 	186 	187 
009627 	301 	53 	186 	187 
009628 	301 	53 	186 	187 
009629 	301 	53 	186 	187 
009630 	301 	53 	186 	187 
009631 	301 	74 	186 	187 
009632 	301 	74 	186 	187 
009633 	301 	74 	186 	187 
009634 	301 	74 	186 	187 
009635 	301 	74 	186 	187 
009636 	301 	74 	186 	187 
009637 	301 	74 	186 	187 
009638 	301 	74 	186 	187 
009639 	301 	74 	186 	187 
009640 	301 	53 	186 	187 
009641 	301 	53 	186 	187 
009642 	301 	53 	186 	187 
009643 	301 	53 	186 	187 
009644 	301 	53 	186 	187 
009645 	301 	53 	186 	187 
009646 	301 	53 	186 	187 
009647 	301 	53 	186 	187 
009648 	301 	53 	186 	187 
009649 	301 	53 	186 	187 
009650 	301 	53 	186 	187 
009651 	301 	53 	186 	187 
009652 	301 	53 	186 	187 
009653 	301 	53 	186 	187 
009654 	301 	53 	186 	187 
009655 	301 	53 	186 	187 
009656 	301 	53 	186 	187 
009657 	301 	53 	186 	187 
009658 	301 	53 	186 	187 
009659 	301 	53 	186 	187 
009660 	301 	53 	186 	187 
009661 	301 	53 	186 	187 
009662 	301 	53 	186 	187 
009663 	301 	53 	186 	187 
009664 	301 	53 	186 	187 
009665 	301 	53 	186 	187 
009666 	280 	53 	187 	187 
009667 	280 	53 	187 	187 
009668 	280 	33 	187 	187 
009669 	280 	33 	187 	187 
009670 	280 	33 	187 	187 
009671 	280 	33 	187 	187 
009672 	280 	33 	187 	187 
009673 	280 	53 	187 	187 
009674 	280 	53 	187 	187 
009675 	280 	53 	187 	187 
009676 	280 	53 	187 	187 
009677 	301 	53 	186 	187 
009678 	301 	53 	186 	187 
009679 	301 	33 	186 	187 
009680 	301 	33 	186 	187 
009681 	301 	33 	186 	187 
009682 	301 	33 	186 	187 
009683 	301 	33 	186 	187 
009684 	301 	33 	186 	187 
009685 	301 	33 	186 	187 
