Identity  : 	id10307
Reference : 	120gjdqGWNQ
Offset    : 	-1
FV Conf   : 	18.673
ASD Conf  : 	8.690

FRAME 	X 	Y 	W 	H 
004816 	267 	96 	156 	156 
004817 	267 	96 	156 	156 
004818 	267 	96 	156 	156 
004819 	239 	74 	186 	187 
004820 	239 	74 	186 	187 
004821 	239 	74 	186 	187 
004822 	239 	74 	186 	187 
004823 	239 	95 	186 	186 
004824 	239 	95 	186 	186 
004825 	239 	95 	186 	186 
004826 	239 	95 	186 	186 
004827 	239 	95 	186 	186 
004828 	239 	95 	186 	186 
004829 	239 	95 	186 	186 
004830 	239 	95 	186 	186 
004831 	239 	95 	186 	186 
004832 	239 	74 	186 	187 
004833 	239 	74 	186 	187 
004834 	239 	74 	186 	187 
004835 	239 	74 	186 	187 
004836 	239 	74 	186 	187 
004837 	239 	74 	186 	187 
004838 	239 	74 	186 	187 
004839 	239 	74 	186 	187 
004840 	239 	74 	186 	187 
004841 	239 	95 	186 	186 
004842 	239 	95 	186 	186 
004843 	250 	113 	156 	156 
004844 	239 	95 	186 	186 
004845 	239 	95 	186 	186 
004846 	239 	95 	186 	186 
004847 	239 	95 	186 	186 
004848 	239 	95 	186 	186 
004849 	239 	95 	186 	186 
004850 	239 	95 	186 	186 
004851 	239 	95 	186 	186 
004852 	250 	113 	156 	156 
004853 	250 	113 	156 	156 
004854 	239 	95 	186 	186 
004855 	239 	95 	186 	186 
004856 	239 	95 	186 	186 
004857 	239 	95 	186 	186 
004858 	239 	95 	186 	186 
004859 	239 	95 	186 	186 
004860 	239 	95 	186 	186 
004861 	239 	95 	186 	186 
004862 	239 	95 	186 	186 
004863 	239 	95 	186 	186 
004864 	239 	95 	186 	186 
004865 	239 	95 	186 	186 
004866 	239 	95 	186 	186 
004867 	239 	95 	186 	186 
004868 	239 	95 	186 	186 
004869 	239 	95 	186 	186 
004870 	239 	95 	186 	186 
004871 	239 	95 	186 	186 
004872 	239 	95 	186 	186 
004873 	239 	95 	186 	186 
004874 	239 	115 	186 	187 
004875 	239 	115 	186 	187 
004876 	239 	95 	186 	186 
004877 	239 	95 	186 	186 
004878 	239 	95 	186 	186 
004879 	239 	95 	186 	186 
004880 	250 	113 	156 	156 
004881 	250 	113 	156 	156 
004882 	239 	95 	186 	186 
004883 	239 	95 	186 	186 
004884 	218 	95 	187 	186 
004885 	218 	95 	187 	186 
004886 	218 	95 	187 	186 
004887 	218 	95 	187 	186 
004888 	218 	115 	187 	187 
004889 	218 	115 	187 	187 
004890 	218 	115 	187 	187 
004891 	218 	115 	187 	187 
004892 	218 	115 	187 	187 
004893 	218 	115 	187 	187 
004894 	218 	115 	187 	187 
004895 	218 	115 	187 	187 
004896 	218 	115 	187 	187 
004897 	218 	115 	187 	187 
004898 	218 	115 	187 	187 
004899 	218 	115 	187 	187 
004900 	218 	115 	187 	187 
004901 	218 	115 	187 	187 
004902 	218 	115 	187 	187 
004903 	239 	115 	186 	187 
004904 	239 	115 	186 	187 
004905 	218 	115 	187 	187 
004906 	218 	115 	187 	187 
004907 	218 	115 	187 	187 
004908 	218 	115 	187 	187 
004909 	218 	95 	187 	186 
004910 	218 	95 	187 	186 
004911 	218 	95 	187 	186 
004912 	218 	95 	187 	186 
004913 	218 	95 	187 	186 
004914 	218 	74 	187 	187 
004915 	218 	74 	187 	187 
004916 	218 	74 	187 	187 
004917 	218 	74 	187 	187 
004918 	218 	74 	187 	187 
004919 	239 	74 	186 	187 
004920 	239 	74 	186 	187 
004921 	239 	74 	186 	187 
004922 	239 	74 	186 	187 
004923 	239 	74 	186 	187 
004924 	239 	74 	186 	187 
004925 	239 	74 	186 	187 
004926 	250 	96 	156 	156 
004927 	239 	95 	186 	186 
004928 	239 	95 	186 	186 
004929 	239 	95 	186 	186 
004930 	239 	115 	186 	187 
004931 	239 	115 	186 	187 
004932 	267 	130 	156 	156 
004933 	267 	130 	156 	156 
004934 	267 	130 	156 	156 
004935 	267 	130 	156 	156 
004936 	267 	130 	156 	156 
004937 	267 	130 	156 	156 
004938 	267 	130 	156 	156 
004939 	267 	130 	156 	156 
004940 	239 	115 	186 	187 
004941 	239 	115 	186 	187 
004942 	239 	115 	186 	187 
004943 	239 	115 	186 	187 
004944 	239 	115 	186 	187 
004945 	267 	130 	156 	156 
004946 	267 	113 	156 	156 
004947 	267 	113 	156 	156 
004948 	267 	113 	156 	156 
004949 	259 	95 	187 	186 
004950 	259 	95 	187 	186 
004951 	259 	95 	187 	186 
004952 	259 	95 	187 	186 
004953 	259 	95 	187 	186 
004954 	259 	95 	187 	186 
004955 	259 	74 	187 	187 
004956 	259 	95 	187 	186 
004957 	259 	95 	187 	186 
004958 	259 	95 	187 	186 
004959 	259 	95 	187 	186 
004960 	259 	95 	187 	186 
004961 	259 	95 	187 	186 
004962 	259 	95 	187 	186 
004963 	259 	95 	187 	186 
004964 	259 	115 	187 	187 
004965 	259 	115 	187 	187 
004966 	259 	115 	187 	187 
004967 	259 	115 	187 	187 
004968 	259 	115 	187 	187 
004969 	259 	115 	187 	187 
004970 	259 	115 	187 	187 
004971 	259 	115 	187 	187 
004972 	259 	115 	187 	187 
